,country,participant,result,olympic_game,discipline,event
0,GER,jonas reckermann,14,London 2012,Beach Volleyball,Beach volleyball men
1,BRA,emanuel emanuel,13,London 2012,Beach Volleyball,Beach volleyball men
2,LAT,janis smedins,13,London 2012,Beach Volleyball,Beach volleyball men
3,NED,richard schuil,11,London 2012,Beach Volleyball,Beach volleyball men
4,POL,grzegorz fijalek,8,London 2012,Beach Volleyball,Beach volleyball men
5,USA,jacob gibb,8,London 2012,Beach Volleyball,Beach volleyball men
6,BRA,ricardo ,9,London 2012,Beach Volleyball,Beach volleyball men
7,ITA,paolo nicolai,9,London 2012,Beach Volleyball,Beach volleyball men
8,GER,kay matysik,7,London 2012,Beach Volleyball,Beach volleyball men
9,SUI,sascha heyer,6,London 2012,Beach Volleyball,Beach volleyball men
10,NOR,tarjei viken skarlund,6,London 2012,Beach Volleyball,Beach volleyball men
11,RUS,sergey prokopiev,5,London 2012,Beach Volleyball,Beach volleyball men
12,LAT,aleksandrs samoilovs,6,London 2012,Beach Volleyball,Beach volleyball men
13,ESP,pablo herrera,6,London 2012,Beach Volleyball,Beach volleyball men
14,SUI,patrick heuscher,5,London 2012,Beach Volleyball,Beach volleyball men
15,USA,phil dalhausser,7,London 2012,Beach Volleyball,Beach volleyball men
16,CZE,petr benes,5,London 2012,Beach Volleyball,Beach volleyball men
17,CAN,josh binstock,5,London 2012,Beach Volleyball,Beach volleyball men
18,AUT,clemens doppler,4,London 2012,Beach Volleyball,Beach volleyball men
19,JPN,kentaro asahi,3,London 2012,Beach Volleyball,Beach volleyball men
20,CHN,penggen wu,3,London 2012,Beach Volleyball,Beach volleyball men
21,RSA,grant goldschmidt,3,London 2012,Beach Volleyball,Beach volleyball men
22,VEN,igor hernandez  colina,3,London 2012,Beach Volleyball,Beach volleyball men
23,GBR,steve grotowski,3,London 2012,Beach Volleyball,Beach volleyball men
0,USA,misty may-treanor,14,London 2012,Beach Volleyball,Beach volleyball women
1,USA,april ross,13,London 2012,Beach Volleyball,Beach volleyball women
2,BRA,juliana juliana,13,London 2012,Beach Volleyball,Beach volleyball women
3,CHN,chen xue,11,London 2012,Beach Volleyball,Beach volleyball women
4,GER,sara goller,8,London 2012,Beach Volleyball,Beach volleyball women
5,CZE,kristyna kolocova,8,London 2012,Beach Volleyball,Beach volleyball women
6,ITA,marta menegatti,9,London 2012,Beach Volleyball,Beach volleyball women
7,AUT,doris schwaiger,9,London 2012,Beach Volleyball,Beach volleyball women
8,NED,sophie van gestel,7,London 2012,Beach Volleyball,Beach volleyball women
9,GER,ilka semmler,6,London 2012,Beach Volleyball,Beach volleyball women
10,BRA,maria elisa maria elisa,7,London 2012,Beach Volleyball,Beach volleyball women
11,SUI,simone kuhn,5,London 2012,Beach Volleyball,Beach volleyball women
12,NED,marleen van iersel,5,London 2012,Beach Volleyball,Beach volleyball women
13,ESP,elsa baquerizo mcmillan,6,London 2012,Beach Volleyball,Beach volleyball women
14,RUS,evgenia ukolova,6,London 2012,Beach Volleyball,Beach volleyball women
15,RUS,anastasia vasina,6,London 2012,Beach Volleyball,Beach volleyball women
16,GBR,shauna mullin,5,London 2012,Beach Volleyball,Beach volleyball women
17,CZE,hana klapalova,5,London 2012,Beach Volleyball,Beach volleyball women
18,ARG,maria virginia zonta,3,London 2012,Beach Volleyball,Beach volleyball women
19,AUS,becchara palmer,3,London 2012,Beach Volleyball,Beach volleyball women
20,AUS,natalie cook,3,London 2012,Beach Volleyball,Beach volleyball women
21,CAN,annie martin,3,London 2012,Beach Volleyball,Beach volleyball women
22,GRE,maria tsiartsiani,4,London 2012,Beach Volleyball,Beach volleyball women
23,MRI,natacha rigobert,3,London 2012,Beach Volleyball,Beach volleyball women
