,country,participant,result,olympic_game,discipline,event
0,FRA,tony estanguet,,London 2012,Canoe Slalom,C1 canoe single men
1,GER,sideris tasiadis,98.09,London 2012,Canoe Slalom,C1 canoe single men
2,SVK,michal martikan,,London 2012,Canoe Slalom,C1 canoe single men
3,ESP,ander elosegi,,London 2012,Canoe Slalom,C1 canoe single men
4,CZE,stanislav jezek,,London 2012,Canoe Slalom,C1 canoe single men
5,AUS,kynan maley,,London 2012,Canoe Slalom,C1 canoe single men
6,JPN,takuya haneda,,London 2012,Canoe Slalom,C1 canoe single men
7,SLO,benjamin savsek,219.95,London 2012,Canoe Slalom,C1 canoe single men
8,POL,grzegorz kiljanek,,London 2012,Canoe Slalom,C1 canoe single men
9,GBR,david florence,,London 2012,Canoe Slalom,C1 canoe single men
10,RUS,aleksandr lipatov,,London 2012,Canoe Slalom,C1 canoe single men
11,CHN,zhiqiang teng,,London 2012,Canoe Slalom,C1 canoe single men
12,ITA,stefano cipressi,,London 2012,Canoe Slalom,C1 canoe single men
13,USA,casey eichfeld,,London 2012,Canoe Slalom,C1 canoe single men
14,GRE,christos tsakmakis,,London 2012,Canoe Slalom,C1 canoe single men
15,ARG,sebastian rossi,,London 2012,Canoe Slalom,C1 canoe single men
16,KAZ,rafail vergoyazov,,London 2012,Canoe Slalom,C1 canoe single men
0,GBR,etienne stott,,London 2012,Canoe Slalom,C2 canoe double men
1,GBR,richard hounslow,,London 2012,Canoe Slalom,C2 canoe double men
2,SVK,peter hochschorner,,London 2012,Canoe Slalom,C2 canoe double men
3,FRA,matthieu peche,,London 2012,Canoe Slalom,C2 canoe double men
4,POL,piotr szczepanski,,London 2012,Canoe Slalom,C2 canoe double men
5,CHN,minghai hu,,London 2012,Canoe Slalom,C2 canoe double men
6,CZE,ondrej stepanek,,London 2012,Canoe Slalom,C2 canoe double men
7,SLO,luka bozic,,London 2012,Canoe Slalom,C2 canoe double men
8,CZE,vavrinec hradilek,,London 2012,Canoe Slalom,C2 canoe double men
9,AUS,kynan maley,,London 2012,Canoe Slalom,C2 canoe double men
10,GER,frank henze,,London 2012,Canoe Slalom,C2 canoe double men
11,USA,eric hurd,,London 2012,Canoe Slalom,C2 canoe double men
12,ITA,niccolo ferrari,,London 2012,Canoe Slalom,C2 canoe double men
13,RUS,dmitry larionov,,London 2012,Canoe Slalom,C2 canoe double men
0,ITA,daniele molmenti,,London 2012,Canoe Slalom,K1 kayak single men
1,CZE,vavrinec hradilek,,London 2012,Canoe Slalom,K1 kayak single men
2,GER,hannes aigner,94.92,London 2012,Canoe Slalom,K1 kayak single men
3,POL,mateusz polaczyk,,London 2012,Canoe Slalom,K1 kayak single men
4,ESP,samuel hernanz,,London 2012,Canoe Slalom,K1 kayak single men
5,SLO,peter kauzer,101.01,London 2012,Canoe Slalom,K1 kayak single men
6,FRA,etienne daille,,London 2012,Canoe Slalom,K1 kayak single men
7,AUT,helmut oblinger,,London 2012,Canoe Slalom,K1 kayak single men
8,JPN,kazuki yazawa,,London 2012,Canoe Slalom,K1 kayak single men
9,TOG,benjamin boukpeti,,London 2012,Canoe Slalom,K1 kayak single men
10,BEL,mathieu doby,,London 2012,Canoe Slalom,K1 kayak single men
11,GBR,richard hounslow,,London 2012,Canoe Slalom,K1 kayak single men
12,SUI,michael kurt,,London 2012,Canoe Slalom,K1 kayak single men
13,IRL,eoin rheinisch,,London 2012,Canoe Slalom,K1 kayak single men
14,NZL,mike dawson,,London 2012,Canoe Slalom,K1 kayak single men
15,USA,scott parsons,,London 2012,Canoe Slalom,K1 kayak single men
16,CHN,cunguang huang,,London 2012,Canoe Slalom,K1 kayak single men
17,AUS,warwick draper,,London 2012,Canoe Slalom,K1 kayak single men
18,THA,hermann husslein,,London 2012,Canoe Slalom,K1 kayak single men
19,CAN,michael tayler,,London 2012,Canoe Slalom,K1 kayak single men
20,NGR,johnathan akinyemi,,London 2012,Canoe Slalom,K1 kayak single men
21,CRO,dinko mulic,,London 2012,Canoe Slalom,K1 kayak single men
0,FRA,emilie fer,,London 2012,Canoe Slalom,K1 kayak single women
