,country,participant,result,olympic_game,discipline,event
0,KAZ,alexandr vinokurov,,London 2012,Cycling Road,individual road race men
1,COL,rigoberto uran,,London 2012,Cycling Road,individual road race men
2,NOR,alexander kristoff,,London 2012,Cycling Road,individual road race men
3,USA,taylor phinney,,London 2012,Cycling Road,individual road race men
4,UZB,sergey lagutin,,London 2012,Cycling Road,individual road race men
5,AUS,stuart ogrady,,London 2012,Cycling Road,individual road race men
6,BEL,jurgen roelandts,,London 2012,Cycling Road,individual road race men
7,SUI,gregory rast,,London 2012,Cycling Road,individual road race men
8,ITA,luca paolini,,London 2012,Cycling Road,individual road race men
9,NZL,jack bauer,,London 2012,Cycling Road,individual road race men
10,NED,lars de boom,,London 2012,Cycling Road,individual road race men
11,DEN,jakob fuglsang,,London 2012,Cycling Road,individual road race men
12,POR,rui alberto faria da costa,,London 2012,Cycling Road,individual road race men
13,ESP,luis leon sanchez gil,,London 2012,Cycling Road,individual road race men
14,CZE,roman kreuziger,,London 2012,Cycling Road,individual road race men
15,COL,sergio luis henao montoya,,London 2012,Cycling Road,individual road race men
16,UKR,andriy grivko,,London 2012,Cycling Road,individual road race men
17,ESP,alejandro valverde,,London 2012,Cycling Road,individual road race men
18,BEL,philippe gilbert,,London 2012,Cycling Road,individual road race men
19,FRA,sylvain chavanel,,London 2012,Cycling Road,individual road race men
20,SLO,janez brajkovic,,London 2012,Cycling Road,individual road race men
21,JPN,fumiyuki beppu,,London 2012,Cycling Road,individual road race men
22,NED,robert gesink,,London 2012,Cycling Road,individual road race men
23,RUS,alexandr kolobnev,,London 2012,Cycling Road,individual road race men
24,NOR,lars petter nordhaug,,London 2012,Cycling Road,individual road race men
25,ESP,jonathan castroviejo nicolas,,London 2012,Cycling Road,individual road race men
26,GER,andre greipel,,London 2012,Cycling Road,individual road race men
27,BEL,tom boonen,,London 2012,Cycling Road,individual road race men
28,GBR,mark cavendish,,London 2012,Cycling Road,individual road race men
29,FRA,arnaud demare,,London 2012,Cycling Road,individual road race men
