,country,participant,result,olympic_game,discipline,event
0,KOR,jong oh jin,688.2,London 2012,Shooting,10m air pistol 60 shots men
1,ITA,luca tesconi,685.8,London 2012,Shooting,10m air pistol 60 shots men
2,SRB,andrija zlatic,685.2,London 2012,Shooting,10m air pistol 60 shots men
3,CHN,wei pang,683.7,London 2012,Shooting,10m air pistol 60 shots men
4,UKR,oleh omelchuk,683.6,London 2012,Shooting,10m air pistol 60 shots men
5,ESP,pablo carrera,683.3,London 2012,Shooting,10m air pistol 60 shots men
6,POR,joao costa,682.3,London 2012,Shooting,10m air pistol 60 shots men
7,FIN,kai jahnsson,679.1,London 2012,Shooting,10m air pistol 60 shots men
8,VIE,xuan vinh hoang,,London 2012,Shooting,10m air pistol 60 shots men
9,RUS,leonid ekimov,,London 2012,Shooting,10m air pistol 60 shots men
10,BLR,kanstantsin lukaschyk,,London 2012,Shooting,10m air pistol 60 shots men
11,CHN,zongliang tan,,London 2012,Shooting,10m air pistol 60 shots men
12,JPN,tomoyuki matsuda,,London 2012,Shooting,10m air pistol 60 shots men
13,ISL,asgeir sigurgeirsson,,London 2012,Shooting,10m air pistol 60 shots men
14,SVK,juraj tuzinsky,,London 2012,Shooting,10m air pistol 60 shots men
15,ARM,norayr bakhtamyan,,London 2012,Shooting,10m air pistol 60 shots men
16,SRB,damir mikec,,London 2012,Shooting,10m air pistol 60 shots men
17,FRA,franck dumoulin,,London 2012,Shooting,10m air pistol 60 shots men
18,UKR,denys kushnirov,,London 2012,Shooting,10m air pistol 60 shots men
19,ALB,arben kucana,,London 2012,Shooting,10m air pistol 60 shots men
20,SVK,pavol kopp,,London 2012,Shooting,10m air pistol 60 shots men
21,FRA,walter lapeyre,,London 2012,Shooting,10m air pistol 60 shots men
22,USA,daryl szarenski,,London 2012,Shooting,10m air pistol 60 shots men
23,TUR,ismail keles,,London 2012,Shooting,10m air pistol 60 shots men
24,GER,florian schmidt,,London 2012,Shooting,10m air pistol 60 shots men
25,RUS,denis koulakov,,London 2012,Shooting,10m air pistol 60 shots men
26,TUR,yusuf dikec,,London 2012,Shooting,10m air pistol 60 shots men
