,country,participant,result,olympic_game,discipline,event
0,HUN,daniel gyurta,,London 2012,Swimming,200m breaststroke men
1,GBR,michael jamieson,,London 2012,Swimming,200m breaststroke men
2,JPN,ryo tateishi,,London 2012,Swimming,200m breaststroke men
3,JPN,kosuke kitajima,,London 2012,Swimming,200m breaststroke men
4,USA,scott weltz,,London 2012,Swimming,200m breaststroke men
5,USA,clark burckle,,London 2012,Swimming,200m breaststroke men
6,AUS,brenton rickard,,London 2012,Swimming,200m breaststroke men
7,GBR,andrew willis,,London 2012,Swimming,200m breaststroke men
8,BRA,tales cerdeira,,London 2012,Swimming,200m breaststroke men
9,RUS,viatcheslav sinkevich,,London 2012,Swimming,200m breaststroke men
10,LTU,giedrius titenis,,London 2012,Swimming,200m breaststroke men
11,GER,christian vom lehn,,London 2012,Swimming,200m breaststroke men
12,GER,marco koch,,London 2012,Swimming,200m breaststroke men
13,NZL,glenn snyders,,London 2012,Swimming,200m breaststroke men
14,LUX,laurent carnol,,London 2012,Swimming,200m breaststroke men
15,CAN,scott dickens,,London 2012,Swimming,200m breaststroke men
16,FIN,matti mattsson,,London 2012,Swimming,200m breaststroke men
17,NED,lennart stekelenburg,,London 2012,Swimming,200m breaststroke men
18,BRA,henrique barbosa,,London 2012,Swimming,200m breaststroke men
19,HUN,akos molnar,,London 2012,Swimming,200m breaststroke men
20,POL,slawomir kuczko,,London 2012,Swimming,200m breaststroke men
21,UKR,ihor borysyk,,London 2012,Swimming,200m breaststroke men
22,SVK,tomas klobucnik,,London 2012,Swimming,200m breaststroke men
23,SUI,yannick kaeser,,London 2012,Swimming,200m breaststroke men
24,KOR,kyuwoong choi,,London 2012,Swimming,200m breaststroke men
25,MEX,christian schurr voight,,London 2012,Swimming,200m breaststroke men
26,GRE,panagiotis samilidis,,London 2012,Swimming,200m breaststroke men
27,GEO,irakli bolkvadze,,London 2012,Swimming,200m breaststroke men
28,AUT,hunor mate,,London 2012,Swimming,200m breaststroke men
29,THA,nuttapong ketin,,London 2012,Swimming,200m breaststroke men
30,ISL,jakob johann sveinsson,,London 2012,Swimming,200m breaststroke men
31,KGZ,dmitrii aleksandrov,,London 2012,Swimming,200m breaststroke men
32,CHN,cheng chen,,London 2012,Swimming,200m breaststroke men
33,MAD,mamitina ramantsoa tsilavina,,London 2012,Swimming,200m breaststroke men
0,USA,rebecca soni,,London 2012,Swimming,200m breaststroke women
1,JPN,satomi suzuki,,London 2012,Swimming,200m breaststroke women
2,RUS,yuliya efimova,,London 2012,Swimming,200m breaststroke women
3,DEN,rikke moller pedersen,,London 2012,Swimming,200m breaststroke women
4,CAN,martha mccabe,,London 2012,Swimming,200m breaststroke women
5,USA,micah lawrence,,London 2012,Swimming,200m breaststroke women
6,RSA,suzaan van biljon,,London 2012,Swimming,200m breaststroke women
7,AUS,sally foster,,London 2012,Swimming,200m breaststroke women
8,KOR,su-yeon baek,,London 2012,Swimming,200m breaststroke women
9,SWE,joline hostman,,London 2012,Swimming,200m breaststroke women
10,MAR,sara elbekri,,London 2012,Swimming,200m breaststroke women
11,RUS,anastasia chaun,,London 2012,Swimming,200m breaststroke women
12,CHN,liping ji,,London 2012,Swimming,200m breaststroke women
13,JPN,kanako watanabe,,London 2012,Swimming,200m breaststroke women
14,AUS,tessa wallace,,London 2012,Swimming,200m breaststroke women
15,KOR,darae jeong,,London 2012,Swimming,200m breaststroke women
16,UKR,ganna dzerkal,,London 2012,Swimming,200m breaststroke women
17,GBR,stacey tadd,,London 2012,Swimming,200m breaststroke women
18,BEL,fanny lecluyse,,London 2012,Swimming,200m breaststroke women
19,ESP,marina garcia urzainqui,,London 2012,Swimming,200m breaststroke women
20,CAN,tera van beilen,,London 2012,Swimming,200m breaststroke women
21,ITA,chiara boggiatto,,London 2012,Swimming,200m breaststroke women
22,NOR,sara nordenstam,,London 2012,Swimming,200m breaststroke women
23,CHN,ye sun,,London 2012,Swimming,200m breaststroke women
24,SRB,nadja higl,,London 2012,Swimming,200m breaststroke women
25,CZE,martina moravcikova,,London 2012,Swimming,200m breaststroke women
26,JAM,alia atkinson,,London 2012,Swimming,200m breaststroke women
27,ISL,hrafnhildur luthersdottir,,London 2012,Swimming,200m breaststroke women
28,HUN,anna sztankovics,,London 2012,Swimming,200m breaststroke women
29,TUR,dilara buse gunaydin,,London 2012,Swimming,200m breaststroke women
30,TUN,sarra lajnef,,London 2012,Swimming,200m breaststroke women
31,FIN,jenna laukkanen,,London 2012,Swimming,200m breaststroke women
32,SLO,tanja smid,,London 2012,Swimming,200m breaststroke women
33,KGZ,daria talanova,,London 2012,Swimming,200m breaststroke women
0,RSA,chad le clos,,London 2012,Swimming,200m butterfly men
1,USA,michael phelps,,London 2012,Swimming,200m butterfly men
2,JPN,takeshi matsuda,,London 2012,Swimming,200m butterfly men
3,AUT,dinko jukic,,London 2012,Swimming,200m butterfly men
4,USA,tyler clary,,London 2012,Swimming,200m butterfly men
5,SRB,velimir stjepanovic,,London 2012,Swimming,200m butterfly men
6,POL,pawel korzeniowski,,London 2012,Swimming,200m butterfly men
7,CHN,yin chen,,London 2012,Swimming,200m butterfly men
8,HUN,bence biczo,,London 2012,Swimming,200m butterfly men
9,JPN,kazuya kaneda,,London 2012,Swimming,200m butterfly men
10,CHN,peng wu,,London 2012,Swimming,200m butterfly men
11,HUN,laszlo cseh,,London 2012,Swimming,200m butterfly men
12,AUS,nick darcy,,London 2012,Swimming,200m butterfly men
13,RUS,nikolay skvortsov,,London 2012,Swimming,200m butterfly men
14,GRE,ioannis drymonakos,,London 2012,Swimming,200m butterfly men
15,AUS,chris wright,,London 2012,Swimming,200m butterfly men
16,BRA,kaio marcio,,London 2012,Swimming,200m butterfly men
17,GBR,joe roebuck,,London 2012,Swimming,200m butterfly men
18,POL,marcin cieslak,,London 2012,Swimming,200m butterfly men
19,GBR,roberto pavoni,,London 2012,Swimming,200m butterfly men
20,BRA,leonardo de deus,,London 2012,Swimming,200m butterfly men
21,POR,pedro oliveira,,London 2012,Swimming,200m butterfly men
22,GRE,stefanos dimitriadis,,London 2012,Swimming,200m butterfly men
23,SLO,robert zbogar,,London 2012,Swimming,200m butterfly men
24,PER,mauricio fiol villanueva,,London 2012,Swimming,200m butterfly men
25,SGP,joseph schooling,,London 2012,Swimming,200m butterfly men
26,VEN,marcos lavado,,London 2012,Swimming,200m butterfly men
27,UKR,illia chuiev,,London 2012,Swimming,200m butterfly men
28,ROU,alexandru coci,,London 2012,Swimming,200m butterfly men
29,TPE,chi hsu,,London 2012,Swimming,200m butterfly men
30,CAN,david sharpe,,London 2012,Swimming,200m butterfly men
31,ISR,gal nevo,,London 2012,Swimming,200m butterfly men
32,SUI,alexandre liess,,London 2012,Swimming,200m butterfly men
33,COL,omar andres pinzon garcia,,London 2012,Swimming,200m butterfly men
34,PAN,diego castillo,,London 2012,Swimming,200m butterfly men
35,KUW,yousef alaskari,,London 2012,Swimming,200m butterfly men
36,AND,hocine haciane constantin,,London 2012,Swimming,200m butterfly men
0,CHN,liuyang jiao,,London 2012,Swimming,200m butterfly women
1,ESP,mireia belmonte,,London 2012,Swimming,200m butterfly women
2,JPN,natsumi hoshi,,London 2012,Swimming,200m butterfly women
3,USA,kathleen hersey,,London 2012,Swimming,200m butterfly women
4,USA,cammile adams,,London 2012,Swimming,200m butterfly women
5,GBR,jemma lowe,,London 2012,Swimming,200m butterfly women
6,HUN,zsuzsanna jakabos,,London 2012,Swimming,200m butterfly women
7,CHN,zige liu,,London 2012,Swimming,200m butterfly women
8,HUN,katinka hosszu,,London 2012,Swimming,200m butterfly women
9,SWE,martina granstrom,,London 2012,Swimming,200m butterfly women
10,SLO,anja klinar,,London 2012,Swimming,200m butterfly women
11,CAN,audrey lacroix,,London 2012,Swimming,200m butterfly women
12,AUS,jessicah schipper,,London 2012,Swimming,200m butterfly women
13,KOR,hye ra choi,,London 2012,Swimming,200m butterfly women
14,ESP,judit ignacio,,London 2012,Swimming,200m butterfly women
15,POL,otylia jedrzejczak,,London 2012,Swimming,200m butterfly women
16,GBR,ellen gandy,,London 2012,Swimming,200m butterfly women
17,NOR,ingvild snildal,,London 2012,Swimming,200m butterfly women
18,CAN,katerine savard,,London 2012,Swimming,200m butterfly women
19,AUS,samantha hamill,,London 2012,Swimming,200m butterfly women
20,SVK,denisa smolenova,,London 2012,Swimming,200m butterfly women
21,VEN,andreina pinto,,London 2012,Swimming,200m butterfly women
22,MEX,rita medrano munoz,,London 2012,Swimming,200m butterfly women
23,POR,sara oliveira,,London 2012,Swimming,200m butterfly women
24,SUI,martina van berkel,,London 2012,Swimming,200m butterfly women
25,BRA,joanna maranhao,,London 2012,Swimming,200m butterfly women
26,FIN,emilia pikkarainen,,London 2012,Swimming,200m butterfly women
27,TPE,wan-jung cheng,,London 2012,Swimming,200m butterfly women
0,FRA,yannick agnel,,London 2012,Swimming,200m freestyle men
1,KOR,tae-hwan park,,London 2012,Swimming,200m freestyle men
2,CHN,yang sun,,London 2012,Swimming,200m freestyle men
3,USA,ryan lochte,,London 2012,Swimming,200m freestyle men
4,GER,paul biedermann,,London 2012,Swimming,200m freestyle men
5,GBR,robbie renwick,,London 2012,Swimming,200m freestyle men
6,AUS,thomas fraser-holmes,,London 2012,Swimming,200m freestyle men
7,RUS,danila izotov,,London 2012,Swimming,200m freestyle men
8,USA,ricky berens,,London 2012,Swimming,200m freestyle men
9,HUN,dominik kozma,,London 2012,Swimming,200m freestyle men
10,NED,sebastiaan verschuren,,London 2012,Swimming,200m freestyle men
11,CAY,brett fraser,,London 2012,Swimming,200m freestyle men
12,AUS,kenrick monk,,London 2012,Swimming,200m freestyle men
13,FRA,gregory mallet,,London 2012,Swimming,200m freestyle men
14,SUI,dominik meichtry,,London 2012,Swimming,200m freestyle men
15,RUS,artem lobuzov,,London 2012,Swimming,200m freestyle men
16,CAN,blake worsley,,London 2012,Swimming,200m freestyle men
17,NZL,matt stanley,,London 2012,Swimming,200m freestyle men
18,GBR,ieuan lloyd,,London 2012,Swimming,200m freestyle men
19,CAY,shaune fraser,,London 2012,Swimming,200m freestyle men
20,ISR,nimrod shapira bar-or,,London 2012,Swimming,200m freestyle men
21,VEN,cristian quintero,,London 2012,Swimming,200m freestyle men
22,CHN,yunqi li,,London 2012,Swimming,200m freestyle men
23,GER,clemens rapp,,London 2012,Swimming,200m freestyle men
24,BEL,glenn surgeloose,,London 2012,Swimming,200m freestyle men
25,PAR,benjamin hockin,,London 2012,Swimming,200m freestyle men
26,AUT,david brandl,,London 2012,Swimming,200m freestyle men
27,NED,dion dreesens,,London 2012,Swimming,200m freestyle men
28,ITA,marco belotti,,London 2012,Swimming,200m freestyle men
29,TUN,ahmed mathlouthi,,London 2012,Swimming,200m freestyle men
30,FIN,matias koski,,London 2012,Swimming,200m freestyle men
31,SRB,radovan siljevski,,London 2012,Swimming,200m freestyle men
32,CRC,mario montoya,,London 2012,Swimming,200m freestyle men
33,PER,sebastian jahnsen madico,,London 2012,Swimming,200m freestyle men
34,POR,tiago venancio,,London 2012,Swimming,200m freestyle men
35,PHI,jessie khing lacuna,,London 2012,Swimming,200m freestyle men
36,DOM,nicholas schwab alfaro,,London 2012,Swimming,200m freestyle men
37,PUR,raul martinez colomer,,London 2012,Swimming,200m freestyle men
38,MRI,mathieu marquet,,London 2012,Swimming,200m freestyle men
39,BRU,anderson chee wei lim,,London 2012,Swimming,200m freestyle men
40,DEN,mads glaesner,Did not start,London 2012,Swimming,200m freestyle men
0,USA,allison schmitt,,London 2012,Swimming,200m freestyle women
1,FRA,camille muffat,,London 2012,Swimming,200m freestyle women
2,AUS,bronte barratt,,London 2012,Swimming,200m freestyle women
3,USA,missy franklin,,London 2012,Swimming,200m freestyle women
4,ITA,federica pellegrini,,London 2012,Swimming,200m freestyle women
5,RUS,veronika popova,,London 2012,Swimming,200m freestyle women
6,GBR,caitlin mcclatchey,,London 2012,Swimming,200m freestyle women
7,AUS,kylie palmer,,London 2012,Swimming,200m freestyle women
8,ESP,melania costa schmid,,London 2012,Swimming,200m freestyle women
9,CAN,barbara jardin,,London 2012,Swimming,200m freestyle women
10,CAN,samantha cheverton,,London 2012,Swimming,200m freestyle women
11,SWE,sarah sjostrom,,London 2012,Swimming,200m freestyle women
12,GER,silke lippok,,London 2012,Swimming,200m freestyle women
13,SLO,sara isakovic,,London 2012,Swimming,200m freestyle women
14,CHN,shijia wang,,London 2012,Swimming,200m freestyle women
15,JPN,hanae ito,,London 2012,Swimming,200m freestyle women
16,GBR,rebecca turner,,London 2012,Swimming,200m freestyle women
17,FRA,ophelie-cyrielle etienne,,London 2012,Swimming,200m freestyle women
18,BUL,nina rangelova,,London 2012,Swimming,200m freestyle women
19,RSA,karin prinsloo,,London 2012,Swimming,200m freestyle women
20,CHN,wenyan song,,London 2012,Swimming,200m freestyle women
21,HUN,agnes mutina,,London 2012,Swimming,200m freestyle women
22,HKG,hang yu sze,,London 2012,Swimming,200m freestyle women
23,DEN,pernille blume,,London 2012,Swimming,200m freestyle women
24,ROU,camelia alina potec,,London 2012,Swimming,200m freestyle women
25,MEX,liliana ibanez lopez,,London 2012,Swimming,200m freestyle women
26,CYP,anna stylianou,,London 2012,Swimming,200m freestyle women
27,SVK,katarina filova,,London 2012,Swimming,200m freestyle women
28,AUT,joerdis steinegger,,London 2012,Swimming,200m freestyle women
29,THA,natthanan junkrajang,,London 2012,Swimming,200m freestyle women
30,SUI,danielle villars,,London 2012,Swimming,200m freestyle women
31,FIN,hanna-maria seppala,,London 2012,Swimming,200m freestyle women
32,KOR,il joo baek,,London 2012,Swimming,200m freestyle women
33,MRI,heather arseth,,London 2012,Swimming,200m freestyle women
34,SEY,aurelie fanchette,,London 2012,Swimming,200m freestyle women
35,NED,femke heemskerk,Did not start,London 2012,Swimming,200m freestyle women
36,IRL,grainne murphy,Did not start,London 2012,Swimming,200m freestyle women
0,USA,michael phelps,,London 2012,Swimming,200m individual medley men
1,USA,ryan lochte,,London 2012,Swimming,200m individual medley men
2,HUN,laszlo cseh,,London 2012,Swimming,200m individual medley men
3,BRA,thiago pereira,,London 2012,Swimming,200m individual medley men
4,JPN,kosuke hagino,,London 2012,Swimming,200m individual medley men
5,JPN,ken takakuwa,,London 2012,Swimming,200m individual medley men
6,GBR,james goddard,,London 2012,Swimming,200m individual medley men
7,GER,markus deibler,,London 2012,Swimming,200m individual medley men
8,RSA,chad le clos,,London 2012,Swimming,200m individual medley men
9,ISR,gal nevo,,London 2012,Swimming,200m individual medley men
10,GBR,joe roebuck,,London 2012,Swimming,200m individual medley men
11,BRA,henrique rodrigues,,London 2012,Swimming,200m individual medley men
12,LTU,vytautas janusaitis,,London 2012,Swimming,200m individual medley men
13,AUS,daniel tranter,,London 2012,Swimming,200m individual medley men
14,CAN,andrew ford,,London 2012,Swimming,200m individual medley men
15,AUT,markus rogan,,London 2012,Swimming,200m individual medley men
16,LUX,raphael stacchiotti,,London 2012,Swimming,200m individual medley men
17,POR,diogo carvalho,,London 2012,Swimming,200m individual medley men
18,POL,marcin cieslak,,London 2012,Swimming,200m individual medley men
19,ITA,federico turrini,,London 2012,Swimming,200m individual medley men
20,RSA,darian townsend,,London 2012,Swimming,200m individual medley men
21,BAR,bradley ally,,London 2012,Swimming,200m individual medley men
22,CHN,shun wang,,London 2012,Swimming,200m individual medley men
23,RUS,alexander tikhonov,,London 2012,Swimming,200m individual medley men
24,EST,martin schweizer,,London 2012,Swimming,200m individual medley men
25,GRE,andreas vazaios,,London 2012,Swimming,200m individual medley men
26,GER,philip heintz,,London 2012,Swimming,200m individual medley men
27,SUI,david karasek,,London 2012,Swimming,200m individual medley men
28,TUN,taki mrabet,,London 2012,Swimming,200m individual medley men
29,CHN,peng wu,,London 2012,Swimming,200m individual medley men
30,AUS,jayden hadler,,London 2012,Swimming,200m individual medley men
31,KOR,won-yong jeong,,London 2012,Swimming,200m individual medley men
32,UKR,maksym shemberev,,London 2012,Swimming,200m individual medley men
33,THA,nuttapong ketin,,London 2012,Swimming,200m individual medley men
34,HUN,david verraszto,,London 2012,Swimming,200m individual medley men
35,BIH,ensar hajder,,London 2012,Swimming,200m individual medley men
0,CHN,shiwen ye,,London 2012,Swimming,200m individual medley women
1,AUS,alicia coutts,,London 2012,Swimming,200m individual medley women
2,USA,katie ledecky,,London 2012,Swimming,200m individual medley women
3,AUS,stephanie rice,,London 2012,Swimming,200m individual medley women
4,USA,ariana kukors,,London 2012,Swimming,200m individual medley women
5,ZIM,kirsty leigh coventry,,London 2012,Swimming,200m individual medley women
6,GBR,hannah miley,,London 2012,Swimming,200m individual medley women
7,HUN,katinka hosszu,,London 2012,Swimming,200m individual medley women
8,HUN,evelin verraszto,,London 2012,Swimming,200m individual medley women
