,country,participant,result,olympic_game,discipline,event
0,GBR,jade jones,,London 2012,Taekwondo,49 - 57 kg women
1,CHN,yuzhuo hou,,London 2012,Taekwondo,49 - 57 kg women
2,FRA,marlene harnois,,London 2012,Taekwondo,49 - 57 kg women
3,TPE,li-cheng tseng,,London 2012,Taekwondo,49 - 57 kg women
4,FIN,suvi mikkonen,,London 2012,Taekwondo,49 - 57 kg women
5,JPN,mayu hamada,,London 2012,Taekwondo,49 - 57 kg women
6,SRB,dragana gladovic,,London 2012,Taekwondo,49 - 57 kg women
7,USA,diana lopez,,London 2012,Taekwondo,49 - 57 kg women
8,EGY,hedaya wahba,,London 2012,Taekwondo,49 - 57 kg women
9,LBN,andrea paoli,,London 2012,Taekwondo,49 - 57 kg women
10,CHI,yeny contreras loyola,,London 2012,Taekwondo,49 - 57 kg women
11,CRO,ana zaninovic,,London 2012,Taekwondo,49 - 57 kg women
12,CUB,nidia munoz,,London 2012,Taekwondo,49 - 57 kg women
13,NZL,robin cheong,,London 2012,Taekwondo,49 - 57 kg women
14,SEN,bineta diedhiou,,London 2012,Taekwondo,49 - 57 kg women
15,THA,rangsiya nisaisom,,London 2012,Taekwondo,49 - 57 kg women
0,CHN,jingyu wu,,London 2012,Taekwondo,49 kg women
1,ESP,brigitte yague enrique,,London 2012,Taekwondo,49 kg women
2,CRO,lucija zaninovic,,London 2012,Taekwondo,49 kg women
3,THA,chanatip sonkham,,London 2012,Taekwondo,49 kg women
4,GUA,elizabeth zamora gordillo,,London 2012,Taekwondo,49 kg women
5,MEX,jannet alegria pena,,London 2012,Taekwondo,49 kg women
6,PAN,carolena carstens,,London 2012,Taekwondo,49 kg women
7,JPN,erika kasahara,,London 2012,Taekwondo,49 kg women
8,TPE,shu-chun yang,,London 2012,Taekwondo,49 kg women
9,ARG,carola malvina lopez rodriguez,,London 2012,Taekwondo,49 kg women
10,CAF,seulki kang,,London 2012,Taekwondo,49 kg women
11,GER,sumeyye gulec,,London 2012,Taekwondo,49 kg women
12,JOR,raya hatahet,,London 2012,Taekwondo,49 kg women
13,MAR,sanaa atabrour,,London 2012,Taekwondo,49 kg women
14,PNG,theresa tona,,London 2012,Taekwondo,49 kg women
15,RUS,kristina kim,,London 2012,Taekwondo,49 kg women
0,KOR,kyung seon hwang,,London 2012,Taekwondo,57 - 67 kg women
1,TUR,nur tatar,,London 2012,Taekwondo,57 - 67 kg women
2,USA,paige mcpherson,,London 2012,Taekwondo,57 - 67 kg women
3,GER,helena fromm,,London 2012,Taekwondo,57 - 67 kg women
4,AUS,carmen marton,,London 2012,Taekwondo,57 - 67 kg women
5,SLO,franka anic,,London 2012,Taekwondo,57 - 67 kg women
6,GRN,andrea st bernard,,London 2012,Taekwondo,57 - 67 kg women
7,CIV,ruth marie christelle gbagbi,,London 2012,Taekwondo,57 - 67 kg women
8,CAN,karine sergerie,,London 2012,Taekwondo,57 - 67 kg women
9,SWE,elin johansson,,London 2012,Taekwondo,57 - 67 kg women
10,AZE,fəridə əzizova,,London 2012,Taekwondo,57 - 67 kg women
11,EGY,seham elsawalhy,,London 2012,Taekwondo,57 - 67 kg women
12,GBR,sarah stevenson,,London 2012,Taekwondo,57 - 67 kg women
13,IRI,sousan hajipourgoli,,London 2012,Taekwondo,57 - 67 kg women
14,KAZ,gulnafis aitmukhambetova,,London 2012,Taekwondo,57 - 67 kg women
15,VIE,diệu linh chu hoàng,,London 2012,Taekwondo,57 - 67 kg women
0,TUR,servet tazegul,,London 2012,Taekwondo,58 - 68 kg men
1,IRI,mohammad bagheri motamed,,London 2012,Taekwondo,58 - 68 kg men
2,AFG,rohullah nikpai,,London 2012,Taekwondo,58 - 68 kg men
3,USA,terrence jennings,,London 2012,Taekwondo,58 - 68 kg men
4,GBR,martin stamper,,London 2012,Taekwondo,58 - 68 kg men
5,BRA,diogo silva,,London 2012,Taekwondo,58 - 68 kg men
6,CAF,david sylvere patrick boui,,London 2012,Taekwondo,58 - 68 kg men
7,UKR,hryhorii husarov,,London 2012,Taekwondo,58 - 68 kg men
8,SRB,damir fejzic,,London 2012,Taekwondo,58 - 68 kg men
9,JOR,mohammad abulibdeh,,London 2012,Taekwondo,58 - 68 kg men
10,MEX,erick osornio nunez,,London 2012,Taekwondo,58 - 68 kg men
11,NGR,isah adam mohammad,,London 2012,Taekwondo,58 - 68 kg men
12,NZL,logan campbell,,London 2012,Taekwondo,58 - 68 kg men
13,PER,peter lopez santos,,London 2012,Taekwondo,58 - 68 kg men
14,POL,michal loniewski,,London 2012,Taekwondo,58 - 68 kg men
15,UZB,dmitriy kim,,London 2012,Taekwondo,58 - 68 kg men
0,ESP,joel gonzalez bonilla,,London 2012,Taekwondo,58 kg men
1,KOR,daehoon lee,,London 2012,Taekwondo,58 kg men
2,COL,oscar munoz,,London 2012,Taekwondo,58 kg men
3,RUS,alexey denisenko,,London 2012,Taekwondo,58 kg men
4,AUS,safwan khalil,,London 2012,Taekwondo,58 kg men
5,THA,pen-ek karaket,,London 2012,Taekwondo,58 kg men
6,EGY,tamer bayoumi,,London 2012,Taekwondo,58 kg men
7,SWE,uno sanli,,London 2012,Taekwondo,58 kg men
8,YEM,tameem mohammed ahmed al-kubati,,London 2012,Taekwondo,58 kg men
9,TPE,chen-yang wei,,London 2012,Taekwondo,58 kg men
10,ALG,mokdad el-yamine,,London 2012,Taekwondo,58 kg men
11,CRC,heiner oviedo,,London 2012,Taekwondo,58 kg men
12,DOM,yulis gabriel mercedes,,London 2012,Taekwondo,58 kg men
13,KAZ,nursultan mamayev,,London 2012,Taekwondo,58 kg men
14,MEX,diego garcia de leon,,London 2012,Taekwondo,58 kg men
15,VIE,huynh chau le,,London 2012,Taekwondo,58 kg men
0,SRB,milica mandic,,London 2012,Taekwondo,67 kg women
