,country,participant,result,olympic_game,discipline,event
0,,,,London 2012,Water Polo,water polo men
1,,,,London 2012,Water Polo,water polo men
2,,,,London 2012,Water Polo,water polo men
3,,,,London 2012,Water Polo,water polo men
4,,,,London 2012,Water Polo,water polo men
5,,,,London 2012,Water Polo,water polo men
6,,,,London 2012,Water Polo,water polo men
7,,,,London 2012,Water Polo,water polo men
8,,,,London 2012,Water Polo,water polo men
9,,,,London 2012,Water Polo,water polo men
10,,,,London 2012,Water Polo,water polo men
11,,,,London 2012,Water Polo,water polo men
0,,,,London 2012,Water Polo,water polo women
1,,,,London 2012,Water Polo,water polo women
2,,,,London 2012,Water Polo,water polo women
3,,,,London 2012,Water Polo,water polo women
4,,,,London 2012,Water Polo,water polo women
5,,,,London 2012,Water Polo,water polo women
6,,,,London 2012,Water Polo,water polo women
7,,,,London 2012,Water Polo,water polo women
