,country,participant,result,olympic_game,discipline,event
0,ESP,lydia valentin perez,,London 2012,Weightlifting,75kg women
1,EGY,abir khalil,,London 2012,Weightlifting,75kg women
2,CMR,madias dodo nzesso ngake,,London 2012,Weightlifting,75kg women
3,POL,ewa mizdal,,London 2012,Weightlifting,75kg women
4,BRA,jaqueline antonia ferreira,,London 2012,Weightlifting,75kg women
5,CHI,maria fernanda valdes paris,,London 2012,Weightlifting,75kg women
6,KOR,ji-hye im,,London 2012,Weightlifting,75kg women
7,SYR,thuraia sobh,,London 2012,Weightlifting,75kg women
8,UAE,khadija mohammad,,London 2012,Weightlifting,75kg women
9,RUS,nadezhda evstiukhina,Did not finish,London 2012,Weightlifting,75kg women
10,KAZ,svetlana podobedova,Disqualified,London 2012,Weightlifting,75kg women
11,RUS,natalya zabolotnaya,Disqualified,London 2012,Weightlifting,75kg women
12,BLR,iryna kulesha,Disqualified,London 2012,Weightlifting,75kg women
0,CHN,xiaojun lyu,,London 2012,Weightlifting,77kg men
1,CHN,haojie lu,,London 2012,Weightlifting,77kg men
2,CUB,ivan cambar rodriguez,,London 2012,Weightlifting,77kg men
3,THA,chatuphum chinnawong,,London 2012,Weightlifting,77kg men
4,EGY,ibrahim ramadan ibrahim,,London 2012,Weightlifting,77kg men
5,ESP,andres eduardo mata perez,,London 2012,Weightlifting,77kg men
6,POL,krzysztof maciej zwarycz,,London 2012,Weightlifting,77kg men
7,NGR,felix ekpo,,London 2012,Weightlifting,77kg men
8,KAZ,kirill pavlov,,London 2012,Weightlifting,77kg men
9,GBR,jack oliver,,London 2012,Weightlifting,77kg men
10,SAM,toafitu perive,,London 2012,Weightlifting,77kg men
11,KOR,jaehyouk sa,Did not finish,London 2012,Weightlifting,77kg men
0,POL,adrian edward zielinski,,London 2012,Weightlifting,85kg men
1,IRI,kianoush rostami,,London 2012,Weightlifting,85kg men
2,EGY,tarek abdelazim,,London 2012,Weightlifting,85kg men
3,BUL,ivan markov,,London 2012,Weightlifting,85kg men
4,EGY,ragab abdalla,,London 2012,Weightlifting,85kg men
5,CUB,yoelmis hernandez paumier,,London 2012,Weightlifting,85kg men
6,USA,kendrick james farris,,London 2012,Weightlifting,85kg men
7,UZB,sherzodjon yusupov,,London 2012,Weightlifting,85kg men
8,THA,pitaya tibnoke,,London 2012,Weightlifting,85kg men
9,IRQ,safaa al-jumaili,,London 2012,Weightlifting,85kg men
10,NZL,richard john edward patterson,,London 2012,Weightlifting,85kg men
11,PNG,steven kari,,London 2012,Weightlifting,85kg men
12,TUR,nezir sagir,,London 2012,Weightlifting,85kg men
13,TKM,mansur rejepov,Did not finish,London 2012,Weightlifting,85kg men
14,CHN,yong lu,Did not finish,London 2012,Weightlifting,85kg men
15,IRI,sohrab moradi,Did not finish,London 2012,Weightlifting,85kg men
16,FRA,benjamin didier hennequin,Did not finish,London 2012,Weightlifting,85kg men
17,ARM,ara khachatryan,Did not finish,London 2012,Weightlifting,85kg men
18,BLR,andrei rybakou,Did not finish,London 2012,Weightlifting,85kg men
19,RUS,apti aukhadov,Disqualified,London 2012,Weightlifting,85kg men
20,GEO,raul tsirek'idze,Disqualified,London 2012,Weightlifting,85kg men
21,BLR,mikalai novikau,Disqualified,London 2012,Weightlifting,85kg men
22,ROU,gabriel sincraian,Disqualified,London 2012,Weightlifting,85kg men
0,IRI,saeid mohammadpourkarkaragh,,London 2012,Weightlifting,94kg men
1,KOR,min-jae kim,,London 2012,Weightlifting,94kg men
2,POL,tomasz bernard zielinski,,London 2012,Weightlifting,94kg men
3,BLR,aliaksandr makaranka,,London 2012,Weightlifting,94kg men
4,UKR,kostyantyn piliyev,,London 2012,Weightlifting,94kg men
5,GRE,david kavelasvili,,London 2012,Weightlifting,94kg men
6,KSA,abbas alqaisoum,,London 2012,Weightlifting,94kg men
7,GBR,peter kirkbride,,London 2012,Weightlifting,94kg men
8,KIR,david katoatau,,London 2012,Weightlifting,94kg men
9,HON,cristopher pavon,,London 2012,Weightlifting,94kg men
10,FIN,miika antti-roiko,,London 2012,Weightlifting,94kg men
11,RSA,jean greeff,,London 2012,Weightlifting,94kg men
12,POL,arsen kasabijew,Did not finish,London 2012,Weightlifting,94kg men
13,KAZ,ilya ilyin,Disqualified,London 2012,Weightlifting,94kg men
14,RUS,alexandr ivanov,Disqualified,London 2012,Weightlifting,94kg men
15,MDA,anatoli ciricu,Disqualified,London 2012,Weightlifting,94kg men
16,RUS,andrey demanov,Disqualified,London 2012,Weightlifting,94kg men
17,AZE,intigam zairov,Disqualified,London 2012,Weightlifting,94kg men
18,KAZ,almas uteshov,Disqualified,London 2012,Weightlifting,94kg men
19,ARM,norayr vardanyan,Disqualified,London 2012,Weightlifting,94kg men
20,ALB,endri karina,Disqualified,London 2012,Weightlifting,94kg men
