,country,participant,result,olympic_game,discipline,event
0,,,00:03:08.200,Los Angeles 1932,Athletics,4x400m relay men
1,,,00:03:11.200,Los Angeles 1932,Athletics,4x400m relay men
2,,,00:03:12.800,Los Angeles 1932,Athletics,4x400m relay men
3,,,00:03:14.400,Los Angeles 1932,Athletics,4x400m relay men
4,,,00:03:14.600,Los Angeles 1932,Athletics,4x400m relay men
5,,,00:03:17.800,Los Angeles 1932,Athletics,4x400m relay men
6,,,Did not start,Los Angeles 1932,Athletics,4x400m relay men
7,,,Did not start,Los Angeles 1932,Athletics,4x400m relay men
8,,,Did not start,Los Angeles 1932,Athletics,4x400m relay men
9,,,Did not start,Los Angeles 1932,Athletics,4x400m relay men
0,FIN,lauri aleksanteri lehtinen,00:14:30.000,Los Angeles 1932,Athletics,5000m men
1,USA,ralph anthony hill,00:14:30.000,Los Angeles 1932,Athletics,5000m men
2,FIN,lauri virtanen,00:14:44.000,Los Angeles 1932,Athletics,5000m men
3,NZL,billy savidan,00:14:49.600,Los Angeles 1932,Athletics,5000m men
4,SWE,jean-gunnar lindgren,00:14:54.700,Los Angeles 1932,Athletics,5000m men
5,GER,max syring,00:14:59.000,Los Angeles 1932,Athletics,5000m men
6,GBR,james alexander burns,00:15:04.400,Los Angeles 1932,Athletics,5000m men
7,USA,daniel ely dean,00:15:08.500,Los Angeles 1932,Athletics,5000m men
8,SWE,erik pettersson,00:15:13.400,Los Angeles 1932,Athletics,5000m men
9,AUS,john alexander hillhouse,00:15:15.000,Los Angeles 1932,Athletics,5000m men
10,CAN,robert scade rankine,00:15:24.000,Los Angeles 1932,Athletics,5000m men
11,JPN,shoichiro takenaka,00:17:20.000,Los Angeles 1932,Athletics,5000m men
12,FRA,roger rochard,Did not finish,Los Angeles 1932,Athletics,5000m men
13,USA,paul ernest rekers,Did not finish,Los Angeles 1932,Athletics,5000m men
14,BRA,jeronimo maria,Did not start,Los Angeles 1932,Athletics,5000m men
15,ARG,luis oliva,Did not start,Los Angeles 1932,Athletics,5000m men
16,ARG,juan carlos zabala,Did not start,Los Angeles 1932,Athletics,5000m men
17,AUS,bill barwick,Did not start,Los Angeles 1932,Athletics,5000m men
18,BRA,adalberto cardoso,Did not start,Los Angeles 1932,Athletics,5000m men
19,BRA,joão clemente da silva,Did not start,Los Angeles 1932,Athletics,5000m men
20,FIN,volmari iso-hollo,Did not start,Los Angeles 1932,Athletics,5000m men
21,FRA,roger vigneron,Did not start,Los Angeles 1932,Athletics,5000m men
22,GBR,thomas evenson,Did not start,Los Angeles 1932,Athletics,5000m men
23,POL,janusz kusocinski,Did not start,Los Angeles 1932,Athletics,5000m men
0,GBR,thomas william green,04:50:10.000,Los Angeles 1932,Athletics,50km walk men
1,LAT,janis dalins,04:57:20.000,Los Angeles 1932,Athletics,50km walk men
2,ITA,ugo frigerio,04:59:06.000,Los Angeles 1932,Athletics,50km walk men
3,GER,karl hahnel,05:06:06.000,Los Angeles 1932,Athletics,50km walk men
4,ITA,ettore rivolta,05:07:39.000,Los Angeles 1932,Athletics,50km walk men
5,GER,paul sievert,05:16:41.000,Los Angeles 1932,Athletics,50km walk men
6,FRA,henri quintric,05:27:25.000,Los Angeles 1932,Athletics,50km walk men
7,USA,george william ernest crosbie,05:28:02.000,Los Angeles 1932,Athletics,50km walk men
8,USA,bill chisholm,05:51:00.000,Los Angeles 1932,Athletics,50km walk men
9,EST,alfred maasik,06:19:00.000,Los Angeles 1932,Athletics,50km walk men
10,CAN,henry cieman,Did not finish,Los Angeles 1932,Athletics,50km walk men
11,GRE,john moralis,Did not finish,Los Angeles 1932,Athletics,50km walk men
12,ITA,francesco pretti,Did not finish,Los Angeles 1932,Athletics,50km walk men
13,SUI,arthur schwab,Did not finish,Los Angeles 1932,Athletics,50km walk men
14,USA,harry robert hinkel,Did not finish,Los Angeles 1932,Athletics,50km walk men
15,FIN,yrjo korholin-koski,Did not start,Los Angeles 1932,Athletics,50km walk men
0,GBR,thomas hampson,00:01:49.700,Los Angeles 1932,Athletics,800m men
1,CAN,alex wilson,00:01:49.900,Los Angeles 1932,Athletics,800m men
2,CAN,philip edwards,00:01:51.500,Los Angeles 1932,Athletics,800m men
3,USA,edwin bernard genung,00:01:51.700,Los Angeles 1932,Athletics,800m men
4,USA,ned turner,00:01:52.500,Los Angeles 1932,Athletics,800m men
5,USA,chuck hornbostel,00:01:52.700,Los Angeles 1932,Athletics,800m men
6,GBR,john vincent powell,00:01:53.000,Los Angeles 1932,Athletics,800m men
7,FRA,séraphin martin,00:01:53.600,Los Angeles 1932,Athletics,800m men
8,GER,otto peltzer,00:01:55.000,Los Angeles 1932,Athletics,800m men
9,FRA,paul jean keller,,Los Angeles 1932,Athletics,800m men
10,BRA,joão andrade,Did not start,Los Angeles 1932,Athletics,800m men
11,MEX,amilio rodríguez,Did not start,Los Angeles 1932,Athletics,800m men
12,NZL,john lovelock,Did not start,Los Angeles 1932,Athletics,800m men
0,USA,mildred didrikson,11.700,Los Angeles 1932,Athletics,80m hurdles women
1,USA,evelyne ruth hall,11.700,Los Angeles 1932,Athletics,80m hurdles women
2,RSA,marjorie r. clark,11.800,Los Angeles 1932,Athletics,80m hurdles women
3,USA,simone e. schaller,11.800,Los Angeles 1932,Athletics,80m hurdles women
4,GBR,violet b. webb,11.900,Los Angeles 1932,Athletics,80m hurdles women
5,CAN,alda wilson,12.000,Los Angeles 1932,Athletics,80m hurdles women
6,JPN,michi nakanishi,,Los Angeles 1932,Athletics,80m hurdles women
0,USA,jim bausch,518.8,Los Angeles 1932,Athletics,decathlon men
1,FIN,akiles eero johannes järvinen,698.8,Los Angeles 1932,Athletics,decathlon men
2,GER,wolrad eberle,774.4,Los Angeles 1932,Athletics,decathlon men
3,USA,wilson david jr. charles,742.0,Los Angeles 1932,Athletics,decathlon men
4,GER,hans-heinrich sievert,512.8,Los Angeles 1932,Athletics,decathlon men
5,FIN,paavo ilmari yrjölä,756.4,Los Angeles 1932,Athletics,decathlon men
6,USA,clifford clyde coffman,692.8,Los Angeles 1932,Athletics,decathlon men
7,IRL,robert morton newburgh tisdall,774.4,Los Angeles 1932,Athletics,decathlon men
8,GER,erwin wegner,694.0,Los Angeles 1932,Athletics,decathlon men
9,HUN,peter bacsalmasi,413.2,Los Angeles 1932,Athletics,decathlon men
10,RSA,harry balthazar hart,331.6,Los Angeles 1932,Athletics,decathlon men
11,LAT,janis dimsa,Did not finish,Los Angeles 1932,Athletics,decathlon men
12,POL,zygmunt siedlecki,Did not finish,Los Angeles 1932,Athletics,decathlon men
13,ARG,hector berra,Did not finish,Los Angeles 1932,Athletics,decathlon men
14,BRA,carlos woebcken,Did not finish,Los Angeles 1932,Athletics,decathlon men
15,CUB,josé antonio masó,Did not start,Los Angeles 1932,Athletics,decathlon men
16,ARG,hermenegildo del rosso,Did not start,Los Angeles 1932,Athletics,decathlon men
17,FIN,matti kalervo sippala,Did not start,Los Angeles 1932,Athletics,decathlon men
18,IRL,pat o'callaghan,Did not start,Los Angeles 1932,Athletics,decathlon men
19,JPN,shuhei nishida,Did not start,Los Angeles 1932,Athletics,decathlon men
