,country,participant,result,olympic_game,discipline,event
0,ITA,attilio pavesi,02:28:05.600,Los Angeles 1932,Cycling Road,individual time trial men
1,ITA,guglielmo segato,02:29:21.400,Los Angeles 1932,Cycling Road,individual time trial men
2,SWE,bernhard britz,02:29:45.200,Los Angeles 1932,Cycling Road,individual time trial men
3,ITA,giuseppe olmo,02:29:48.200,Los Angeles 1932,Cycling Road,individual time trial men
4,DEN,frode otto sörensen,02:30:11.200,Los Angeles 1932,Cycling Road,individual time trial men
5,GBR,frank william southall,02:30:16.200,Los Angeles 1932,Cycling Road,individual time trial men
6,ITA,giovanni cazzulani,02:31:07.200,Los Angeles 1932,Cycling Road,individual time trial men
7,SWE,sven höglund,02:31:29.400,Los Angeles 1932,Cycling Road,individual time trial men
8,DEN,leo nielsen,02:32:48.600,Los Angeles 1932,Cycling Road,individual time trial men
9,FRA,paul chocque,02:33:24.400,Los Angeles 1932,Cycling Road,individual time trial men
10,USA,"henry o'brien, jr.",02:33:36.000,Los Angeles 1932,Cycling Road,individual time trial men
11,DEN,henry peter christian hansen,02:35:50.400,Los Angeles 1932,Cycling Road,individual time trial men
12,FRA,amédée fournier,02:36:06.400,Los Angeles 1932,Cycling Road,individual time trial men
13,FRA,henri mouillefarine,02:37:00.800,Los Angeles 1932,Cycling Road,individual time trial men
14,GBR,charles alfred holland,02:37:17.200,Los Angeles 1932,Cycling Road,individual time trial men
15,GBR,stanley meredith butler,02:37:19.600,Los Angeles 1932,Cycling Road,individual time trial men
16,USA,frank connell,02:37:20.400,Los Angeles 1932,Cycling Road,individual time trial men
17,DEN,gunnar andersen,02:37:23.600,Los Angeles 1932,Cycling Road,individual time trial men
18,GBR,william gladstone harwell,02:37:46.800,Los Angeles 1932,Cycling Road,individual time trial men
19,SWE,arne berg,02:37:58.000,Los Angeles 1932,Cycling Road,individual time trial men
20,SWE,folke nilsson,02:38:04.200,Los Angeles 1932,Cycling Road,individual time trial men
21,CAN,glen robbins,02:38:24.800,Los Angeles 1932,Cycling Road,individual time trial men
22,NZL,ron foubister,02:38:42.400,Los Angeles 1932,Cycling Road,individual time trial men
23,FRA,georges conan,02:38:58.600,Los Angeles 1932,Cycling Road,individual time trial men
24,CAN,james stanley jackson,02:40:29.800,Los Angeles 1932,Cycling Road,individual time trial men
25,USA,otto luedeke,02:40:59.200,Los Angeles 1932,Cycling Road,individual time trial men
26,CAN,frank elliott,02:42:43.400,Los Angeles 1932,Cycling Road,individual time trial men
27,GER,werner lange-wittig,02:43:36.200,Los Angeles 1932,Cycling Road,individual time trial men
28,USA,john sinibaldi,02:44:01.200,Los Angeles 1932,Cycling Road,individual time trial men
29,GER,julius maus,02:45:15.000,Los Angeles 1932,Cycling Road,individual time trial men
30,HUN,sebestyén schmidt,02:48:37.000,Los Angeles 1932,Cycling Road,individual time trial men
31,GER,hubert ebner,02:52:30.000,Los Angeles 1932,Cycling Road,individual time trial men
32,MEX,manuel diaz cruz,03:01:08.200,Los Angeles 1932,Cycling Road,individual time trial men
33,GER,henry trondel,Did not finish,Los Angeles 1932,Cycling Road,individual time trial men
34,CAN,ernie gates,Did not finish,Los Angeles 1932,Cycling Road,individual time trial men
35,HUN,imre györffry,Did not start,Los Angeles 1932,Cycling Road,individual time trial men
0,,,07:27:15.200,Los Angeles 1932,Cycling Road,team time trial men
1,,,07:38:50.200,Los Angeles 1932,Cycling Road,team time trial men
2,,,07:39:12.600,Los Angeles 1932,Cycling Road,team time trial men
3,,,07:44:53.000,Los Angeles 1932,Cycling Road,team time trial men
4,,,07:46:31.800,Los Angeles 1932,Cycling Road,team time trial men
5,,,07:51:55.600,Los Angeles 1932,Cycling Road,team time trial men
6,,,08:01:38.000,Los Angeles 1932,Cycling Road,team time trial men
7,,,08:21:21.200,Los Angeles 1932,Cycling Road,team time trial men
