,country,participant,result,olympic_game,discipline,event
0,,,00:07:17.400,Los Angeles 1932,Rowing,double sculls 2x men
1,,,00:07:22.800,Los Angeles 1932,Rowing,double sculls 2x men
2,,,00:07:27.600,Los Angeles 1932,Rowing,double sculls 2x men
3,,,00:07:49.200,Los Angeles 1932,Rowing,double sculls 2x men
0,,,00:06:37.600,Los Angeles 1932,Rowing,eight with coxswain 8 men
1,,,00:06:37.800,Los Angeles 1932,Rowing,eight with coxswain 8 men
2,,,00:06:40.400,Los Angeles 1932,Rowing,eight with coxswain 8 men
3,,,00:06:40.800,Los Angeles 1932,Rowing,eight with coxswain 8 men
0,,,00:06:58.200,Los Angeles 1932,Rowing,four without coxswain 4 men
1,,,00:07:03.000,Los Angeles 1932,Rowing,four without coxswain 4 men
2,,,00:07:04.000,Los Angeles 1932,Rowing,four without coxswain 4 men
3,,,00:07:14.200,Los Angeles 1932,Rowing,four without coxswain 4 men
0,,,00:07:19.000,Los Angeles 1932,Rowing,four-oared shell with coxswain men
1,,,00:07:19.200,Los Angeles 1932,Rowing,four-oared shell with coxswain men
2,,,00:07:26.800,Los Angeles 1932,Rowing,four-oared shell with coxswain men
3,,,00:07:32.400,Los Angeles 1932,Rowing,four-oared shell with coxswain men
0,GBR,lewis clive,00:08:00.000,Los Angeles 1932,Rowing,pair without coxswain 2 men
1,NZL,fred houghton thompson,00:08:02.400,Los Angeles 1932,Rowing,pair without coxswain 2 men
2,POL,henryk budzinski,00:08:08.200,Los Angeles 1932,Rowing,pair without coxswain 2 men
3,NED,pieter anton roelofsen,00:08:08.400,Los Angeles 1932,Rowing,pair without coxswain 2 men
0,,,00:08:25.800,Los Angeles 1932,Rowing,pair-oared shell with coxswain men
1,,,00:08:31.200,Los Angeles 1932,Rowing,pair-oared shell with coxswain men
2,,,00:08:41.200,Los Angeles 1932,Rowing,pair-oared shell with coxswain men
3,,,00:08:53.200,Los Angeles 1932,Rowing,pair-oared shell with coxswain men
0,AUS,henry robert pearce,00:07:44.400,Los Angeles 1932,Rowing,single sculls 1x men
1,USA,william g. miller,00:07:45.200,Los Angeles 1932,Rowing,single sculls 1x men
2,URU,guillermo douglas,00:08:13.600,Los Angeles 1932,Rowing,single sculls 1x men
3,GBR,leslie frank southwood,00:08:33.600,Los Angeles 1932,Rowing,single sculls 1x men
