,country,participant,result,olympic_game,discipline,event
0,,,18,Los Angeles 1932,Sailing,6m mixed
1,,,12,Los Angeles 1932,Sailing,6m mixed
2,,,4,Los Angeles 1932,Sailing,6m mixed
0,,,8,Los Angeles 1932,Sailing,8m mixed
1,,,4,Los Angeles 1932,Sailing,8m mixed
0,FRA,jacques baptiste lebrun,87,Los Angeles 1932,Sailing,olympic class monotype mixed
1,NED,adriaan lambertus joseph maas,85,Los Angeles 1932,Sailing,olympic class monotype mixed
2,ESP,santiago amat cansino,76,Los Angeles 1932,Sailing,olympic class monotype mixed
3,GER,edgar behr,74,Los Angeles 1932,Sailing,olympic class monotype mixed
4,CAN,reginald m. dixon,72,Los Angeles 1932,Sailing,olympic class monotype mixed
5,GBR,george colin ratsey,69,Los Angeles 1932,Sailing,olympic class monotype mixed
6,USA,charles william jr. lyon,66,Los Angeles 1932,Sailing,olympic class monotype mixed
7,USA,joseph jessop,66,Los Angeles 1932,Sailing,olympic class monotype mixed
8,ITA,silvio treleani,62,Los Angeles 1932,Sailing,olympic class monotype mixed
9,SWE,sven thorell,59,Los Angeles 1932,Sailing,olympic class monotype mixed
10,AUT,hans riedl,49,Los Angeles 1932,Sailing,olympic class monotype mixed
11,RSA,cecil goodricke,12,Los Angeles 1932,Sailing,olympic class monotype mixed
0,USA,andrew j. jr. libano,46,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
1,GBR,george colin ratsey,35,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
2,SWE,daniel (dan) sundén-cullberg,28,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
3,CAN,henry holdsby simmonds,27,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
4,FRA,jean peytel,26,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
5,NED,jan maas,14,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
6,RSA,cecil goodricke,7,Los Angeles 1932,Sailing,twoperson keelboat open Star mixed
