,country,participant,result,olympic_game,discipline,event
0,FRG,fredy schmidtke,00:01:06.100,Los Angeles 1984,Cycling Track,1km time trial men
1,CAN,curtis harnett,00:01:06.440,Los Angeles 1984,Cycling Track,1km time trial men
2,FRA,fabrice colas,00:01:06.650,Los Angeles 1984,Cycling Track,1km time trial men
3,TTO,gene samuel,00:01:06.690,Los Angeles 1984,Cycling Track,1km time trial men
4,NZL,craig adair,00:01:06.960,Los Angeles 1984,Cycling Track,1km time trial men
5,JAM,david weller,00:01:07.240,Los Angeles 1984,Cycling Track,1km time trial men
6,ARG,marcelo alexandre,00:01:07.290,Los Angeles 1984,Cycling Track,1km time trial men
7,USA,rory thomas o'reilly,00:01:07.390,Los Angeles 1984,Cycling Track,1km time trial men
8,ITA,stefano baudino,00:01:07.700,Los Angeles 1984,Cycling Track,1km time trial men
9,SUI,heinz isler,00:01:07.880,Los Angeles 1984,Cycling Track,1km time trial men
10,NOR,rolf morgan hansen,00:01:07.940,Los Angeles 1984,Cycling Track,1km time trial men
11,BRA,marcelo greuel,00:01:08.370,Los Angeles 1984,Cycling Track,1km time trial men
12,JPN,tsutomu sakamoto,00:01:08.870,Los Angeles 1984,Cycling Track,1km time trial men
13,AUS,max rainsford,00:01:08.960,Los Angeles 1984,Cycling Track,1km time trial men
14,DEN,claus sylvest rasmussen,00:01:09.040,Los Angeles 1984,Cycling Track,1km time trial men
15,GUA,max eduardo leiva buhler,00:01:09.360,Los Angeles 1984,Cycling Track,1km time trial men
16,CHI,miguel angel droguett hidalgo,00:01:09.420,Los Angeles 1984,Cycling Track,1km time trial men
17,GBR,mark barry,00:01:09.540,Los Angeles 1984,Cycling Track,1km time trial men
18,BAR,charles pile,00:01:10.560,Los Angeles 1984,Cycling Track,1km time trial men
19,MAS,rosman alwi,00:01:11.030,Los Angeles 1984,Cycling Track,1km time trial men
20,AUT,paul popp,00:01:11.100,Los Angeles 1984,Cycling Track,1km time trial men
21,TPE,fu-hsiang lee,00:01:11.120,Los Angeles 1984,Cycling Track,1km time trial men
22,PHI,rodolfo guaves,00:01:11.610,Los Angeles 1984,Cycling Track,1km time trial men
23,CAY,ernest moodie,00:01:16.910,Los Angeles 1984,Cycling Track,1km time trial men
24,ANT,leonard richardson,Did not finish,Los Angeles 1984,Cycling Track,1km time trial men
0,USA,stephen edward hegg,,Los Angeles 1984,Cycling Track,Individual Pursuit men
1,FRG,rolf golz,,Los Angeles 1984,Cycling Track,Individual Pursuit men
2,USA,leonard harvey nitz,00:04:44.030,Los Angeles 1984,Cycling Track,Individual Pursuit men
3,AUS,dean woods,00:04:44.080,Los Angeles 1984,Cycling Track,Individual Pursuit men
4,DEN,jorgen pedersen,,Los Angeles 1984,Cycling Track,Individual Pursuit men
5,NED,jelle nijdan,,Los Angeles 1984,Cycling Track,Individual Pursuit men
6,FRA,pascal robert,,Los Angeles 1984,Cycling Track,Individual Pursuit men
7,AUS,michael grenda,,Los Angeles 1984,Cycling Track,Individual Pursuit men
8,BEL,rudolf ceyssens,,Los Angeles 1984,Cycling Track,Individual Pursuit men
9,ITA,roberto calovi,,Los Angeles 1984,Cycling Track,Individual Pursuit men
10,NZL,anthony cuff,,Los Angeles 1984,Cycling Track,Individual Pursuit men
11,GBR,shaun wallace,,Los Angeles 1984,Cycling Track,Individual Pursuit men
