,country,participant,result,olympic_game,discipline,event
0,,,13,Los Angeles 1984,Football,football men
1,,,9,Los Angeles 1984,Football,football men
2,,,16,Los Angeles 1984,Football,football men
3,,,5,Los Angeles 1984,Football,football men
4,,,2,Los Angeles 1984,Football,football men
5,,,5,Los Angeles 1984,Football,football men
6,,,5,Los Angeles 1984,Football,football men
7,,,10,Los Angeles 1984,Football,football men
8,,,3,Los Angeles 1984,Football,football men
9,,,3,Los Angeles 1984,Football,football men
10,,,1,Los Angeles 1984,Football,football men
11,,,4,Los Angeles 1984,Football,football men
12,,,2,Los Angeles 1984,Football,football men
13,,,3,Los Angeles 1984,Football,football men
14,,,1,Los Angeles 1984,Football,football men
15,,,2,Los Angeles 1984,Football,football men
