,country,participant,result,olympic_game,discipline,event
0,,,,Los Angeles 1984,Hockey,hockey men
1,,,,Los Angeles 1984,Hockey,hockey men
2,,,,Los Angeles 1984,Hockey,hockey men
3,,,,Los Angeles 1984,Hockey,hockey men
4,,,,Los Angeles 1984,Hockey,hockey men
5,,,,Los Angeles 1984,Hockey,hockey men
6,,,,Los Angeles 1984,Hockey,hockey men
7,,,,Los Angeles 1984,Hockey,hockey men
8,,,,Los Angeles 1984,Hockey,hockey men
9,,,,Los Angeles 1984,Hockey,hockey men
10,,,,Los Angeles 1984,Hockey,hockey men
11,,,,Los Angeles 1984,Hockey,hockey men
0,,,,Los Angeles 1984,Hockey,hockey women
1,,,,Los Angeles 1984,Hockey,hockey women
2,,,,Los Angeles 1984,Hockey,hockey women
3,,,,Los Angeles 1984,Hockey,hockey women
4,,,,Los Angeles 1984,Hockey,hockey women
5,,,,Los Angeles 1984,Hockey,hockey women
