,country,participant,result,olympic_game,discipline,event
0,CAN,victor davis,,Los Angeles 1984,Swimming,200m breaststroke men
1,AUS,glenn beringen,,Los Angeles 1984,Swimming,200m breaststroke men
2,SUI,etienne dagon,,Los Angeles 1984,Swimming,200m breaststroke men
3,USA,richard alan schroeder,,Los Angeles 1984,Swimming,200m breaststroke men
4,CAN,kenneth fitzpatrick,,Los Angeles 1984,Swimming,200m breaststroke men
5,COL,pablo restrepo,,Los Angeles 1984,Swimming,200m breaststroke men
6,POR,alexandre yokochi,,Los Angeles 1984,Swimming,200m breaststroke men
7,ITA,marco del prete,,Los Angeles 1984,Swimming,200m breaststroke men
8,GBR,adrian david moorhouse,,Los Angeles 1984,Swimming,200m breaststroke men
9,FRA,thierry pata,,Los Angeles 1984,Swimming,200m breaststroke men
10,GBR,iain campbell,,Los Angeles 1984,Swimming,200m breaststroke men
11,JPN,shigehiro takahashi,,Los Angeles 1984,Swimming,200m breaststroke men
12,ESP,enrique romero serrano,,Los Angeles 1984,Swimming,200m breaststroke men
13,AUT,thomas bohm,,Los Angeles 1984,Swimming,200m breaststroke men
14,JPN,kenji watanabe,,Los Angeles 1984,Swimming,200m breaststroke men
15,PAN,manuel gutierrez,,Los Angeles 1984,Swimming,200m breaststroke men
16,AUS,peter evans,,Los Angeles 1984,Swimming,200m breaststroke men
17,ITA,raffaele avagnano,,Los Angeles 1984,Swimming,200m breaststroke men
18,FRG,gerald morken,,Los Angeles 1984,Swimming,200m breaststroke men
19,MEX,eduardo morillo,,Los Angeles 1984,Swimming,200m breaststroke men
20,FRA,christophe deneuville,,Los Angeles 1984,Swimming,200m breaststroke men
21,FRG,peter lang,,Los Angeles 1984,Swimming,200m breaststroke men
22,ISR,eyal shtigman,,Los Angeles 1984,Swimming,200m breaststroke men
23,NOR,jan-erick olsen,,Los Angeles 1984,Swimming,200m breaststroke men
24,PHI,francisco guanco,,Los Angeles 1984,Swimming,200m breaststroke men
25,CHN,fu jin,,Los Angeles 1984,Swimming,200m breaststroke men
26,FIN,martti jarventaus,,Los Angeles 1984,Swimming,200m breaststroke men
27,NZL,brett austin,,Los Angeles 1984,Swimming,200m breaststroke men
28,CRC,andrey aguilar,,Los Angeles 1984,Swimming,200m breaststroke men
29,AUT,gerhard prohaska,,Los Angeles 1984,Swimming,200m breaststroke men
30,VEN,jorge henao,,Los Angeles 1984,Swimming,200m breaststroke men
31,TTO,paul newallo,,Los Angeles 1984,Swimming,200m breaststroke men
32,PER,oscar ortigosa,,Los Angeles 1984,Swimming,200m breaststroke men
33,ARG,julio cesar falon,,Los Angeles 1984,Swimming,200m breaststroke men
34,PHI,jairulla jaitulla,,Los Angeles 1984,Swimming,200m breaststroke men
35,BER,victor ruberry,,Los Angeles 1984,Swimming,200m breaststroke men
36,ISL,tryggvi helgason,,Los Angeles 1984,Swimming,200m breaststroke men
37,HKG,kam-sing watt,,Los Angeles 1984,Swimming,200m breaststroke men
38,EGY,ayman nadim,,Los Angeles 1984,Swimming,200m breaststroke men
39,GUA,fernando marroquin lara,,Los Angeles 1984,Swimming,200m breaststroke men
40,KUW,ahmad al-hahdoud,,Los Angeles 1984,Swimming,200m breaststroke men
41,HON,david palma abraham,,Los Angeles 1984,Swimming,200m breaststroke men
42,ISV,brian farlow,,Los Angeles 1984,Swimming,200m breaststroke men
43,ISV,harrell j. woolard,,Los Angeles 1984,Swimming,200m breaststroke men
44,BRA,luiz carvalho,Disqualified,Los Angeles 1984,Swimming,200m breaststroke men
45,ISL,arni sigurdsson,Disqualified,Los Angeles 1984,Swimming,200m breaststroke men
46,SUI,felix morf,Disqualified,Los Angeles 1984,Swimming,200m breaststroke men
47,LBN,amine el-domyati,Did not start,Los Angeles 1984,Swimming,200m breaststroke men
48,USA,john clifford moffet,Did not start,Los Angeles 1984,Swimming,200m breaststroke men
0,CAN,anne ottenbrite,,Los Angeles 1984,Swimming,200m breaststroke women
1,USA,susan gerard rapp,,Los Angeles 1984,Swimming,200m breaststroke women
2,BEL,ingrid lempereur,,Los Angeles 1984,Swimming,200m breaststroke women
3,JPN,hiroko nagasaki,,Los Angeles 1984,Swimming,200m breaststroke women
4,AUS,sharon kellett,,Los Angeles 1984,Swimming,200m breaststroke women
5,FRG,ute hasse,,Los Angeles 1984,Swimming,200m breaststroke women
6,GBR,susannah brownsdon,,Los Angeles 1984,Swimming,200m breaststroke women
7,USA,kimberly lynne rhodenbaugh,,Los Angeles 1984,Swimming,200m breaststroke women
8,ITA,manuela dalla valle,,Los Angeles 1984,Swimming,200m breaststroke women
