,country,participant,result,olympic_game,discipline,event
0,CHN,guo-qiang zeng,235,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
1,CHN,pei-shun zhou,235,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
2,JPN,kazushito manabe,232.5,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
3,JPN,hidemi miyashiota,230,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
4,INA,maman suryaman,227.5,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
5,KOR,hyo-mun bang,225,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
6,PAN,jose diaz lopez,220,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
7,TUR,levent erdogan,215,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
8,ISR,meir daloya,215,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
9,IND,mahendran kannan,215,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
10,TPE,yung-chi chung,212.5,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
11,EGY,mohamed hafez el-sayed,210,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
12,COL,antonio quintana,207.5,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
13,COL,oscar penagos,205,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
14,TPE,shen-yuan chen,200,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
15,SRI,sunil munic silva,180,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
16,POR,raul manuel correia dinis,82.5,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
17,ESP,julio saez marco,90,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
18,LBN,mahmoud tarha,Disqualified,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
19,IND,manikyalu malla-venkata,Did not finish,Los Angeles 1984,Weightlifting,- 52kg (flyweight) men
0,ITA,norberto oberburger,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
1,ROU,stefan tasnadi,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
2,USA,guy albert carlton,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
3,FRG,frank seipelt,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
4,CAN,albert squires,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
5,USA,richard scott eaton,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
6,GRE,ioannis gerontas,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
7,FRG,olaf peters,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
8,JAM,calvin stamp,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
9,SYR,abuaihuda ozon,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
10,UGA,john kyazze,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
11,GRE,georgios panayotakis,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
12,GBR,gary taylor,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
13,EGY,ashraf mohamed,,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
14,SWE,goran pettersson,Disqualified,Los Angeles 1984,Weightlifting,100  110kg heavyweight men
0,AUS,dinko lukin,,Los Angeles 1984,Weightlifting,110kg super heavyweight men
1,USA,mario martinez,,Los Angeles 1984,Weightlifting,110kg super heavyweight men
2,FRG,manfred nerlinger,,Los Angeles 1984,Weightlifting,110kg super heavyweight men
3,GRE,ioannis tsintsaris,,Los Angeles 1984,Weightlifting,110kg super heavyweight men
4,NGR,batholomew olouma,,Los Angeles 1984,Weightlifting,110kg super heavyweight men
5,EGY,mosad mosbah,,Los Angeles 1984,Weightlifting,110kg super heavyweight men
6,GRE,serafimos grammatikopoulos,Disqualified,Los Angeles 1984,Weightlifting,110kg super heavyweight men
7,NGR,ironbar bassey,Did not finish,Los Angeles 1984,Weightlifting,110kg super heavyweight men
8,AUT,stefan laggner,Disqualified,Los Angeles 1984,Weightlifting,110kg super heavyweight men
0,CHN,wei-qiang chen,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
1,ROU,gelu radu,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
2,TPE,wen-yee tsai,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
3,JPN,kaoru wabiko,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
4,JPN,yosuke muraki,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
5,KOR,myung-su lee,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
6,INA,sori enda nasution,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
7,FIN,uolevi kahelin,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
8,ROU,mircea tuli,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
9,EGY,mohamed yosaf,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
10,PAN,tomas rodriguez ortiz,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
11,GBR,geoffrey laws,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
12,COL,oscar palma,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
13,NGR,lawrence iquaibom,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
14,IND,kamalakanta santra,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
15,ECU,hector hurtado,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
16,NCA,alfredo palma,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
17,ESP,joaquin valle montero,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
18,CHN,guo-feng wang,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
19,ALG,noureddine bekkouche,,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
20,KOR,ju-hyeon ji,Did not finish,Los Angeles 1984,Weightlifting,56 - 60kg (featherweight) men
0,CHN,shu-de wu,267.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
1,CHN,run-ming lai,265,Los Angeles 1984,Weightlifting,56kg bantamweight men
2,JPN,masahiro kotaka,252.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
3,JPN,takashi ishiba,250,Los Angeles 1984,Weightlifting,56kg bantamweight men
4,KOR,chil-bong kim,245,Los Angeles 1984,Weightlifting,56kg bantamweight men
5,ESP,dionisio munoz berrio,242.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
6,FIN,arvo ojalehto,242.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
7,USA,albert hood,242.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
8,GRE,ioannis katsaidonis,240,Los Angeles 1984,Weightlifting,56kg bantamweight men
9,IND,deven govindasami,235,Los Angeles 1984,Weightlifting,56kg bantamweight men
10,TPE,yuh-chuan chiu,230,Los Angeles 1984,Weightlifting,56kg bantamweight men
11,COL,nicolas mercado,230,Los Angeles 1984,Weightlifting,56kg bantamweight men
12,EGY,mohamed el-sayed ramadan,230,Los Angeles 1984,Weightlifting,56kg bantamweight men
13,NEP,jagadish pradhan,210,Los Angeles 1984,Weightlifting,56kg bantamweight men
14,GUA,nery minchez fuentes,202.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
15,TUR,mehmet altin,102.5,Los Angeles 1984,Weightlifting,56kg bantamweight men
16,ROU,gheorghe maftei,110,Los Angeles 1984,Weightlifting,56kg bantamweight men
17,TUN,taoufik maaouia,125,Los Angeles 1984,Weightlifting,56kg bantamweight men
