,country,participant,result,olympic_game,discipline,event
0,GER,wolfgang behrendt,,Melbourne 1956,Boxing,51-54kg bantamweight men
1,KOR,soon-chun song,,Melbourne 1956,Boxing,51-54kg bantamweight men
2,IRL,frederick gilroy,,Melbourne 1956,Boxing,51-54kg bantamweight men
3,CHI,claudio barrientos,,Melbourne 1956,Boxing,51-54kg bantamweight men
4,ITA,mario sitri,,Melbourne 1956,Boxing,51-54kg bantamweight men
5,GBR,owen reilly,,Melbourne 1956,Boxing,51-54kg bantamweight men
6,BRA,eder jofre,,Melbourne 1956,Boxing,51-54kg bantamweight men
7,ARG,carmelo alfredo tomaselli,,Melbourne 1956,Boxing,51-54kg bantamweight men
8,URS,boris stepanov,,Melbourne 1956,Boxing,51-54kg bantamweight men
9,PAK,ahmed rashid,,Melbourne 1956,Boxing,51-54kg bantamweight men
10,BEL,daniel hellebuyck,,Melbourne 1956,Boxing,51-54kg bantamweight men
11,DEN,henrik iversen ottesen,,Melbourne 1956,Boxing,51-54kg bantamweight men
12,POL,zenon stefaniuk,,Melbourne 1956,Boxing,51-54kg bantamweight men
13,MYA,myint thein,,Melbourne 1956,Boxing,51-54kg bantamweight men
14,THA,vichai limcharoen,,Melbourne 1956,Boxing,51-54kg bantamweight men
15,AUS,bobby bath,,Melbourne 1956,Boxing,51-54kg bantamweight men
16,PHI,alberto adela,,Melbourne 1956,Boxing,51-54kg bantamweight men
17,SRI,henry jayasuriya,,Melbourne 1956,Boxing,51-54kg bantamweight men
0,GBR,terence george spinks,,Melbourne 1956,Boxing,51kg flyweight men
1,ROU,mircea dobrescu,,Melbourne 1956,Boxing,51kg flyweight men
2,IRL,johnny caldwell,,Melbourne 1956,Boxing,51kg flyweight men
3,FRA,rene libeer,,Melbourne 1956,Boxing,51kg flyweight men
4,USA,ray perez,,Melbourne 1956,Boxing,51kg flyweight men
5,AUS,warner stanton batchelor,,Melbourne 1956,Boxing,51kg flyweight men
6,JPN,kenji yonekura,,Melbourne 1956,Boxing,51kg flyweight men
7,URS,vladimir stolnikov,,Melbourne 1956,Boxing,51kg flyweight men
8,PHI,federico bonus,,Melbourne 1956,Boxing,51kg flyweight men
9,TCH,frantisek majdloch,,Melbourne 1956,Boxing,51kg flyweight men
10,MYA,best yaishwe,,Melbourne 1956,Boxing,51kg flyweight men
11,POL,henryk kukier,,Melbourne 1956,Boxing,51kg flyweight men
12,THA,phajol muangson,,Melbourne 1956,Boxing,51kg flyweight men
13,KOR,hyeon-gi pyo,,Melbourne 1956,Boxing,51kg flyweight men
14,ITA,salvatore burruni,,Melbourne 1956,Boxing,51kg flyweight men
15,ARG,abel ricardo laudonio,,Melbourne 1956,Boxing,51kg flyweight men
16,GER,edgar basel,,Melbourne 1956,Boxing,51kg flyweight men
17,PAK,sam harris,,Melbourne 1956,Boxing,51kg flyweight men
18,RSA,eddie ludick,,Melbourne 1956,Boxing,51kg flyweight men
0,URS,vladimir safronov,,Melbourne 1956,Boxing,54-57kg featherweight men
1,GBR,thomas g. nicholls,,Melbourne 1956,Boxing,54-57kg featherweight men
2,POL,henryk niedzwiedzki,,Melbourne 1956,Boxing,54-57kg featherweight men
3,FIN,pentti olavi hämäläinen,,Melbourne 1956,Boxing,54-57kg featherweight men
4,ARG,tristan octavio falfan,,Melbourne 1956,Boxing,54-57kg featherweight men
5,FRA,andre de souza,,Melbourne 1956,Boxing,54-57kg featherweight men
6,JPN,shinichiro suzuki,,Melbourne 1956,Boxing,54-57kg featherweight men
7,TCH,jan zachara,,Melbourne 1956,Boxing,54-57kg featherweight men
8,RSA,leonard john leisching,,Melbourne 1956,Boxing,54-57kg featherweight men
9,PAK,maurice white,,Melbourne 1956,Boxing,54-57kg featherweight men
10,ITA,agostino cossia,,Melbourne 1956,Boxing,54-57kg featherweight men
11,THA,nontaslip thayansilp,,Melbourne 1956,Boxing,54-57kg featherweight men
12,MYA,wang yaichit,,Melbourne 1956,Boxing,54-57kg featherweight men
13,AUS,noel edward hazard,,Melbourne 1956,Boxing,54-57kg featherweight men
14,KOR,do-hun jeong,,Melbourne 1956,Boxing,54-57kg featherweight men
15,GER,bernhard schroter,,Melbourne 1956,Boxing,54-57kg featherweight men
16,IRL,martin smyth,,Melbourne 1956,Boxing,54-57kg featherweight men
17,PHI,paulino meléndres,,Melbourne 1956,Boxing,54-57kg featherweight men
0,GBR,richard mctaggart,,Melbourne 1956,Boxing,57-60kg lightweight men
1,GER,harry kurschat,,Melbourne 1956,Boxing,57-60kg lightweight men
2,IRL,anthony byrne,,Melbourne 1956,Boxing,57-60kg lightweight men
3,URS,anatoly lagetko,,Melbourne 1956,Boxing,57-60kg lightweight men
4,POL,zygmunt milewski,,Melbourne 1956,Boxing,57-60kg lightweight men
5,USA,louis molina,,Melbourne 1956,Boxing,57-60kg lightweight men
6,FRA,andre vairolatto,,Melbourne 1956,Boxing,57-60kg lightweight men
7,CAN,ed beattie,,Melbourne 1956,Boxing,57-60kg lightweight men
8,FIN,pentti valdemar niinivuori,,Melbourne 1956,Boxing,57-60kg lightweight men
9,PHI,celedonio espinosa,,Melbourne 1956,Boxing,57-60kg lightweight men
10,AUS,william edward griffiths,,Melbourne 1956,Boxing,57-60kg lightweight men
11,TCH,josef chovanec,,Melbourne 1956,Boxing,57-60kg lightweight men
12,KOR,do-seon baek,,Melbourne 1956,Boxing,57-60kg lightweight men
13,SRI,chandrasena jayasuriya,,Melbourne 1956,Boxing,57-60kg lightweight men
14,THA,seeb chundakowsolya,,Melbourne 1956,Boxing,57-60kg lightweight men
15,JPN,toshihito ishimaru,,Melbourne 1956,Boxing,57-60kg lightweight men
16,NZL,thomas patrick donovan,,Melbourne 1956,Boxing,57-60kg lightweight men
17,ARG,francisco nunez,,Melbourne 1956,Boxing,57-60kg lightweight men
0,URS,vladimir engibaryan,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
1,ITA,franco nenci,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
2,RSA,henry james loubscher,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
3,ROU,constantin dumitrescu,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
4,FRA,claude saluden,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
5,USA,joseph shaw,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
6,KOR,ui-gyeong hwang,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
7,ARG,antonio salvador marcilla,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
8,IRL,henry perry,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
9,POL,leszek (lech) drogosz,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
10,CAN,les mason,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
11,AUS,max carlos,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
12,PHI,manuel de los santos,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
13,DEN,hans valdemar petersen,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
14,AUT,leopold potesil,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
15,GER,willy roth,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
16,MYA,terrence oung,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
17,VEN,carlos rodríguez,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
18,THA,chune pattapong,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
19,BRA,celestino pinto,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
20,PAK,gul rehmat,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
21,FIJ,thomas clifford schuster,,Melbourne 1956,Boxing,60-63.5kg lightwelterweigh men
0,ROU,nicolae linca,,Melbourne 1956,Boxing,63.5-67kg welterweight men
1,IRL,fred tiedt,,Melbourne 1956,Boxing,63.5-67kg welterweight men
2,AUS,kevin john hogarth,,Melbourne 1956,Boxing,63.5-67kg welterweight men
3,GBR,nicholas gargano,,Melbourne 1956,Boxing,63.5-67kg welterweight men
4,HUN,andras dori,,Melbourne 1956,Boxing,63.5-67kg welterweight men
5,USA,pearce allen lane,,Melbourne 1956,Boxing,63.5-67kg welterweight men
6,RSA,nicholas andre,,Melbourne 1956,Boxing,63.5-67kg welterweight men
7,ARG,francisco gelabert,,Melbourne 1956,Boxing,63.5-67kg welterweight men
8,PAK,bait husain,,Melbourne 1956,Boxing,63.5-67kg welterweight men
9,NZL,graham finlay,,Melbourne 1956,Boxing,63.5-67kg welterweight men
10,VEN,enrique tovar,,Melbourne 1956,Boxing,63.5-67kg welterweight men
11,POL,tadeusz walasek,,Melbourne 1956,Boxing,63.5-67kg welterweight men
12,TPE,shih-chuan lee,,Melbourne 1956,Boxing,63.5-67kg welterweight men
13,FIJ,hector rex hatch,,Melbourne 1956,Boxing,63.5-67kg welterweight men
14,CAN,walter kozak,,Melbourne 1956,Boxing,63.5-67kg welterweight men
15,URS,eduard borisov,,Melbourne 1956,Boxing,63.5-67kg welterweight men
0,HUN,lászló papp,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
1,USA,jose louis chegui torres,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
2,POL,zbigniew pietrzykowski,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
3,GBR,john mccormack,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
4,ARG,alberto manuel saenz,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
5,BUL,boris georgiev nikolov,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
6,GER,ulrich kienast,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
7,ITA,franco scisciani,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
8,PAK,muhammad safdar,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
9,URS,richard karpov,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
10,CAN,jimmy montgomery,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
11,RSA,alexander grant webster,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
12,AUS,peter read,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
13,FRA,eugene legrand,,Melbourne 1956,Boxing,67  71kg lightmiddleweight men
0,URS,gennadi shatkov,,Melbourne 1956,Boxing,71-75kg men
1,CHI,ramon tapia,,Melbourne 1956,Boxing,71-75kg men
2,ARG,victor zalazar,,Melbourne 1956,Boxing,71-75kg men
3,FRA,gilbert chapron,,Melbourne 1956,Boxing,71-75kg men
4,USA,roger wilson rouse,,Melbourne 1956,Boxing,71-75kg men
5,ITA,giulio rinaldi,,Melbourne 1956,Boxing,71-75kg men
6,GER,dieter wemhöner,,Melbourne 1956,Boxing,71-75kg men
7,TCH,julius torma,,Melbourne 1956,Boxing,71-75kg men
8,DEN,jens christian andersen,,Melbourne 1956,Boxing,71-75kg men
9,CAN,ralph robert hosack,,Melbourne 1956,Boxing,71-75kg men
10,GBR,ronald redrup,,Melbourne 1956,Boxing,71-75kg men
11,SWE,stig sjölin,,Melbourne 1956,Boxing,71-75kg men
12,AUS,howard james richter,,Melbourne 1956,Boxing,71-75kg men
13,POL,zbigniew piorkowski,,Melbourne 1956,Boxing,71-75kg men
0,USA,james felton boyd,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
1,ROU,gheorghe negrea,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
2,URS,romualdas murauskas,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
3,CHI,carlos lucas,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
4,AUS,anthony madigan,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
5,ARG,rodolfo luciano diaz,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
6,POL,andrzej wojciechowski,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
7,ITA,ottavio panunzi,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
8,SWE,lennart risberg,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
9,RSA,piet van vuuren,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
10,CAN,gerry collins,,Melbourne 1956,Boxing,75-81kg lightheavyweight men
0,USA,pete rademacher,,Melbourne 1956,Boxing,81kg heavyweight men
1,URS,lev mukhin,,Melbourne 1956,Boxing,81kg heavyweight men
2,RSA,daniel wepener bekker,,Melbourne 1956,Boxing,81kg heavyweight men
3,ITA,giacomo bozzano,,Melbourne 1956,Boxing,81kg heavyweight men
4,ARG,jose saro giorgetti,,Melbourne 1956,Boxing,81kg heavyweight men
5,TCH,josef nemec,,Melbourne 1956,Boxing,81kg heavyweight men
6,GER,ulli nitzschke,,Melbourne 1956,Boxing,81kg heavyweight men
7,SWE,torner ahsman,,Melbourne 1956,Boxing,81kg heavyweight men
8,FIN,ilkka rickhard koski,,Melbourne 1956,Boxing,81kg heavyweight men
9,IRL,pa sharkey,,Melbourne 1956,Boxing,81kg heavyweight men
10,BUL,bozhil lozanov,,Melbourne 1956,Boxing,81kg heavyweight men
