,country,participant,result,olympic_game,discipline,event
0,,,9,Melbourne 1956,Football,football men
1,,,13,Melbourne 1956,Football,football men
2,,,10,Melbourne 1956,Football,football men
3,,,5,Melbourne 1956,Football,football men
4,,,0,Melbourne 1956,Football,football men
5,,,10,Melbourne 1956,Football,football men
6,,,4,Melbourne 1956,Football,football men
7,,,1,Melbourne 1956,Football,football men
8,,,1,Melbourne 1956,Football,football men
9,,,0,Melbourne 1956,Football,football men
10,,,0,Melbourne 1956,Football,football men
