,country,participant,result,olympic_game,discipline,event
0,,,"5,527",Melbourne 1956,Sailing,5.5m mixed
1,,,"4,050",Melbourne 1956,Sailing,5.5m mixed
2,,,"4,022",Melbourne 1956,Sailing,5.5m mixed
3,,,"3,971",Melbourne 1956,Sailing,5.5m mixed
4,,,"3,807",Melbourne 1956,Sailing,5.5m mixed
5,,,"1,779",Melbourne 1956,Sailing,5.5m mixed
6,,,"1,677",Melbourne 1956,Sailing,5.5m mixed
7,,,"1,598",Melbourne 1956,Sailing,5.5m mixed
8,,,"1,575",Melbourne 1956,Sailing,5.5m mixed
9,,,"1,047",Melbourne 1956,Sailing,5.5m mixed
0,,,"5,723",Melbourne 1956,Sailing,dragon mixed
1,,,"5,723",Melbourne 1956,Sailing,dragon mixed
2,,,"4,547",Melbourne 1956,Sailing,dragon mixed
3,,,"4,225",Melbourne 1956,Sailing,dragon mixed
4,,,"3,769",Melbourne 1956,Sailing,dragon mixed
5,,,"3,404",Melbourne 1956,Sailing,dragon mixed
6,,,"3,253",Melbourne 1956,Sailing,dragon mixed
7,,,"3,186",Melbourne 1956,Sailing,dragon mixed
8,,,"3,151",Melbourne 1956,Sailing,dragon mixed
9,,,"2,922",Melbourne 1956,Sailing,dragon mixed
10,,,"2,157",Melbourne 1956,Sailing,dragon mixed
11,,,"2,015",Melbourne 1956,Sailing,dragon mixed
12,,,"2,002",Melbourne 1956,Sailing,dragon mixed
13,,,"1,409",Melbourne 1956,Sailing,dragon mixed
14,,,"1,149",Melbourne 1956,Sailing,dragon mixed
15,,,926,Melbourne 1956,Sailing,dragon mixed
0,DEN,paul elvstrøm,"7,509",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
1,BEL,andre nelis,"6,254",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
2,USA,john marvin,"5,953",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
3,GER,jurgen vogler,"4,199",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
4,SWE,rickard sarby,"3,990",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
5,RSA,eric bongers,"3,912",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
6,ITA,adelchi pelaschiar,"3,409",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
7,CAN,bruce robert w. kirby,"3,213",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
8,BAH,kenneth harrison albury,"3,182",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
9,AUS,colin stirling ryrie,"2,965",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
10,GBR,richard pearson creagh-osborne,"2,853",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
11,URS,yuri shavrin,"2,664",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
12,FRA,didier poissant,"2,555",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
13,SGP,jack snowden,"2,354",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
14,AUT,wolfgang erndl,"1,910",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
15,IRL,john somers payne,"1,830",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
16,BRA,joaquim roderbourg,"1,519",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
17,ARG,esteban luis berisso,"1,403",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
18,MYA,u maung maung lwin,"1,007",Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
19,FIJ,nesbit christopher bentley,934,Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
20,FIJ,john gillmore,934,Melbourne 1956,Sailing,Finn - One Person Dinghy (Heavyweight) men
0,NZL,peter garth mander,"6,086",Melbourne 1956,Sailing,sharpie 12m2 mixed
1,AUS,rolland leslie tasker,"6,086",Melbourne 1956,Sailing,sharpie 12m2 mixed
2,GBR,jasper roy blackall,"4,859",Melbourne 1956,Sailing,sharpie 12m2 mixed
3,ITA,mario capio,"3,928",Melbourne 1956,Sailing,sharpie 12m2 mixed
4,RSA,john allen sully,"2,917",Melbourne 1956,Sailing,sharpie 12m2 mixed
5,GER,ingo von bredow,"2,840",Melbourne 1956,Sailing,sharpie 12m2 mixed
6,URS,boris ilyin,"2,479",Melbourne 1956,Sailing,sharpie 12m2 mixed
7,FRA,claude flahault,"2,058",Melbourne 1956,Sailing,sharpie 12m2 mixed
8,USA,william stanley n. renehan,"1,929",Melbourne 1956,Sailing,sharpie 12m2 mixed
9,BRA,rolf ebling bercht,"1,349",Melbourne 1956,Sailing,sharpie 12m2 mixed
10,CAN,archibald f. cameron,"1,225",Melbourne 1956,Sailing,sharpie 12m2 mixed
11,GRE,spyros bonas,"1,137",Melbourne 1956,Sailing,sharpie 12m2 mixed
12,MYA,park wing chow,275,Melbourne 1956,Sailing,sharpie 12m2 mixed
0,USA,lawrence edgar low,"5,876",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
1,ITA,agostino straulino,"5,649",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
2,BAH,sloane elmo farrington,"5,223",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
3,POR,duarte m.d'almeida bello,"3,825",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
4,FRA,philippe chancerel,"3,126",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
5,CUB,jorge de cardenas pla,"2,714",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
6,GBR,stanley arthur potter,"2,387",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
7,URS,timir pinegin,"1,778",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
8,AUS,robert edward french,"1,409",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
9,CAN,eugene henry pennell,"1,395",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
10,ARG,ovidio manuel lagos,"1,260",Melbourne 1956,Sailing,twoperson keelboat open Star mixed
11,THA,"birabongse, prince bhanubandh",420,Melbourne 1956,Sailing,twoperson keelboat open Star mixed
