,country,participant,result,olympic_game,discipline,event
0,KEN,nabiba naftali temu,00:29:27.400,Mexico City 1968,Athletics,10000m men
1,ETH,mamo wolde,00:29:28.000,Mexico City 1968,Athletics,10000m men
2,TUN,mohamed gammoudi,00:29:34.200,Mexico City 1968,Athletics,10000m men
3,MEX,juan maximo martinez,00:29:35.000,Mexico City 1968,Athletics,10000m men
4,URS,nikolai sviridov,00:29:43.200,Mexico City 1968,Athletics,10000m men
5,AUS,ronald clarke,00:29:44.800,Mexico City 1968,Athletics,10000m men
6,GBR,ronald hill,00:29:53.200,Mexico City 1968,Athletics,10000m men
7,ETH,wohib masresha,00:29:57.000,Mexico City 1968,Athletics,10000m men
8,YUG,nedo farcic,00:30:01.200,Mexico City 1968,Athletics,10000m men
9,COL,alvaro mejia flores,00:30:10.600,Mexico City 1968,Athletics,10000m men
10,USA,tracy evans smith,00:30:14.600,Mexico City 1968,Athletics,10000m men
11,NZL,rex montague maddaford,00:30:17.200,Mexico City 1968,Athletics,10000m men
12,GBR,mike tagg,00:30:18.000,Mexico City 1968,Athletics,10000m men
13,ETH,fikru deguefu,00:30:19.400,Mexico City 1968,Athletics,10000m men
14,GDR,jurgen haase,00:30:24.200,Mexico City 1968,Athletics,10000m men
15,USA,thomas constantine laris,00:30:26.200,Mexico City 1968,Athletics,10000m men
16,URS,leonid mikitenko,00:30:46.000,Mexico City 1968,Athletics,10000m men
17,FRG,manfred letzerich,00:30:48.600,Mexico City 1968,Athletics,10000m men
18,JPN,tsugumichi suzuki,00:30:52.000,Mexico City 1968,Athletics,10000m men
19,HUN,janos szerenyi,00:30:53.600,Mexico City 1968,Athletics,10000m men
20,UGA,mustafa musa,00:30:54.200,Mexico City 1968,Athletics,10000m men
21,HUN,lajos mecser,00:30:54.800,Mexico City 1968,Athletics,10000m men
22,FRG,lutz philipp,00:30:57.000,Mexico City 1968,Athletics,10000m men
23,URS,vyacheslav alanov,00:31:01.000,Mexico City 1968,Athletics,10000m men
24,CAN,david ellis,00:31:06.600,Mexico City 1968,Athletics,10000m men
25,GBR,james joseph hogan,00:31:18.600,Mexico City 1968,Athletics,10000m men
26,JPN,keisuke sawaki,00:31:25.200,Mexico City 1968,Athletics,10000m men
27,USA,van arthur nelson,00:31:40.200,Mexico City 1968,Athletics,10000m men
28,HUN,gyorgy kiss,00:32:03.200,Mexico City 1968,Athletics,10000m men
29,CRC,juan rafael angel perez cordoba,00:32:14.600,Mexico City 1968,Athletics,10000m men
30,PHI,benjamin silva-netto,00:32:35.200,Mexico City 1968,Athletics,10000m men
31,KEN,kipchoge keino,Did not finish,Mexico City 1968,Athletics,10000m men
32,HON,rodolfo erazo,Did not finish,Mexico City 1968,Athletics,10000m men
33,NZL,evan maguire,Did not finish,Mexico City 1968,Athletics,10000m men
34,SLE,albert massaquoi,Did not finish,Mexico City 1968,Athletics,10000m men
35,BEL,willy polleunis,Did not finish,Mexico City 1968,Athletics,10000m men
36,POL,edward stawiarz,Did not finish,Mexico City 1968,Athletics,10000m men
0,USA,james ray hines,09.900,Mexico City 1968,Athletics,100m men
1,JAM,lennox miller,10.000,Mexico City 1968,Athletics,100m men
2,USA,charles edward greene,10.000,Mexico City 1968,Athletics,100m men
3,CUB,pablo montes casanova,10.100,Mexico City 1968,Athletics,100m men
4,FRA,roger bambuck,10.100,Mexico City 1968,Athletics,100m men
5,USA,melvin jr. pender,10.100,Mexico City 1968,Athletics,100m men
6,CAN,henry winston harry jerome,10.100,Mexico City 1968,Athletics,100m men
7,MAD,jean-louis ravelomanantsoa,10.200,Mexico City 1968,Athletics,100m men
8,BAH,thomas augustus robinson,Did not finish,Mexico City 1968,Athletics,100m men
0,USA,wyomia tyus,11.000,Mexico City 1968,Athletics,100m women
1,USA,barbara ann ferrell,11.100,Mexico City 1968,Athletics,100m women
2,POL,irena szewińska,11.100,Mexico City 1968,Athletics,100m women
3,AUS,raelene ann boyle,11.100,Mexico City 1968,Athletics,100m women
4,USA,margaret johnson bailes,11.300,Mexico City 1968,Athletics,100m women
5,AUS,dianne marie bowering,11.400,Mexico City 1968,Athletics,100m women
6,TPE,cheng chi,11.500,Mexico City 1968,Athletics,100m women
7,CUB,miguelina cobian hechevarria,11.600,Mexico City 1968,Athletics,100m women
8,KEN,lydia stephens,,Mexico City 1968,Athletics,100m women
0,USA,willie davenport,13.300,Mexico City 1968,Athletics,110m hurdles men
1,USA,ervin hall,13.400,Mexico City 1968,Athletics,110m hurdles men
2,ITA,eddy ottoz,13.400,Mexico City 1968,Athletics,110m hurdles men
3,USA,leonard coleman,13.600,Mexico City 1968,Athletics,110m hurdles men
4,FRG,werner trzmiel,13.600,Mexico City 1968,Athletics,110m hurdles men
5,SWE,bo forssander,13.700,Mexico City 1968,Athletics,110m hurdles men
6,FRA,marcel duriez,13.700,Mexico City 1968,Athletics,110m hurdles men
7,FRA,pierre schoebel,14.000,Mexico City 1968,Athletics,110m hurdles men
8,CHA,bernard kender,Did not start,Mexico City 1968,Athletics,110m hurdles men
9,SUI,werner kuhn,Did not start,Mexico City 1968,Athletics,110m hurdles men
0,KEN,kipchoge keino,00:03:34.900,Mexico City 1968,Athletics,1500m men
1,USA,james ronald ryun,00:03:37.800,Mexico City 1968,Athletics,1500m men
2,FRG,bodo tümmler,00:03:39.000,Mexico City 1968,Athletics,1500m men
3,FRG,harald norpoth,00:03:42.500,Mexico City 1968,Athletics,1500m men
4,GBR,john h. whetton,00:03:43.800,Mexico City 1968,Athletics,1500m men
5,FRA,jacques boxberger,00:03:46.600,Mexico City 1968,Athletics,1500m men
6,POL,henryk szordykowski,00:03:46.600,Mexico City 1968,Athletics,1500m men
7,TCH,josef odlozil,00:03:48.600,Mexico City 1968,Athletics,1500m men
8,USA,tom von ruden,00:03:49.200,Mexico City 1968,Athletics,1500m men
9,KEN,benjamin wabura jipcho,00:03:51.200,Mexico City 1968,Athletics,1500m men
10,BEL,andre de hertoghe,00:03:53.600,Mexico City 1968,Athletics,1500m men
11,USA,martin william liquori,00:04:18.200,Mexico City 1968,Athletics,1500m men
12,CHI,jorge grosser,,Mexico City 1968,Athletics,1500m men
13,BUL,blagoi kostov,Did not start,Mexico City 1968,Athletics,1500m men
14,FRA,jean wadoux,Did not start,Mexico City 1968,Athletics,1500m men
15,ARG,guillermo cuello,Did not start,Mexico City 1968,Athletics,1500m men
0,USA,thomas c. smith,19.800,Mexico City 1968,Athletics,200m men
1,AUS,peter george norman,20.000,Mexico City 1968,Athletics,200m men
2,USA,john wesley carlos,20.000,Mexico City 1968,Athletics,200m men
3,TTO,edwin roberts,20.300,Mexico City 1968,Athletics,200m men
4,FRA,roger bambuck,20.500,Mexico City 1968,Athletics,200m men
5,USA,lawrence ronald questad,20.600,Mexico City 1968,Athletics,200m men
6,JAM,mike fray,20.600,Mexico City 1968,Athletics,200m men
7,FRG,joachim eigenherr,20.600,Mexico City 1968,Athletics,200m men
8,PUR,juan franceschi,,Mexico City 1968,Athletics,200m men
9,CUB,pablo montes casanova,Did not start,Mexico City 1968,Athletics,200m men
10,ITA,ito giani,Did not start,Mexico City 1968,Athletics,200m men
11,JAM,lennox miller,Did not start,Mexico City 1968,Athletics,200m men
12,MAR,hassan el-mech,Did not start,Mexico City 1968,Athletics,200m men
0,POL,irena szewińska,22.500,Mexico City 1968,Athletics,200m women
1,AUS,raelene ann boyle,22.700,Mexico City 1968,Athletics,200m women
2,AUS,jennifer lamy-frank,22.800,Mexico City 1968,Athletics,200m women
3,USA,barbara ann ferrell,22.900,Mexico City 1968,Athletics,200m women
4,FRA,nicole montandon-pani,23.000,Mexico City 1968,Athletics,200m women
5,USA,wyomia tyus,23.000,Mexico City 1968,Athletics,200m women
6,USA,margaret johnson bailes,23.100,Mexico City 1968,Athletics,200m women
7,FRG,judith stöck,23.200,Mexico City 1968,Athletics,200m women
8,CRC,jean robotham,Did not start,Mexico City 1968,Athletics,200m women
9,NOR,berit berthelsen-toien,Did not start,Mexico City 1968,Athletics,200m women
10,KEN,lydia stephens,Did not start,Mexico City 1968,Athletics,200m women
0,URS,vladimir golubnichy,01:33:58.400,Mexico City 1968,Athletics,20km walk men
1,MEX,jose pedraza zuniga,01:34:00.000,Mexico City 1968,Athletics,20km walk men
2,URS,nikolay smaga,01:34:03.400,Mexico City 1968,Athletics,20km walk men
3,USA,rudolph john haluza,01:35:00.200,Mexico City 1968,Athletics,20km walk men
4,GDR,gerhard sperling,01:35:27.200,Mexico City 1968,Athletics,20km walk men
5,URS,otto barch,01:36:16.800,Mexico City 1968,Athletics,20km walk men
6,GDR,hans reimann,01:36:31.400,Mexico City 1968,Athletics,20km walk men
7,SWE,stefan ingvarsson,01:36:43.400,Mexico City 1968,Athletics,20km walk men
8,ROU,leonida caraiosifoglu,01:37:07.600,Mexico City 1968,Athletics,20km walk men
9,GDR,peter frenkel,01:37:20.800,Mexico City 1968,Athletics,20km walk men
10,GBR,arthur john jones,01:37:32.000,Mexico City 1968,Athletics,20km walk men
11,ITA,pasquale busca,01:37:32.000,Mexico City 1968,Athletics,20km walk men
12,MEX,jose oliveros de la torre,01:38:17.000,Mexico City 1968,Athletics,20km walk men
13,HUN,antal kiss,01:38:24.000,Mexico City 1968,Athletics,20km walk men
14,SWE,stig lindberg,01:40:03.000,Mexico City 1968,Athletics,20km walk men
15,AUS,frank clark,01:40:06.000,Mexico City 1968,Athletics,20km walk men
16,USA,thomas robert dooley,01:40:08.000,Mexico City 1968,Athletics,20km walk men
17,CAN,karl-heinz merschenz,01:40:11.000,Mexico City 1968,Athletics,20km walk men
18,LUX,charel sowa,01:40:17.000,Mexico City 1968,Athletics,20km walk men
19,MEX,eladio campos aleman,01:41:52.000,Mexico City 1968,Athletics,20km walk men
20,SWE,örjan andersson,01:41:58.000,Mexico City 1968,Athletics,20km walk men
21,GBR,john albert webb,01:42:51.000,Mexico City 1968,Athletics,20km walk men
22,SUI,rene pfister,01:43:36.000,Mexico City 1968,Athletics,20km walk men
23,GBR,robert peter hughes,01:43:50.000,Mexico City 1968,Athletics,20km walk men
24,USA,ronald owen laird,01:44:38.000,Mexico City 1968,Athletics,20km walk men
25,POL,mieczyslaw rutyna,01:47:29.000,Mexico City 1968,Athletics,20km walk men
26,CUB,euclides calzado lopez,01:49:27.000,Mexico City 1968,Athletics,20km walk men
27,GUA,julio rodolfo ortiz figueroa,01:54:48.000,Mexico City 1968,Athletics,20km walk men
28,ESA,roberto castellanos brana,01:58:48.000,Mexico City 1968,Athletics,20km walk men
29,FRG,julius müller,Disqualified,Mexico City 1968,Athletics,20km walk men
30,NCA,esteban valle,Did not finish,Mexico City 1968,Athletics,20km walk men
31,NCA,carlos vanegas,Did not finish,Mexico City 1968,Athletics,20km walk men
32,CAN,felix cappella,Did not finish,Mexico City 1968,Athletics,20km walk men
33,JPN,kazuo saito,Did not finish,Mexico City 1968,Athletics,20km walk men
0,KEN,amos kipwabok biwott,00:08:51.000,Mexico City 1968,Athletics,3000m steeplechase men
1,KEN,benjamin kogo,00:08:51.600,Mexico City 1968,Athletics,3000m steeplechase men
2,USA,george l. young,00:08:51.800,Mexico City 1968,Athletics,3000m steeplechase men
3,AUS,kerry o'brien,00:08:52.000,Mexico City 1968,Athletics,3000m steeplechase men
4,URS,aleksandr morozov,00:08:55.800,Mexico City 1968,Athletics,3000m steeplechase men
5,BUL,mihail zhelev,00:08:58.400,Mexico City 1968,Athletics,3000m steeplechase men
6,BEL,gaston roelants,00:08:59.400,Mexico City 1968,Athletics,3000m steeplechase men
7,NOR,arne roald risa,00:09:09.000,Mexico City 1968,Athletics,3000m steeplechase men
8,FRA,jean-paul villain,00:09:16.200,Mexico City 1968,Athletics,3000m steeplechase men
9,SWE,bengt persson-widmark,00:09:20.600,Mexico City 1968,Athletics,3000m steeplechase men
10,ESP,javier alvarez salgado,00:09:24.600,Mexico City 1968,Athletics,3000m steeplechase men
11,URS,viktor kudinsky,Did not finish,Mexico City 1968,Athletics,3000m steeplechase men
12,MAR,larbi oukada,,Mexico City 1968,Athletics,3000m steeplechase men
13,FRA,guy texereau,,Mexico City 1968,Athletics,3000m steeplechase men
14,ESP,mariano haro cisneros,,Mexico City 1968,Athletics,3000m steeplechase men
0,GBR,david peter hemery,48.100,Mexico City 1968,Athletics,400m hurdles men
1,FRG,gerhard hennige,49.000,Mexico City 1968,Athletics,400m hurdles men
2,GBR,john sherwood,49.000,Mexico City 1968,Athletics,400m hurdles men
3,USA,geoffrey peter vanderstock,49.000,Mexico City 1968,Athletics,400m hurdles men
4,URS,vyacheslav skomorokhov,49.100,Mexico City 1968,Athletics,400m hurdles men
5,USA,ronald howard whitney,49.200,Mexico City 1968,Athletics,400m hurdles men
6,FRG,rainer schubert,49.200,Mexico City 1968,Athletics,400m hurdles men
7,ITA,roberto frinolli,50.100,Mexico City 1968,Athletics,400m hurdles men
0,USA,lee edward evans,43.800,Mexico City 1968,Athletics,400m men
1,USA,george lawrence james,43.900,Mexico City 1968,Athletics,400m men
2,USA,ronald john ii freeman,44.400,Mexico City 1968,Athletics,400m men
3,SEN,amadou gakou,45.000,Mexico City 1968,Athletics,400m men
4,FRG,martin jellinghaus,45.300,Mexico City 1968,Athletics,400m men
5,ETH,tegegne bezabeh,45.400,Mexico City 1968,Athletics,400m men
6,POL,andrzej badenski,45.400,Mexico City 1968,Athletics,400m men
7,UGA,amos omolo,47.600,Mexico City 1968,Athletics,400m men
0,FRA,colette besson,52.000,Mexico City 1968,Athletics,400m women
1,GBR,lillian barbara board,52.100,Mexico City 1968,Athletics,400m women
