,country,participant,result,olympic_game,discipline,event
0,MEX,ricardo delgado,,Mexico City 1968,Boxing,48-51kg flyweight men
1,POL,artur olech,,Mexico City 1968,Boxing,48-51kg flyweight men
2,BRA,servilio de oliveira,,Mexico City 1968,Boxing,48-51kg flyweight men
3,UGA,leo rwabwogo,,Mexico City 1968,Boxing,48-51kg flyweight men
4,GHA,joseph destimo,,Mexico City 1968,Boxing,48-51kg flyweight men
5,JPN,tetsuaki nakamura,,Mexico City 1968,Boxing,48-51kg flyweight men
6,URS,nikolai novikov,,Mexico City 1968,Boxing,48-51kg flyweight men
7,HUN,tibor badari,,Mexico City 1968,Boxing,48-51kg flyweight men
8,CAN,john walter henry,,Mexico City 1968,Boxing,48-51kg flyweight men
9,TUR,engin yadigar,,Mexico City 1968,Boxing,48-51kg flyweight men
10,IRL,brendan mccarthy,,Mexico City 1968,Boxing,48-51kg flyweight men
11,ARG,tito antonio pereyra rodriguez,,Mexico City 1968,Boxing,48-51kg flyweight men
12,ROU,constantin ciuca,,Mexico City 1968,Boxing,48-51kg flyweight men
13,ZAM,kenny mwansa,,Mexico City 1968,Boxing,48-51kg flyweight men
14,USA,david vasquez,,Mexico City 1968,Boxing,48-51kg flyweight men
15,THA,prapan duangchaoom,,Mexico City 1968,Boxing,48-51kg flyweight men
16,AUS,robert carney,,Mexico City 1968,Boxing,48-51kg flyweight men
17,GBR,john mcgonigle,,Mexico City 1968,Boxing,48-51kg flyweight men
18,MAR,boujemaa hilmann,,Mexico City 1968,Boxing,48-51kg flyweight men
19,PHI,rodolfo diaz,,Mexico City 1968,Boxing,48-51kg flyweight men
20,VEN,felix manuel marquez,,Mexico City 1968,Boxing,48-51kg flyweight men
21,ITA,filippo grasso,,Mexico City 1968,Boxing,48-51kg flyweight men
22,KOR,sang-yeong seo,,Mexico City 1968,Boxing,48-51kg flyweight men
23,CUB,orlando martinez romero,,Mexico City 1968,Boxing,48-51kg flyweight men
24,TPE,wa-jen chan,,Mexico City 1968,Boxing,48-51kg flyweight men
25,PUR,heriberto cintron,Did not start,Mexico City 1968,Boxing,48-51kg flyweight men
0,VEN,francisco brito,,Mexico City 1968,Boxing,48kg lightflyweight men
1,KOR,yong-ju jee,,Mexico City 1968,Boxing,48kg lightflyweight men
2,USA,harlan joseph marbley,,Mexico City 1968,Boxing,48kg lightflyweight men
3,POL,hubert skrzypczak,,Mexico City 1968,Boxing,48kg lightflyweight men
4,NGR,gabriel ogun,,Mexico City 1968,Boxing,48kg lightflyweight men
5,SRI,hatha kauranaratne,,Mexico City 1968,Boxing,48kg lightflyweight men
6,AUS,joseph donovan,,Mexico City 1968,Boxing,48kg lightflyweight men
7,MEX,alberto morales,,Mexico City 1968,Boxing,48kg lightflyweight men
8,BUL,stepan aleksandrov,,Mexico City 1968,Boxing,48kg lightflyweight men
9,TUR,fuat temel,,Mexico City 1968,Boxing,48kg lightflyweight men
10,MYA,u lai thet,,Mexico City 1968,Boxing,48kg lightflyweight men
11,CUB,rafael carbonell carrion,,Mexico City 1968,Boxing,48kg lightflyweight men
12,MAR,tahar aziz,,Mexico City 1968,Boxing,48kg lightflyweight men
13,ARG,roberto urretavizcaya bolona,,Mexico City 1968,Boxing,48kg lightflyweight men
14,GDR,bernd englmeier,,Mexico City 1968,Boxing,48kg lightflyweight men
15,URS,viktor zaporozhets,,Mexico City 1968,Boxing,48kg lightflyweight men
16,ZAM,david nata,,Mexico City 1968,Boxing,48kg lightflyweight men
17,EGY,mohamed selim,,Mexico City 1968,Boxing,48kg lightflyweight men
18,HUN,györgy gedo,,Mexico City 1968,Boxing,48kg lightflyweight men
19,PHI,manolo vicera,,Mexico City 1968,Boxing,48kg lightflyweight men
20,ITA,franco udella,,Mexico City 1968,Boxing,48kg lightflyweight men
21,JPN,junji watanabe,,Mexico City 1968,Boxing,48kg lightflyweight men
22,UGA,douglas ogada,,Mexico City 1968,Boxing,48kg lightflyweight men
23,DOM,ignacio espinal,Did not start,Mexico City 1968,Boxing,48kg lightflyweight men
0,URS,valeri sokolov,,Mexico City 1968,Boxing,51-54kg bantamweight men
1,UGA,eridadi mukwanga,,Mexico City 1968,Boxing,51-54kg bantamweight men
2,JPN,eiji morioka,,Mexico City 1968,Boxing,51-54kg bantamweight men
3,KOR,sun-gil jang,,Mexico City 1968,Boxing,51-54kg bantamweight men
4,KEN,samuel mbugua,,Mexico City 1968,Boxing,51-54kg bantamweight men
5,IRL,michael dowling,,Mexico City 1968,Boxing,51-54kg bantamweight men
6,MEX,roberto cervantes,,Mexico City 1968,Boxing,51-54kg bantamweight men
7,FRG,horst rascher,,Mexico City 1968,Boxing,51-54kg bantamweight men
8,GBR,michael carter,,Mexico City 1968,Boxing,51-54kg bantamweight men
9,ITA,giuseppe mura,,Mexico City 1968,Boxing,51-54kg bantamweight men
10,AUS,john rakowski,,Mexico City 1968,Boxing,51-54kg bantamweight men
11,FRA,aldo cosentino,,Mexico City 1968,Boxing,51-54kg bantamweight men
