,country,participant,result,olympic_game,discipline,event
0,USA,leonard randolph,,Montreal 1976,Boxing,48-51kg flyweight men
1,CUB,ramon duvalon carrion,,Montreal 1976,Boxing,48-51kg flyweight men
2,URS,david torosyan,,Montreal 1976,Boxing,48-51kg flyweight men
3,POL,leszek blazynski,,Montreal 1976,Boxing,48-51kg flyweight men
4,CAN,ian clyde,,Montreal 1976,Boxing,48-51kg flyweight men
5,IRL,david larmour,,Montreal 1976,Boxing,48-51kg flyweight men
6,PRK,jo-ung jong,,Montreal 1976,Boxing,48-51kg flyweight men
7,VEN,alfredo perez,,Montreal 1976,Boxing,48-51kg flyweight men
8,JPN,toshinori koga,,Montreal 1976,Boxing,48-51kg flyweight men
9,ESP,vicente rodriguez rollan,,Montreal 1976,Boxing,48-51kg flyweight men
10,YUG,fazlija sacirovic,,Montreal 1976,Boxing,48-51kg flyweight men
11,GBR,charles magri,,Montreal 1976,Boxing,48-51kg flyweight men
12,ITA,giovanni camputaro,,Montreal 1976,Boxing,48-51kg flyweight men
13,ROU,constantin gruiescu,,Montreal 1976,Boxing,48-51kg flyweight men
14,BUL,georghi kostadinov,,Montreal 1976,Boxing,48-51kg flyweight men
15,COL,virgilio palomo meza,,Montreal 1976,Boxing,48-51kg flyweight men
16,MAR,mbarek zarrogui,,Montreal 1976,Boxing,48-51kg flyweight men
17,PAK,muhammad sadiq,,Montreal 1976,Boxing,48-51kg flyweight men
18,BRA,antonio dias toledo filho,,Montreal 1976,Boxing,48-51kg flyweight men
19,KOR,jung-chul kim,,Montreal 1976,Boxing,48-51kg flyweight men
20,FRG,joachim schuer,,Montreal 1976,Boxing,48-51kg flyweight men
21,PUR,julio guzman,,Montreal 1976,Boxing,48-51kg flyweight men
22,EGY,said ahmed el ashry,,Montreal 1976,Boxing,48-51kg flyweight men
23,THA,somchai putapibarn,,Montreal 1976,Boxing,48-51kg flyweight men
24,MEX,ernesto rios,,Montreal 1976,Boxing,48-51kg flyweight men
25,HUN,sandor orban,,Montreal 1976,Boxing,48-51kg flyweight men
