,country,participant,result,olympic_game,discipline,event
0,GDR,klaus-jürgen grünke,00:01:05.927,Montreal 1976,Cycling Track,1km time trial men
1,BEL,michel vaarten,00:01:07.516,Montreal 1976,Cycling Track,1km time trial men
2,DEN,niels christian fredborg,00:01:07.617,Montreal 1976,Cycling Track,1km time trial men
3,POL,janusz kierzkowski,00:01:07.660,Montreal 1976,Cycling Track,1km time trial men
4,FRA,eric vermeulen,00:01:07.846,Montreal 1976,Cycling Track,1km time trial men
5,FRG,hans michalsky,00:01:07.878,Montreal 1976,Cycling Track,1km time trial men
6,NOR,harald bundli,00:01:08.093,Montreal 1976,Cycling Track,1km time trial men
7,SUI,walter bani,00:01:08.112,Montreal 1976,Cycling Track,1km time trial men
8,TCH,miroslav vymazal,00:01:08.173,Montreal 1976,Cycling Track,1km time trial men
9,ITA,massimo marino,00:01:08.488,Montreal 1976,Cycling Track,1km time trial men
10,JAM,david weller,00:01:08.534,Montreal 1976,Cycling Track,1km time trial men
11,AUS,stephen goodall,00:01:08.610,Montreal 1976,Cycling Track,1km time trial men
12,CAN,jocelyn charles lovell,00:01:08.852,Montreal 1976,Cycling Track,1km time trial men
13,BUL,dimo angelov tontchev,00:01:08.950,Montreal 1976,Cycling Track,1km time trial men
14,USA,robert ernest vehe,00:01:09.057,Montreal 1976,Cycling Track,1km time trial men
15,CHI,richard tormen,00:01:09.468,Montreal 1976,Cycling Track,1km time trial men
16,JPN,yoshikazu cho,00:01:09.664,Montreal 1976,Cycling Track,1km time trial men
17,BAR,hector edwards,00:01:10.084,Montreal 1976,Cycling Track,1km time trial men
18,GBR,paul a. medhurst,00:01:10.167,Montreal 1976,Cycling Track,1km time trial men
19,TTO,anthony sellier,00:01:11.103,Montreal 1976,Cycling Track,1km time trial men
20,GRE,mikael kountras,00:01:11.435,Montreal 1976,Cycling Track,1km time trial men
21,URU,miguel margaleff,00:01:11.905,Montreal 1976,Cycling Track,1km time trial men
22,TUR,erol kucukbakirci,00:01:12.697,Montreal 1976,Cycling Track,1km time trial men
23,YUG,vlado fumic,00:01:13.037,Montreal 1976,Cycling Track,1km time trial men
24,IRI,masoud mobaraki,00:01:14.169,Montreal 1976,Cycling Track,1km time trial men
25,BOL,marco soria galvarro,00:01:14.480,Montreal 1976,Cycling Track,1km time trial men
26,THA,taworn tarwan,00:01:15.136,Montreal 1976,Cycling Track,1km time trial men
27,HKG,fai-lui chan,00:01:16.957,Montreal 1976,Cycling Track,1km time trial men
28,ANT,donald christian,Did not finish,Montreal 1976,Cycling Track,1km time trial men
29,URS,eduard rapp,Disqualified,Montreal 1976,Cycling Track,1km time trial men
0,FRG,gregor braun,,Montreal 1976,Cycling Track,Individual Pursuit men
1,NED,herman ponsteen,,Montreal 1976,Cycling Track,Individual Pursuit men
2,GDR,thomas huschke,00:04:52.710,Montreal 1976,Cycling Track,Individual Pursuit men
3,URS,vladimir osokin,00:04:57.340,Montreal 1976,Cycling Track,Individual Pursuit men
4,ITA,orfeo pizzoferato,,Montreal 1976,Cycling Track,Individual Pursuit men
5,AUS,garry sutton,,Montreal 1976,Cycling Track,Individual Pursuit men
6,NOR,jan georg iversen,,Montreal 1976,Cycling Track,Individual Pursuit men
7,TCH,michal klasa,,Montreal 1976,Cycling Track,Individual Pursuit men
8,NZL,michael richards,,Montreal 1976,Cycling Track,Individual Pursuit men
9,POL,jan jankiewicz,,Montreal 1976,Cycling Track,Individual Pursuit men
10,FRA,jean-jacques rebière,,Montreal 1976,Cycling Track,Individual Pursuit men
11,BEL,jean louis baugnies,,Montreal 1976,Cycling Track,Individual Pursuit men
12,FIN,harry hannus,,Montreal 1976,Cycling Track,Individual Pursuit men
13,SUI,robert dill-bundi,,Montreal 1976,Cycling Track,Individual Pursuit men
14,JPN,yoichi machishima,,Montreal 1976,Cycling Track,Individual Pursuit men
15,HUN,gabor szucs,,Montreal 1976,Cycling Track,Individual Pursuit men
16,IRI,gholam hossein koohi,overtaken,Montreal 1976,Cycling Track,Individual Pursuit men
17,COL,jose jaime galeano rua,overtaken,Montreal 1976,Cycling Track,Individual Pursuit men
18,ANT,donald christian,Did not finish,Montreal 1976,Cycling Track,Individual Pursuit men
0,TCH,anton tkac,,Montreal 1976,Cycling Track,Sprint individual men
1,FRA,daniel morelon,,Montreal 1976,Cycling Track,Sprint individual men
2,GDR,hans-jürgen geschke,,Montreal 1976,Cycling Track,Sprint individual men
3,FRG,dieter berkmann,,Montreal 1976,Cycling Track,Sprint individual men
