,country,participant,result,olympic_game,discipline,event
0,FRG,alexander pusch,,Montreal 1976,Fencing,épée individual men
1,FRG,hans-jürgen hehn,,Montreal 1976,Fencing,épée individual men
2,HUN,gyözö kulcsar,,Montreal 1976,Fencing,épée individual men
3,HUN,istvan osztrics,,Montreal 1976,Fencing,épée individual men
4,POL,janusz janikowski,,Montreal 1976,Fencing,épée individual men
5,SWE,rolf edling,,Montreal 1976,Fencing,épée individual men
6,HUN,csaba fenyvesi,,Montreal 1976,Fencing,épée individual men
7,SWE,göran flodström,,Montreal 1976,Fencing,épée individual men
8,SWE,hans jacobson,,Montreal 1976,Fencing,épée individual men
9,ITA,john pezza,,Montreal 1976,Fencing,épée individual men
10,FRG,reinhold behr,,Montreal 1976,Fencing,épée individual men
11,FRA,philippe boisse,,Montreal 1976,Fencing,épée individual men
12,ROU,nicolae iorgu,,Montreal 1976,Fencing,épée individual men
13,SUI,christian kauter,,Montreal 1976,Fencing,épée individual men
14,GBR,william ralph johnson,,Montreal 1976,Fencing,épée individual men
15,TCH,jaroslav jurka,,Montreal 1976,Fencing,épée individual men
16,URS,boris lukomsky,,Montreal 1976,Fencing,épée individual men
17,NOR,nils björn koppang,,Montreal 1976,Fencing,épée individual men
18,ROU,paul szabo,,Montreal 1976,Fencing,épée individual men
19,URS,aleksandr bykov,,Montreal 1976,Fencing,épée individual men
20,AUT,karl-heinz müller,,Montreal 1976,Fencing,épée individual men
21,SUI,françois suchanecki,,Montreal 1976,Fencing,épée individual men
22,ITA,nicola granieri,,Montreal 1976,Fencing,épée individual men
23,NOR,jeppe norman,,Montreal 1976,Fencing,épée individual men
24,SUI,daniel giger,,Montreal 1976,Fencing,épée individual men
25,URS,aleksandr abushakhmetov,,Montreal 1976,Fencing,épée individual men
26,AUS,gregory benko,,Montreal 1976,Fencing,épée individual men
27,GBR,edward owen bourne,,Montreal 1976,Fencing,épée individual men
28,NOR,ole moerch,,Montreal 1976,Fencing,épée individual men
29,POL,zbigniew matwiejew,,Montreal 1976,Fencing,épée individual men
30,BEL,thierry soumagne,,Montreal 1976,Fencing,épée individual men
31,IRI,sarkis assatourian,,Montreal 1976,Fencing,épée individual men
32,ROU,anton alexandru pongratz,,Montreal 1976,Fencing,épée individual men
33,AUT,peter zobl-wessely,,Montreal 1976,Fencing,épée individual men
34,ARG,omar alejandro vergara,,Montreal 1976,Fencing,épée individual men
35,AUT,herbert lindner,,Montreal 1976,Fencing,épée individual men
36,FRA,philippe riboud,,Montreal 1976,Fencing,épée individual men
37,BRA,arthur telles cramer ribeiro,,Montreal 1976,Fencing,épée individual men
38,GBR,timothy belson,,Montreal 1976,Fencing,épée individual men
39,POL,marceli wiech,,Montreal 1976,Fencing,épée individual men
40,USA,scott edward bozek,,Montreal 1976,Fencing,épée individual men
41,LUX,roger menghi,,Montreal 1976,Fencing,épée individual men
42,ARG,daniel adolfo feraud,,Montreal 1976,Fencing,épée individual men
43,USA,brooke adrian makler,,Montreal 1976,Fencing,épée individual men
44,THA,taweewat hurapan,,Montreal 1976,Fencing,épée individual men
45,THA,sneh chousurin,,Montreal 1976,Fencing,épée individual men
46,USA,george gabriel masin,,Montreal 1976,Fencing,épée individual men
47,LUX,robert schiel,,Montreal 1976,Fencing,épée individual men
48,IRI,iraj dastgerdi,,Montreal 1976,Fencing,épée individual men
49,FRA,jacques ladegaillerie,,Montreal 1976,Fencing,épée individual men
50,CAN,alain dansereau,,Montreal 1976,Fencing,épée individual men
51,CAN,george varaljay,,Montreal 1976,Fencing,épée individual men
52,CAN,geza tatrallyay,,Montreal 1976,Fencing,épée individual men
53,ITA,marcello bertinetti,,Montreal 1976,Fencing,épée individual men
54,PUR,gilberto pena,,Montreal 1976,Fencing,épée individual men
55,THA,sutipong santitevagul,,Montreal 1976,Fencing,épée individual men
56,CHI,juan inostroza,,Montreal 1976,Fencing,épée individual men
57,FIN,veikko ilmari salminen,,Montreal 1976,Fencing,épée individual men
58,IRI,esfandiar zarnegar,,Montreal 1976,Fencing,épée individual men
59,HKG,wai leung robert kam,,Montreal 1976,Fencing,épée individual men
60,ARG,juan daniel piran,,Montreal 1976,Fencing,épée individual men
61,PUR,ruben a. hernandez,,Montreal 1976,Fencing,épée individual men
62,HKG,denis cunningham,,Montreal 1976,Fencing,épée individual men
63,HKG,wan-hei matthew chan,,Montreal 1976,Fencing,épée individual men
0,,,,Montreal 1976,Fencing,épée team men
1,,,,Montreal 1976,Fencing,épée team men
2,,,,Montreal 1976,Fencing,épée team men
3,,,,Montreal 1976,Fencing,épée team men
4,,,,Montreal 1976,Fencing,épée team men
5,,,,Montreal 1976,Fencing,épée team men
6,,,,Montreal 1976,Fencing,épée team men
7,,,,Montreal 1976,Fencing,épée team men
8,,,,Montreal 1976,Fencing,épée team men
9,,,,Montreal 1976,Fencing,épée team men
10,,,,Montreal 1976,Fencing,épée team men
11,,,,Montreal 1976,Fencing,épée team men
12,,,,Montreal 1976,Fencing,épée team men
13,,,,Montreal 1976,Fencing,épée team men
14,,,,Montreal 1976,Fencing,épée team men
15,,,,Montreal 1976,Fencing,épée team men
16,,,,Montreal 1976,Fencing,épée team men
17,,,,Montreal 1976,Fencing,épée team men
18,,,,Montreal 1976,Fencing,épée team men
0,ITA,fabio dal zotto,,Montreal 1976,Fencing,foil individual men
1,URS,aleksander romankov,,Montreal 1976,Fencing,foil individual men
2,FRA,bernard talvard,,Montreal 1976,Fencing,foil individual men
3,URS,vasily stankovich,,Montreal 1976,Fencing,foil individual men
4,FRA,frederic pietruszka,,Montreal 1976,Fencing,foil individual men
5,AUS,gregory benko,,Montreal 1976,Fencing,foil individual men
6,URS,vladimir denisov,,Montreal 1976,Fencing,foil individual men
7,FRA,christian noël,,Montreal 1976,Fencing,foil individual men
8,HUN,jozsef komatics,,Montreal 1976,Fencing,foil individual men
9,ROU,adalbert petru kuki,,Montreal 1976,Fencing,foil individual men
10,FRG,harald hein,,Montreal 1976,Fencing,foil individual men
11,POL,marek dabrowski,,Montreal 1976,Fencing,foil individual men
12,FRG,matthias behr,,Montreal 1976,Fencing,foil individual men
13,GDR,klaus härtter,,Montreal 1976,Fencing,foil individual men
14,FRG,klaus reichert,,Montreal 1976,Fencing,foil individual men
15,USA,edward joseph donofrio,,Montreal 1976,Fencing,foil individual men
16,CUB,enrique salvat aragon,,Montreal 1976,Fencing,foil individual men
