,country,participant,result,olympic_game,discipline,event
0,,,,Montreal 1976,Hockey,hockey men
1,,,,Montreal 1976,Hockey,hockey men
2,,,,Montreal 1976,Hockey,hockey men
3,,,,Montreal 1976,Hockey,hockey men
4,,,,Montreal 1976,Hockey,hockey men
5,,,,Montreal 1976,Hockey,hockey men
6,,,,Montreal 1976,Hockey,hockey men
7,,,,Montreal 1976,Hockey,hockey men
8,,,,Montreal 1976,Hockey,hockey men
9,,,,Montreal 1976,Hockey,hockey men
10,,,,Montreal 1976,Hockey,hockey men
11,,,Did not start,Montreal 1976,Hockey,hockey men
