,country,participant,result,olympic_game,discipline,event
0,NOR,frank hansen,,Montreal 1976,Rowing,double sculls 2x men
1,GBR,christopher baillieu,,Montreal 1976,Rowing,double sculls 2x men
2,GDR,jürgen bertow,,Montreal 1976,Rowing,double sculls 2x men
3,URS,gennadi korshikov,,Montreal 1976,Rowing,double sculls 2x men
4,FRG,peter becker,,Montreal 1976,Rowing,double sculls 2x men
5,FRA,jean-noel ribot,,Montreal 1976,Rowing,double sculls 2x men
6,ITA,umberto ragazzi,00:07:15.210,Montreal 1976,Rowing,double sculls 2x men
7,USA,lawrence joseph klecatsky,00:07:16.590,Montreal 1976,Rowing,double sculls 2x men
8,YUG,zoran pancic,00:07:21.690,Montreal 1976,Rowing,double sculls 2x men
9,TCH,miroslav laholik,00:07:23.490,Montreal 1976,Rowing,double sculls 2x men
10,SWE,jean-henrik martell,00:07:25.570,Montreal 1976,Rowing,double sculls 2x men
11,BEL,patrick willems,00:07:25.820,Montreal 1976,Rowing,double sculls 2x men
12,BRA,sergio brasilsztancsa,,Montreal 1976,Rowing,double sculls 2x men
0,BUL,zdravka yordanova,,Montreal 1976,Rowing,double sculls 2x women
1,GDR,sabine jahn,,Montreal 1976,Rowing,double sculls 2x women
2,URS,leonora kaminskaite,,Montreal 1976,Rowing,double sculls 2x women
3,NOR,ingun brechan,,Montreal 1976,Rowing,double sculls 2x women
4,USA,jane louise palchikoff,,Montreal 1976,Rowing,double sculls 2x women
5,CAN,cheryl howard,,Montreal 1976,Rowing,double sculls 2x women
6,NED,helena (hellie) klaasse,00:04:03.370,Montreal 1976,Rowing,double sculls 2x women
7,TCH,zuzana prokesova,00:04:03.660,Montreal 1976,Rowing,double sculls 2x women
8,FRA,josiane rabiller,00:04:05.160,Montreal 1976,Rowing,double sculls 2x women
9,AUT,maria leibetseder,00:04:11.380,Montreal 1976,Rowing,double sculls 2x women
0,,,,Montreal 1976,Rowing,eight with coxswain 8 men
1,,,,Montreal 1976,Rowing,eight with coxswain 8 men
2,,,,Montreal 1976,Rowing,eight with coxswain 8 men
3,,,,Montreal 1976,Rowing,eight with coxswain 8 men
4,,,,Montreal 1976,Rowing,eight with coxswain 8 men
5,,,,Montreal 1976,Rowing,eight with coxswain 8 men
6,,,00:06:05.880,Montreal 1976,Rowing,eight with coxswain 8 men
7,,,00:06:09.030,Montreal 1976,Rowing,eight with coxswain 8 men
8,,,00:06:11.070,Montreal 1976,Rowing,eight with coxswain 8 men
9,,,00:06:14.860,Montreal 1976,Rowing,eight with coxswain 8 men
10,,,00:06:33.330,Montreal 1976,Rowing,eight with coxswain 8 men
0,,,,Montreal 1976,Rowing,eight with coxswain 8 women
1,,,,Montreal 1976,Rowing,eight with coxswain 8 women
2,,,,Montreal 1976,Rowing,eight with coxswain 8 women
3,,,,Montreal 1976,Rowing,eight with coxswain 8 women
4,,,,Montreal 1976,Rowing,eight with coxswain 8 women
5,,,,Montreal 1976,Rowing,eight with coxswain 8 women
6,,,00:03:32.480,Montreal 1976,Rowing,eight with coxswain 8 women
7,,,00:03:35.870,Montreal 1976,Rowing,eight with coxswain 8 women
0,,,,Montreal 1976,Rowing,four without coxswain 4 men
1,,,,Montreal 1976,Rowing,four without coxswain 4 men
2,,,,Montreal 1976,Rowing,four without coxswain 4 men
3,,,,Montreal 1976,Rowing,four without coxswain 4 men
4,,,,Montreal 1976,Rowing,four without coxswain 4 men
5,,,,Montreal 1976,Rowing,four without coxswain 4 men
6,,,00:06:41.360,Montreal 1976,Rowing,four without coxswain 4 men
7,,,00:06:43.060,Montreal 1976,Rowing,four without coxswain 4 men
8,,,00:06:43.960,Montreal 1976,Rowing,four without coxswain 4 men
9,,,00:06:47.510,Montreal 1976,Rowing,four without coxswain 4 men
10,,,00:06:48.110,Montreal 1976,Rowing,four without coxswain 4 men
11,,,00:06:53.020,Montreal 1976,Rowing,four without coxswain 4 men
0,,,,Montreal 1976,Rowing,four-oared shell with coxswain men
1,,,,Montreal 1976,Rowing,four-oared shell with coxswain men
2,,,,Montreal 1976,Rowing,four-oared shell with coxswain men
3,,,,Montreal 1976,Rowing,four-oared shell with coxswain men
4,,,,Montreal 1976,Rowing,four-oared shell with coxswain men
5,,,,Montreal 1976,Rowing,four-oared shell with coxswain men
6,,,00:06:49.560,Montreal 1976,Rowing,four-oared shell with coxswain men
7,,,00:06:51.850,Montreal 1976,Rowing,four-oared shell with coxswain men
8,,,00:06:52.130,Montreal 1976,Rowing,four-oared shell with coxswain men
9,,,00:06:53.550,Montreal 1976,Rowing,four-oared shell with coxswain men
10,,,00:06:54.920,Montreal 1976,Rowing,four-oared shell with coxswain men
11,,,00:06:55.530,Montreal 1976,Rowing,four-oared shell with coxswain men
0,,,,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
1,,,,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
2,,,,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
3,,,,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
4,,,,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
5,,,,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
6,,,00:03:46.180,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
7,,,00:03:47.760,Montreal 1976,Rowing,fouroared shell with coxswain 4 women
0,GDR,bernd landvoigt,,Montreal 1976,Rowing,pair without coxswain 2 men
1,USA,michael laurence staines,,Montreal 1976,Rowing,pair without coxswain 2 men
2,FRG,thomas strauss,,Montreal 1976,Rowing,pair without coxswain 2 men
3,YUG,dusko mrduljas,,Montreal 1976,Rowing,pair without coxswain 2 men
4,BUL,valentin stoev,,Montreal 1976,Rowing,pair without coxswain 2 men
5,TCH,vojtech caska,,Montreal 1976,Rowing,pair without coxswain 2 men
6,URS,gennadi kinko,00:07:26.270,Montreal 1976,Rowing,pair without coxswain 2 men
7,FIN,leo vilhelm ahonen,00:07:29.090,Montreal 1976,Rowing,pair without coxswain 2 men
8,CAN,michael neary,00:07:30.240,Montreal 1976,Rowing,pair without coxswain 2 men
9,NED,jan van der horst,00:07:31.400,Montreal 1976,Rowing,pair without coxswain 2 men
10,POL,alfons slusarski,00:07:35.530,Montreal 1976,Rowing,pair without coxswain 2 men
11,GBR,david philip sturge,00:07:36.120,Montreal 1976,Rowing,pair without coxswain 2 men
0,BUL,stoyanka gruitcheva-kubatova,,Montreal 1976,Rowing,pair without coxswain 2 women
1,GDR,angelika noack,,Montreal 1976,Rowing,pair without coxswain 2 women
2,FRG,thea einöder-straube,,Montreal 1976,Rowing,pair without coxswain 2 women
3,URS,nataliya gorodilova,,Montreal 1976,Rowing,pair without coxswain 2 women
4,CAN,patricia smith,,Montreal 1976,Rowing,pair without coxswain 2 women
5,ROU,marlena predescu,,Montreal 1976,Rowing,pair without coxswain 2 women
6,USA,laura catherine staines,00:04:02.910,Montreal 1976,Rowing,pair without coxswain 2 women
7,POL,anna karbowiak,00:04:03.260,Montreal 1976,Rowing,pair without coxswain 2 women
8,TCH,zdena ticha,00:04:05.100,Montreal 1976,Rowing,pair without coxswain 2 women
9,GBR,beryl mitchell,00:04:07.990,Montreal 1976,Rowing,pair without coxswain 2 women
10,HUN,judit kéri-novák,00:04:11.930,Montreal 1976,Rowing,pair without coxswain 2 women
0,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
1,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
2,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
3,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
4,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
5,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
6,,,00:08:06.930,Montreal 1976,Rowing,pair-oared shell with coxswain men
7,,,00:08:09.020,Montreal 1976,Rowing,pair-oared shell with coxswain men
8,,,00:08:12.660,Montreal 1976,Rowing,pair-oared shell with coxswain men
9,,,00:08:14.440,Montreal 1976,Rowing,pair-oared shell with coxswain men
10,,,00:08:15.650,Montreal 1976,Rowing,pair-oared shell with coxswain men
11,,,00:08:16.220,Montreal 1976,Rowing,pair-oared shell with coxswain men
12,,,,Montreal 1976,Rowing,pair-oared shell with coxswain men
0,,,,Montreal 1976,Rowing,quadruple sculls with coxswain women
1,,,,Montreal 1976,Rowing,quadruple sculls with coxswain women
2,,,,Montreal 1976,Rowing,quadruple sculls with coxswain women
3,,,,Montreal 1976,Rowing,quadruple sculls with coxswain women
4,,,,Montreal 1976,Rowing,quadruple sculls with coxswain women
5,,,,Montreal 1976,Rowing,quadruple sculls with coxswain women
6,,,00:03:46.060,Montreal 1976,Rowing,quadruple sculls with coxswain women
7,,,00:03:55.330,Montreal 1976,Rowing,quadruple sculls with coxswain women
8,,,00:03:57.720,Montreal 1976,Rowing,quadruple sculls with coxswain women
0,,,,Montreal 1976,Rowing,quadruple sculls without coxsw men
1,,,,Montreal 1976,Rowing,quadruple sculls without coxsw men
2,,,,Montreal 1976,Rowing,quadruple sculls without coxsw men
3,,,,Montreal 1976,Rowing,quadruple sculls without coxsw men
4,,,,Montreal 1976,Rowing,quadruple sculls without coxsw men
5,,,,Montreal 1976,Rowing,quadruple sculls without coxsw men
6,,,00:06:28.600,Montreal 1976,Rowing,quadruple sculls without coxsw men
7,,,00:06:29.610,Montreal 1976,Rowing,quadruple sculls without coxsw men
8,,,00:06:32.830,Montreal 1976,Rowing,quadruple sculls without coxsw men
9,,,00:06:40.760,Montreal 1976,Rowing,quadruple sculls without coxsw men
10,,,00:06:44.740,Montreal 1976,Rowing,quadruple sculls without coxsw men
0,FIN,pertti karppinen,,Montreal 1976,Rowing,single sculls 1x men
1,FRG,peter-michael kolbe,,Montreal 1976,Rowing,single sculls 1x men
2,GDR,joachim dreifke,,Montreal 1976,Rowing,single sculls 1x men
3,IRL,sean drea,,Montreal 1976,Rowing,single sculls 1x men
4,URS,nikolay dovgan,,Montreal 1976,Rowing,single sculls 1x men
5,ARG,ricardo daniel ibarra,,Montreal 1976,Rowing,single sculls 1x men
6,USA,james william dietz,00:07:58.700,Montreal 1976,Rowing,single sculls 1x men
7,AUS,edward hale,00:07:58.860,Montreal 1976,Rowing,single sculls 1x men
8,SWE,hans svensson,00:07:59.360,Montreal 1976,Rowing,single sculls 1x men
9,ITA,fabrizio biondi,00:08:07.170,Montreal 1976,Rowing,single sculls 1x men
10,ROU,walter lambertus,00:08:11.130,Montreal 1976,Rowing,single sculls 1x men
11,BEL,claude dehombreux,00:08:15.350,Montreal 1976,Rowing,single sculls 1x men
0,GDR,christine scheiblich,,Montreal 1976,Rowing,single sculls 1x women
1,USA,joan louise lind,,Montreal 1976,Rowing,single sculls 1x women
2,URS,elena antonova,,Montreal 1976,Rowing,single sculls 1x women
3,BUL,rositsa spasova,,Montreal 1976,Rowing,single sculls 1x women
4,NED,ingrid munneke,,Montreal 1976,Rowing,single sculls 1x women
5,HUN,mariann ambrus,,Montreal 1976,Rowing,single sculls 1x women
6,FRA,annick anthoine,00:04:19.140,Montreal 1976,Rowing,single sculls 1x women
7,FRG,christel agricola,00:04:23.490,Montreal 1976,Rowing,single sculls 1x women
8,POL,ewa ambroziak,00:04:26.600,Montreal 1976,Rowing,single sculls 1x women
9,NOR,tone pahle,00:04:30.530,Montreal 1976,Rowing,single sculls 1x women
10,CAN,colette pepin,00:04:34.760,Montreal 1976,Rowing,single sculls 1x women
