,country,participant,result,olympic_game,discipline,event
0,USA,john phillips naber,,Montreal 1976,Swimming,100m backstroke men
1,USA,peter drake rocca,,Montreal 1976,Swimming,100m backstroke men
2,GDR,roland matthes,,Montreal 1976,Swimming,100m backstroke men
3,PUR,carlos berrocal,,Montreal 1976,Swimming,100m backstroke men
4,GDR,lutz wanja,,Montreal 1976,Swimming,100m backstroke men
5,USA,robert scott jackson,,Montreal 1976,Swimming,100m backstroke men
6,AUS,mark kerry,,Montreal 1976,Swimming,100m backstroke men
7,AUS,mark tonelli,,Montreal 1976,Swimming,100m backstroke men
8,AUS,glen patching,,Montreal 1976,Swimming,100m backstroke men
9,CAN,stephen pickell,,Montreal 1976,Swimming,100m backstroke men
10,BRA,romulo duncan duncan arantes,,Montreal 1976,Swimming,100m backstroke men
11,HUN,zoltan verraszto,,Montreal 1976,Swimming,100m backstroke men
12,URS,igor evgenevich omeltchenko,,Montreal 1976,Swimming,100m backstroke men
13,BRA,paul jouanneau,,Montreal 1976,Swimming,100m backstroke men
14,ESP,santiago esteva escoda,,Montreal 1976,Swimming,100m backstroke men
15,POL,ryszard zugaj,,Montreal 1976,Swimming,100m backstroke men
16,BUL,krasimir stoykov,,Montreal 1976,Swimming,100m backstroke men
17,GBR,james carter,,Montreal 1976,Swimming,100m backstroke men
18,TCH,miloslav rolko,,Montreal 1976,Swimming,100m backstroke men
19,FRG,reinhold becker,,Montreal 1976,Swimming,100m backstroke men
20,HUN,robert rudolf,,Montreal 1976,Swimming,100m backstroke men
21,GBR,gary abraham,,Montreal 1976,Swimming,100m backstroke men
22,CAN,stephen hardy,,Montreal 1976,Swimming,100m backstroke men
23,YUG,nenad milos,,Montreal 1976,Swimming,100m backstroke men
24,IRL,robert howard,,Montreal 1976,Swimming,100m backstroke men
25,MEX,ignacio alvarez,,Montreal 1976,Swimming,100m backstroke men
26,MEX,jose urueta,,Montreal 1976,Swimming,100m backstroke men
27,JPN,tadashi honda,,Montreal 1976,Swimming,100m backstroke men
28,SWE,mikael branden,,Montreal 1976,Swimming,100m backstroke men
29,YUG,predrag milos,,Montreal 1976,Swimming,100m backstroke men
30,ARG,conrado porta,,Montreal 1976,Swimming,100m backstroke men
31,VEN,ramon volcan,,Montreal 1976,Swimming,100m backstroke men
32,ITA,enrico bisso,,Montreal 1976,Swimming,100m backstroke men
33,CAN,michael scarth,,Montreal 1976,Swimming,100m backstroke men
34,FRA,lionel beylot-bourcelot,,Montreal 1976,Swimming,100m backstroke men
35,SUI,thomas hofer,,Montreal 1976,Swimming,100m backstroke men
36,PHI,gerardo rosario,,Montreal 1976,Swimming,100m backstroke men
37,URS,ivan mikolutsky,,Montreal 1976,Swimming,100m backstroke men
38,POR,antonio botelho melo,,Montreal 1976,Swimming,100m backstroke men
39,MAS,jin-choon chiang,,Montreal 1976,Swimming,100m backstroke men
40,NCA,frank richardson,,Montreal 1976,Swimming,100m backstroke men
41,TPE,tung-hsiung hsu,Did not start,Montreal 1976,Swimming,100m backstroke men
0,GDR,ulrike richter,,Montreal 1976,Swimming,100m backstroke women
1,GDR,birgit treiber,,Montreal 1976,Swimming,100m backstroke women
2,CAN,nancy ellen garapick,,Montreal 1976,Swimming,100m backstroke women
3,CAN,wendy cook-hogg,,Montreal 1976,Swimming,100m backstroke women
4,CAN,cheryl gibson,,Montreal 1976,Swimming,100m backstroke women
5,URS,nadezhda stavko,,Montreal 1976,Swimming,100m backstroke women
6,GDR,antje stille,,Montreal 1976,Swimming,100m backstroke women
7,NED,diane edelijn,,Montreal 1976,Swimming,100m backstroke women
8,NED,enith brigitha,,Montreal 1976,Swimming,100m backstroke women
9,URS,klavdiya studennikova,,Montreal 1976,Swimming,100m backstroke women
10,USA,linda louise jezek,,Montreal 1976,Swimming,100m backstroke women
11,AUS,michelle devries,,Montreal 1976,Swimming,100m backstroke women
12,FRG,heike john,,Montreal 1976,Swimming,100m backstroke women
13,USA,tauna kay van de weghe,,Montreal 1976,Swimming,100m backstroke women
14,JPN,yoshimi nishigawa,,Montreal 1976,Swimming,100m backstroke women
15,AUS,glenda robertson,,Montreal 1976,Swimming,100m backstroke women
16,HUN,gabriella verraszto,,Montreal 1976,Swimming,100m backstroke women
17,FRG,karin bormann,,Montreal 1976,Swimming,100m backstroke women
18,USA,renee magee,,Montreal 1976,Swimming,100m backstroke women
