,country,participant,result,olympic_game,discipline,event
0,FIN,tomi poikolainen,"2,455",Moscow 1980,Archery,individual FITA round men
1,URS,boris isachenko,"2,452",Moscow 1980,Archery,individual FITA round men
2,ITA,giancarlo ferrari,"2,449",Moscow 1980,Archery,individual FITA round men
3,GBR,mark blenkarne,"2,446",Moscow 1980,Archery,individual FITA round men
4,HUN,bela nagy,"2,446",Moscow 1980,Archery,individual FITA round men
5,URS,vladimir esheev,"2,432",Moscow 1980,Archery,individual FITA round men
6,FIN,kyösti kalevi laasonen,"2,419",Moscow 1980,Archery,individual FITA round men
7,NED,tiny reniers,"2,418",Moscow 1980,Archery,individual FITA round men
8,BEL,robert cogniaux,"2,414",Moscow 1980,Archery,individual FITA round men
9,POL,krzysztof wlosik,"2,410",Moscow 1980,Archery,individual FITA round men
10,YUG,zoran matkovic,"2,410",Moscow 1980,Archery,individual FITA round men
11,SWE,goran bjerendal,"2,408",Moscow 1980,Archery,individual FITA round men
12,GBR,dennis savory,"2,407",Moscow 1980,Archery,individual FITA round men
13,ITA,sante spigarelli,"2,405",Moscow 1980,Archery,individual FITA round men
14,ROU,andrei berki,"2,389",Moscow 1980,Archery,individual FITA round men
15,LUX,andre braun,"2,386",Moscow 1980,Archery,individual FITA round men
16,BEL,willy van den bossche,"2,384",Moscow 1980,Archery,individual FITA round men
17,SUI,romeo frigo,"2,364",Moscow 1980,Archery,individual FITA round men
18,MGL,byambasüren nyamtserengiin,"2,361",Moscow 1980,Archery,individual FITA round men
19,SWE,rolf svensson,"2,357",Moscow 1980,Archery,individual FITA round men
20,AUT,peter mitterer,"2,336",Moscow 1980,Archery,individual FITA round men
21,PRK,gye yong kim,"2,331",Moscow 1980,Archery,individual FITA round men
22,MGL,dagvadorj tserendorjiin,"2,318",Moscow 1980,Archery,individual FITA round men
23,TCH,frantisek hadas,"2,305",Moscow 1980,Archery,individual FITA round men
24,ROU,mihai doru birzu,"2,280",Moscow 1980,Archery,individual FITA round men
25,AUS,scott dumbrell,"2,271",Moscow 1980,Archery,individual FITA round men
26,BRA,renato dutra e mello,"2,264",Moscow 1980,Archery,individual FITA round men
27,HUN,istvan balazs,"2,241",Moscow 1980,Archery,individual FITA round men
28,ESP,antonio vazquez,"2,240",Moscow 1980,Archery,individual FITA round men
29,BUL,tocho kichev,"2,233",Moscow 1980,Archery,individual FITA round men
30,IRL,william swords,"2,212",Moscow 1980,Archery,individual FITA round men
31,SUI,patrick jopp,"2,190",Moscow 1980,Archery,individual FITA round men
32,ESP,francisco peralta,"2,181",Moscow 1980,Archery,individual FITA round men
33,ZIM,david campbell milne,"2,146",Moscow 1980,Archery,individual FITA round men
34,CRC,juan wedel,"2,146",Moscow 1980,Archery,individual FITA round men
35,CRC,jorge murillo,"2,127",Moscow 1980,Archery,individual FITA round men
36,IRL,james conroy,"2,058",Moscow 1980,Archery,individual FITA round men
37,MLT,leo portelli,"1,807",Moscow 1980,Archery,individual FITA round men
0,URS,keto losaberidze,"2,491",Moscow 1980,Archery,individual FITA round women
1,URS,natalia butuzova,"2,477",Moscow 1980,Archery,individual FITA round women
2,FIN,paivi meriluoto-aaltonen,"2,449",Moscow 1980,Archery,individual FITA round women
3,TCH,zdenka padevetova,"2,405",Moscow 1980,Archery,individual FITA round women
4,PRK,gwang-sun o,"2,401",Moscow 1980,Archery,individual FITA round women
5,NED,catherina van gool-floris,"2,382",Moscow 1980,Archery,individual FITA round women
6,POL,maria szeliga,"2,365",Moscow 1980,Archery,individual FITA round women
7,SUI,lotti tschanz,"2,346",Moscow 1980,Archery,individual FITA round women
8,AUS,terene donovan,"2,343",Moscow 1980,Archery,individual FITA round women
9,ITA,franca capetta,"2,342",Moscow 1980,Archery,individual FITA round women
10,POL,jadwiga szoszler-wilejto,"2,328",Moscow 1980,Archery,individual FITA round women
11,HUN,judit kovacs,"2,323",Moscow 1980,Archery,individual FITA round women
12,ROU,aurora-eugenia chin,"2,319",Moscow 1980,Archery,individual FITA round women
13,FIN,carita ann-marie jissila,"2,298",Moscow 1980,Archery,individual FITA round women
14,AUS,carole toy,"2,285",Moscow 1980,Archery,individual FITA round women
15,SWE,anna-lisa berglund,"2,283",Moscow 1980,Archery,individual FITA round women
16,PRK,chang suk sok,"2,269",Moscow 1980,Archery,individual FITA round women
17,SUI,erika ulrich,"2,240",Moscow 1980,Archery,individual FITA round women
18,IRL,hazel greene-pereira,"2,229",Moscow 1980,Archery,individual FITA round women
19,TCH,jitka dolejsi,"2,219",Moscow 1980,Archery,individual FITA round women
20,HUN,margit szobi,"2,216",Moscow 1980,Archery,individual FITA round women
21,GBR,gillian patterson,"2,216",Moscow 1980,Archery,individual FITA round women
22,MGL,byambasüren shagdaryn,"2,216",Moscow 1980,Archery,individual FITA round women
23,ROU,terezia-octavia preda,"2,195",Moscow 1980,Archery,individual FITA round women
24,GBR,christinne harris,"2,187",Moscow 1980,Archery,individual FITA round women
25,BRA,arci zelia kempner,"2,186",Moscow 1980,Archery,individual FITA round women
26,BUL,tsvetanka stoicheva,"2,144",Moscow 1980,Archery,individual FITA round women
27,MLT,joanna agius,"2,119",Moscow 1980,Archery,individual FITA round women
28,MGL,bazarsüren tsedendorjiin,"2,112",Moscow 1980,Archery,individual FITA round women
