,country,participant,result,olympic_game,discipline,event
0,GDR,lothar thoms,00:01:02.955,Moscow 1980,Cycling Track,1km time trial men
1,URS,aleksandr panfilov,00:01:04.845,Moscow 1980,Cycling Track,1km time trial men
2,JAM,david weller,00:01:05.241,Moscow 1980,Cycling Track,1km time trial men
3,ITA,guido bontempi,00:01:05.478,Moscow 1980,Cycling Track,1km time trial men
4,FRA,yave cahard,00:01:05.584,Moscow 1980,Cycling Track,1km time trial men
5,SUI,heinz isler,00:01:06.273,Moscow 1980,Cycling Track,1km time trial men
6,TCH,petr kocek,00:01:06.368,Moscow 1980,Cycling Track,1km time trial men
7,DEN,bjarne carl sorensen,00:01:07.422,Moscow 1980,Cycling Track,1km time trial men
8,GBR,terrence tinsley,00:01:07.542,Moscow 1980,Cycling Track,1km time trial men
9,AUS,kenrick tucker,00:01:07.709,Moscow 1980,Cycling Track,1km time trial men
10,POL,andrzej michalak,00:01:07.891,Moscow 1980,Cycling Track,1km time trial men
11,BUL,stoian petrov,00:01:08.682,Moscow 1980,Cycling Track,1km time trial men
12,BEL,jan blomme,00:01:09.015,Moscow 1980,Cycling Track,1km time trial men
13,GUY,errol mclean,00:01:09.991,Moscow 1980,Cycling Track,1km time trial men
14,BRA,hans fischer,00:01:10.801,Moscow 1980,Cycling Track,1km time trial men
15,ECU,esteban espinosa,00:01:11.419,Moscow 1980,Cycling Track,1km time trial men
16,LBA,khalid shebani,00:01:11.627,Moscow 1980,Cycling Track,1km time trial men
17,ZIM,john musa,00:01:15.779,Moscow 1980,Cycling Track,1km time trial men
0,SUI,robert dill-bundi,,Moscow 1980,Cycling Track,Individual Pursuit men
1,FRA,alain bondue,,Moscow 1980,Cycling Track,Individual Pursuit men
2,DEN,hans-henrik örsted,00:04:36.540,Moscow 1980,Cycling Track,Individual Pursuit men
3,GDR,harald wolf,00:04:37.380,Moscow 1980,Cycling Track,Individual Pursuit men
4,URS,vladimir osokin,,Moscow 1980,Cycling Track,Individual Pursuit men
5,GBR,sean yates,,Moscow 1980,Cycling Track,Individual Pursuit men
6,ITA,pierangelo bincoletto,,Moscow 1980,Cycling Track,Individual Pursuit men
7,TCH,martin penc,,Moscow 1980,Cycling Track,Individual Pursuit men
8,AUS,kelvin poole,,Moscow 1980,Cycling Track,Individual Pursuit men
9,BEL,joseph smeets,,Moscow 1980,Cycling Track,Individual Pursuit men
10,FIN,sixten wackstrom,,Moscow 1980,Cycling Track,Individual Pursuit men
11,POL,zbigniew woznicki,,Moscow 1980,Cycling Track,Individual Pursuit men
12,BRA,antonio karlos karlos silvestre,,Moscow 1980,Cycling Track,Individual Pursuit men
13,ECU,john jarrin,,Moscow 1980,Cycling Track,Individual Pursuit men
0,GDR,lutz hesslich,,Moscow 1980,Cycling Track,Sprint individual men
1,FRA,yave cahard,,Moscow 1980,Cycling Track,Sprint individual men
2,URS,sergei kopylov,,Moscow 1980,Cycling Track,Sprint individual men
3,TCH,anton tkac,,Moscow 1980,Cycling Track,Sprint individual men
4,DEN,henrik salee,11.360,Moscow 1980,Cycling Track,Sprint individual men
5,SUI,heinz isler,,Moscow 1980,Cycling Track,Sprint individual men
6,AUS,kenrick tucker,,Moscow 1980,Cycling Track,Sprint individual men
7,ITA,octavio dazzan,,Moscow 1980,Cycling Track,Sprint individual men
8,GBR,terrence tinsley,Did not finish,Moscow 1980,Cycling Track,Sprint individual men
0,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
1,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
2,,,no time,Moscow 1980,Cycling Track,Team Pursuit 4000m men
3,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
4,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
5,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
6,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
7,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
8,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
9,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
10,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
11,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
12,,,,Moscow 1980,Cycling Track,Team Pursuit 4000m men
