,country,participant,result,olympic_game,discipline,event
0,,,10,Moscow 1980,Football,football men
1,,,12,Moscow 1980,Football,football men
2,,,19,Moscow 1980,Football,football men
3,,,9,Moscow 1980,Football,football men
4,,,5,Moscow 1980,Football,football men
5,,,3,Moscow 1980,Football,football men
6,,,4,Moscow 1980,Football,football men
7,,,4,Moscow 1980,Football,football men
8,,,3,Moscow 1980,Football,football men
9,,,2,Moscow 1980,Football,football men
10,,,2,Moscow 1980,Football,football men
11,,,3,Moscow 1980,Football,football men
12,,,2,Moscow 1980,Football,football men
13,,,2,Moscow 1980,Football,football men
14,,,0,Moscow 1980,Football,football men
15,,,2,Moscow 1980,Football,football men
