,country,participant,result,olympic_game,discipline,event
0,URS,robertas žulpa,,Moscow 1980,Swimming,200m breaststroke men
1,HUN,alban vermes,,Moscow 1980,Swimming,200m breaststroke men
2,URS,arsens miskarovs,,Moscow 1980,Swimming,200m breaststroke men
3,URS,gennadi utenkov,,Moscow 1980,Swimming,200m breaststroke men
4,AUS,lindsay spencer,,Moscow 1980,Swimming,200m breaststroke men
5,GBR,duncan goodhew,,Moscow 1980,Swimming,200m breaststroke men
6,SWE,peter berggren,,Moscow 1980,Swimming,200m breaststroke men
7,GDR,jorg walter,,Moscow 1980,Swimming,200m breaststroke men
8,COL,pablo restrepo,,Moscow 1980,Swimming,200m breaststroke men
9,HUN,janos dzvonyar,,Moscow 1980,Swimming,200m breaststroke men
10,SWE,glen christiansen,,Moscow 1980,Swimming,200m breaststroke men
11,AUS,peter evans,,Moscow 1980,Swimming,200m breaststroke men
12,ESP,gustavo torrijos,,Moscow 1980,Swimming,200m breaststroke men
13,NED,albert boonstra,,Moscow 1980,Swimming,200m breaststroke men
14,COL,helmunt levy,,Moscow 1980,Swimming,200m breaststroke men
15,FIN,martti jarventaus,,Moscow 1980,Swimming,200m breaststroke men
16,CRC,andrey aguilar,,Moscow 1980,Swimming,200m breaststroke men
17,VIE,duong tai tran,,Moscow 1980,Swimming,200m breaststroke men
18,ALG,djamel yahiouche,,Moscow 1980,Swimming,200m breaststroke men
19,MEX,miguel santisteban,Disqualified,Moscow 1980,Swimming,200m breaststroke men
0,URS,lina kachushite,,Moscow 1980,Swimming,200m breaststroke women
1,URS,svetlana varganova,,Moscow 1980,Swimming,200m breaststroke women
2,URS,yulia bogdanova,,Moscow 1980,Swimming,200m breaststroke women
3,DEN,susanne schultz nielsson,,Moscow 1980,Swimming,200m breaststroke women
4,TCH,irena fleissnerova,,Moscow 1980,Swimming,200m breaststroke women
5,GDR,ute geweniger,,Moscow 1980,Swimming,200m breaststroke women
6,GDR,bettina lobel,,Moscow 1980,Swimming,200m breaststroke women
7,GDR,silvia rinka,,Moscow 1980,Swimming,200m breaststroke women
8,SWE,eva-marie hakansson,,Moscow 1980,Swimming,200m breaststroke women
9,SWE,ann-sofi roos,,Moscow 1980,Swimming,200m breaststroke women
10,GBR,deborah rudd,,Moscow 1980,Swimming,200m breaststroke women
11,GBR,margaret kelly-hohmann,,Moscow 1980,Swimming,200m breaststroke women
12,BUL,tania bogomilova-dangalakova,,Moscow 1980,Swimming,200m breaststroke women
13,AUS,lisa gaye curry-kenny,,Moscow 1980,Swimming,200m breaststroke women
14,ROU,brigitte prass,,Moscow 1980,Swimming,200m breaststroke women
15,FRA,odile bihan,,Moscow 1980,Swimming,200m breaststroke women
16,ITA,sabrina seminatore,,Moscow 1980,Swimming,200m breaststroke women
17,MEX,elke holtz,,Moscow 1980,Swimming,200m breaststroke women
18,BEL,brigitte bosmans,,Moscow 1980,Swimming,200m breaststroke women
19,IRL,catherine bohan,,Moscow 1980,Swimming,200m breaststroke women
20,FRA,annick de susini,,Moscow 1980,Swimming,200m breaststroke women
21,HUN,gabriella kindl,,Moscow 1980,Swimming,200m breaststroke women
22,ZIM,lynne tasker,,Moscow 1980,Swimming,200m breaststroke women
23,VIE,thi hoa hoang,,Moscow 1980,Swimming,200m breaststroke women
24,MAD,nicole rajoharison,,Moscow 1980,Swimming,200m breaststroke women
0,URS,sergei fesenko,,Moscow 1980,Swimming,200m butterfly men
1,GBR,philip hubble,,Moscow 1980,Swimming,200m butterfly men
2,GDR,roger pyttel,,Moscow 1980,Swimming,200m butterfly men
3,GBR,peter morris,,Moscow 1980,Swimming,200m butterfly men
4,URS,mikhail gorelik,,Moscow 1980,Swimming,200m butterfly men
5,NED,kees vervoorn,,Moscow 1980,Swimming,200m butterfly men
6,SWE,pär arvidsson,,Moscow 1980,Swimming,200m butterfly men
7,GBR,stephen poulter,,Moscow 1980,Swimming,200m butterfly men
8,ITA,paolo revelli,,Moscow 1980,Swimming,200m butterfly men
9,URS,aleksandr buchenkov,,Moscow 1980,Swimming,200m butterfly men
10,VEN,rafael antonio vidal castro,,Moscow 1980,Swimming,200m butterfly men
11,POL,boguslaw zychowicz,,Moscow 1980,Swimming,200m butterfly men
12,SWE,ove nylen,,Moscow 1980,Swimming,200m butterfly men
13,HUN,gabor meszaros,,Moscow 1980,Swimming,200m butterfly men
