,country,participant,result,olympic_game,discipline,event
0,URS,leonid taranenko,422.5,Moscow 1980,Weightlifting,100  110kg heavyweight men
1,BUL,valentin christov,405,Moscow 1980,Weightlifting,100  110kg heavyweight men
2,HUN,györgy szalai,390,Moscow 1980,Weightlifting,100  110kg heavyweight men
3,SWE,leif nilsson,380,Moscow 1980,Weightlifting,100  110kg heavyweight men
4,AUT,vinzenz hörtnagl,372.5,Moscow 1980,Weightlifting,100  110kg heavyweight men
5,ROU,stefan tasnadi,360,Moscow 1980,Weightlifting,100  110kg heavyweight men
6,AUS,donald mitchell,352.5,Moscow 1980,Weightlifting,100  110kg heavyweight men
7,GRE,dimitrios zarzavatsidis,347.5,Moscow 1980,Weightlifting,100  110kg heavyweight men
8,FIN,viktor sirkia,342.5,Moscow 1980,Weightlifting,100  110kg heavyweight men
9,GBR,andrzej drzewiecki,320,Moscow 1980,Weightlifting,100  110kg heavyweight men
10,IRQ,ali abdul kader maneer,300,Moscow 1980,Weightlifting,100  110kg heavyweight men
11,DOM,mario garcia rodriguez,287.5,Moscow 1980,Weightlifting,100  110kg heavyweight men
12,TCH,pavel khek,Did not finish,Moscow 1980,Weightlifting,100  110kg heavyweight men
0,URS,sultan rakhmanov,440,Moscow 1980,Weightlifting,110kg super heavyweight men
1,GDR,jürgen heuser,410,Moscow 1980,Weightlifting,110kg super heavyweight men
2,POL,tadeusz rutkowski,407.5,Moscow 1980,Weightlifting,110kg super heavyweight men
3,TCH,rudolf strejcek,402.5,Moscow 1980,Weightlifting,110kg super heavyweight men
4,TCH,bohuslav braum,397.5,Moscow 1980,Weightlifting,110kg super heavyweight men
5,CUB,francisco mendez,395,Moscow 1980,Weightlifting,110kg super heavyweight men
6,POL,robert skolimowski,385,Moscow 1980,Weightlifting,110kg super heavyweight men
7,SYR,talal najjar,362.5,Moscow 1980,Weightlifting,110kg super heavyweight men
8,FIN,jouko leppa,160,Moscow 1980,Weightlifting,110kg super heavyweight men
9,ROU,marin parapancea,Did not finish,Moscow 1980,Weightlifting,110kg super heavyweight men
10,CUB,gerardo fernandez tabares,Did not finish,Moscow 1980,Weightlifting,110kg super heavyweight men
11,URS,vasily alekseyev,Did not finish,Moscow 1980,Weightlifting,110kg super heavyweight men
0,URS,kanybek osmonaliev,245,Moscow 1980,Weightlifting,52kg flyweight men
1,PRK,bong chol ho,245,Moscow 1980,Weightlifting,52kg flyweight men
2,PRK,gyong si han,245,Moscow 1980,Weightlifting,52kg flyweight men
3,HUN,bela olah,245,Moscow 1980,Weightlifting,52kg flyweight men
4,POL,stefan leletko,240,Moscow 1980,Weightlifting,52kg flyweight men
5,HUN,ferenc hornyak,237.5,Moscow 1980,Weightlifting,52kg flyweight men
6,CUB,francisco casamayor fals,232.5,Moscow 1980,Weightlifting,52kg flyweight men
7,MGL,jügdernamjil adyaagiin,215,Moscow 1980,Weightlifting,52kg flyweight men
8,ITA,gaetano tosto,215,Moscow 1980,Weightlifting,52kg flyweight men
9,GRE,ioannis katsaidonis,207.5,Moscow 1980,Weightlifting,52kg flyweight men
10,VEN,humberto fuentes rodriguez,207.5,Moscow 1980,Weightlifting,52kg flyweight men
