,country,participant,result,olympic_game,discipline,event
0,USA,john chester williams,"2,528",Munich 1972,Archery,individual FITA round men
1,SWE,gunnar jervill,"2,481",Munich 1972,Archery,individual FITA round men
2,FIN,kyösti kalevi laasonen,"2,467",Munich 1972,Archery,individual FITA round men
3,BEL,robert cogniaux,"2,445",Munich 1972,Archery,individual FITA round men
4,USA,edwin m. eliason,"2,438",Munich 1972,Archery,individual FITA round men
5,CAN,donald arthur jackson,"2,437",Munich 1972,Archery,individual FITA round men
6,URS,viktor sidoruk,"2,427",Munich 1972,Archery,individual FITA round men
7,DEN,arne erik jacobsen,"2,423",Munich 1972,Archery,individual FITA round men
8,AUS,graeme telford,"2,423",Munich 1972,Archery,individual FITA round men
9,SUI,lucien trepper,"2,409",Munich 1972,Archery,individual FITA round men
10,USA,dennis j. mccomak,"2,398",Munich 1972,Archery,individual FITA round men
11,URS,mikhail peunov,"2,397",Munich 1972,Archery,individual FITA round men
12,DEN,herluf juhl andersen,"2,394",Munich 1972,Archery,individual FITA round men
13,FRG,siegfried ortmann,"2,390",Munich 1972,Archery,individual FITA round men
14,AUS,terry reilly,"2,387",Munich 1972,Archery,individual FITA round men
15,SWE,rolf svensson,"2,386",Munich 1972,Archery,individual FITA round men
16,GBR,roy derek matthews,"2,385",Munich 1972,Archery,individual FITA round men
17,BEL,andre baeyens,"2,383",Munich 1972,Archery,individual FITA round men
18,JPN,hiroshi kajikawa,"2,381",Munich 1972,Archery,individual FITA round men
19,FIN,olavi jaakko laurila,"2,372",Munich 1972,Archery,individual FITA round men
20,FRA,jacques doyen,"2,369",Munich 1972,Archery,individual FITA round men
21,SUI,jakob wolfensberger,"2,367",Munich 1972,Archery,individual FITA round men
22,BEL,jozef daman,"2,365",Munich 1972,Archery,individual FITA round men
23,URS,mati vaikjärv,"2,363",Munich 1972,Archery,individual FITA round men
24,CAN,elmer ewert,"2,359",Munich 1972,Archery,individual FITA round men
25,GBR,john snelling,"2,356",Munich 1972,Archery,individual FITA round men
26,SWE,olle boström,"2,347",Munich 1972,Archery,individual FITA round men
27,MEX,alfonso jones,"2,344",Munich 1972,Archery,individual FITA round men
28,JPN,seiji hibino,"2,344",Munich 1972,Archery,individual FITA round men
29,FRG,richard krust,"2,342",Munich 1972,Archery,individual FITA round men
30,ITA,alfredo massazza,"2,340",Munich 1972,Archery,individual FITA round men
31,NOR,jan erik humlekjaer,"2,339",Munich 1972,Archery,individual FITA round men
32,ITA,giancarlo ferrari,"2,322",Munich 1972,Archery,individual FITA round men
33,HUN,bela nagy,"2,302",Munich 1972,Archery,individual FITA round men
34,ITA,sante spigarelli,"2,300",Munich 1972,Archery,individual FITA round men
35,NOR,johannes akkerhaugen,"2,288",Munich 1972,Archery,individual FITA round men
36,PHI,francisco naranjilla,"2,288",Munich 1972,Archery,individual FITA round men
37,JPN,shinji nakamoto,"2,287",Munich 1972,Archery,individual FITA round men
38,LUX,marcel balthasar,"2,285",Munich 1972,Archery,individual FITA round men
39,FIN,jorma sandelin,"2,278",Munich 1972,Archery,individual FITA round men
40,CAN,wayne pullen,"2,275",Munich 1972,Archery,individual FITA round men
41,FRA,louis henri lemirre,"2,266",Munich 1972,Archery,individual FITA round men
42,MGL,byambaa galsangiin,"2,253",Munich 1972,Archery,individual FITA round men
43,FRA,alain convard,"2,251",Munich 1972,Archery,individual FITA round men
44,GBR,ronald proctor bishop,"2,244",Munich 1972,Archery,individual FITA round men
45,POL,tomasz lezanski,"2,237",Munich 1972,Archery,individual FITA round men
46,SUI,jean-pierre heritier,"2,222",Munich 1972,Archery,individual FITA round men
47,NOR,egil borgen johansen,"2,219",Munich 1972,Archery,individual FITA round men
48,ESP,emilio ramos,"2,199",Munich 1972,Archery,individual FITA round men
49,PHI,carlos santos,"2,183",Munich 1972,Archery,individual FITA round men
50,MEX,rafael aveleyra,"2,178",Munich 1972,Archery,individual FITA round men
51,MEX,jose almanzor,"2,175",Munich 1972,Archery,individual FITA round men
52,NZL,robin sampson,"2,115",Munich 1972,Archery,individual FITA round men
53,PHI,ramon aldea,"2,102",Munich 1972,Archery,individual FITA round men
54,PUR,ferdinand vega,"1,954",Munich 1972,Archery,individual FITA round men
0,USA,doreen viola hansen wilber,"2,424",Munich 1972,Archery,individual FITA round women
1,POL,irena szydlowska,"2,407",Munich 1972,Archery,individual FITA round women
2,URS,emma gapchenko,"2,403",Munich 1972,Archery,individual FITA round women
3,URS,keto losaberidze,"2,402",Munich 1972,Archery,individual FITA round women
4,USA,linda ann myers,"2,385",Munich 1972,Archery,individual FITA round women
5,POL,maria maczynska,"2,371",Munich 1972,Archery,individual FITA round women
6,PRK,ho gyu kim,"2,369",Munich 1972,Archery,individual FITA round women
7,URS,alla peunova,"2,364",Munich 1972,Archery,individual FITA round women
8,AUS,terene donovan,"2,356",Munich 1972,Archery,individual FITA round women
9,MEX,francisca de gutierrez,"2,353",Munich 1972,Archery,individual FITA round women
10,CAN,mary grant-luding,"2,350",Munich 1972,Archery,individual FITA round women
11,PRK,chun-sam ju,"2,349",Munich 1972,Archery,individual FITA round women
12,ESP,maria teresa romero,"2,347",Munich 1972,Archery,individual FITA round women
13,MGL,dariimaa natjavyn,"2,341",Munich 1972,Archery,individual FITA round women
14,MEX,aurora gonzala breton-gomez,"2,335",Munich 1972,Archery,individual FITA round women
15,GBR,lynn avril evans,"2,313",Munich 1972,Archery,individual FITA round women
16,JPN,yoshiko akiyama,"2,301",Munich 1972,Archery,individual FITA round women
17,POL,jadwiga szoszler-wilejto,"2,297",Munich 1972,Archery,individual FITA round women
18,SWE,maj-britt johansson,"2,283",Munich 1972,Archery,individual FITA round women
19,PRK,hyang min kim,"2,275",Munich 1972,Archery,individual FITA round women
20,GBR,carol sykes,"2,273",Munich 1972,Archery,individual FITA round women
21,HUN,agnes hamvas,"2,265",Munich 1972,Archery,individual FITA round women
22,MEX,silvia de tapia,"2,258",Munich 1972,Archery,individual FITA round women
23,LUX,nelly wies-weyrich,"2,252",Munich 1972,Archery,individual FITA round women
24,GBR,pauline mary edwards,"2,249",Munich 1972,Archery,individual FITA round women
25,DEN,erna rahbek pedersen,"2,244",Munich 1972,Archery,individual FITA round women
