,country,participant,result,olympic_game,discipline,event
0,GDR,roland matthes,,Munich 1972,Swimming,100m backstroke men
1,USA,michael eugene stamm,,Munich 1972,Swimming,100m backstroke men
2,USA,john joseph murphy,,Munich 1972,Swimming,100m backstroke men
3,USA,mitchell ivey,,Munich 1972,Swimming,100m backstroke men
4,URS,igor grivennikov,,Munich 1972,Swimming,100m backstroke men
5,GDR,lutz wanja,,Munich 1972,Swimming,100m backstroke men
6,GDR,jürgen krüger,,Munich 1972,Swimming,100m backstroke men
7,JPN,tadashi honda,,Munich 1972,Swimming,100m backstroke men
8,NED,robert (bob) schoutsen,,Munich 1972,Swimming,100m backstroke men
9,DEN,ejvind bue stampe pedersen,,Munich 1972,Swimming,100m backstroke men
10,FRA,jean-paul berjaud,,Munich 1972,Swimming,100m backstroke men
11,CAN,erik fish,,Munich 1972,Swimming,100m backstroke men
12,CAN,ian mac kenzie,,Munich 1972,Swimming,100m backstroke men
13,GBR,clive rushton,,Munich 1972,Swimming,100m backstroke men
14,GBR,michael richards,,Munich 1972,Swimming,100m backstroke men
15,YUG,nenad milos,,Munich 1972,Swimming,100m backstroke men
16,FRA,pierre baehr,,Munich 1972,Swimming,100m backstroke men
17,HUN,zoltan verraszto,,Munich 1972,Swimming,100m backstroke men
18,DEN,lars börgesen,,Munich 1972,Swimming,100m backstroke men
19,GBR,colin cunningham,,Munich 1972,Swimming,100m backstroke men
20,SWE,anders sandberg,,Munich 1972,Swimming,100m backstroke men
21,AUT,helmut podolan,,Munich 1972,Swimming,100m backstroke men
22,HUN,laszlo cseh,,Munich 1972,Swimming,100m backstroke men
23,CAN,clayton evans,,Munich 1972,Swimming,100m backstroke men
24,POL,piotr dlucik,,Munich 1972,Swimming,100m backstroke men
25,HUN,robert rudolf,,Munich 1972,Swimming,100m backstroke men
26,MEX,jose joaquin santibanez,,Munich 1972,Swimming,100m backstroke men
27,FRG,andreas weber,,Munich 1972,Swimming,100m backstroke men
28,YUG,predrag milos,,Munich 1972,Swimming,100m backstroke men
29,BRA,romulo duncan duncan arantes,,Munich 1972,Swimming,100m backstroke men
30,TPE,tung-hsiung hsu,,Munich 1972,Swimming,100m backstroke men
31,ARG,gustavo oscar gonzalez,,Munich 1972,Swimming,100m backstroke men
32,EGY,amin ahmed adel youssef,,Munich 1972,Swimming,100m backstroke men
33,AUS,neil martin,,Munich 1972,Swimming,100m backstroke men
34,ESA,sergio hasbun,,Munich 1972,Swimming,100m backstroke men
35,PHI,gerardo rosario,,Munich 1972,Swimming,100m backstroke men
36,CAM,van sarun,,Munich 1972,Swimming,100m backstroke men
37,MAS,jin-choon chiang,,Munich 1972,Swimming,100m backstroke men
38,HKG,marcus anthony crocker,,Munich 1972,Swimming,100m backstroke men
39,ESA,reynaldo patino,Did not start,Munich 1972,Swimming,100m backstroke men
40,LBN,brouno bassoul,Did not start,Munich 1972,Swimming,100m backstroke men
41,ITA,giuseppe d'altrui,Did not start,Munich 1972,Swimming,100m backstroke men
42,BUL,dimitar kolarov,Did not start,Munich 1972,Swimming,100m backstroke men
43,RHO,kim brant,Did not start,Munich 1972,Swimming,100m backstroke men
0,USA,melissa louise belote,,Munich 1972,Swimming,100m backstroke women
1,HUN,andrea gyarmati,,Munich 1972,Swimming,100m backstroke women
2,USA,susanne jean atwood,,Munich 1972,Swimming,100m backstroke women
3,USA,karen patricia moe-thornton,,Munich 1972,Swimming,100m backstroke women
4,CAN,wendy cook-hogg,,Munich 1972,Swimming,100m backstroke women
5,NED,enith brigitha,,Munich 1972,Swimming,100m backstroke women
6,GDR,christine herbst,,Munich 1972,Swimming,100m backstroke women
7,FRG,silke pielen,,Munich 1972,Swimming,100m backstroke women
8,CAN,donna marie gurr,,Munich 1972,Swimming,100m backstroke women
9,URS,tina lek'veishvili,,Munich 1972,Swimming,100m backstroke women
10,AUS,susanne lewis,,Munich 1972,Swimming,100m backstroke women
11,FRG,annegret kober,,Munich 1972,Swimming,100m backstroke women
12,AUS,deborah palmer,,Munich 1972,Swimming,100m backstroke women
13,AUS,debra cain,,Munich 1972,Swimming,100m backstroke women
14,FRG,angelika kraus,,Munich 1972,Swimming,100m backstroke women
15,NED,marianne vermaat,,Munich 1972,Swimming,100m backstroke women
16,SUI,susanne niesner,,Munich 1972,Swimming,100m backstroke women
17,FRA,sylvie le noach,,Munich 1972,Swimming,100m backstroke women
18,GDR,susanne hilger,,Munich 1972,Swimming,100m backstroke women
19,URS,nataliya yershova,,Munich 1972,Swimming,100m backstroke women
