,country,participant,result,olympic_game,discipline,event
0,,,,Munich 1972,Water Polo,water polo men
1,,,,Munich 1972,Water Polo,water polo men
2,,,,Munich 1972,Water Polo,water polo men
3,,,,Munich 1972,Water Polo,water polo men
4,,,,Munich 1972,Water Polo,water polo men
5,,,,Munich 1972,Water Polo,water polo men
6,,,,Munich 1972,Water Polo,water polo men
7,,,,Munich 1972,Water Polo,water polo men
8,,,,Munich 1972,Water Polo,water polo men
9,,,,Munich 1972,Water Polo,water polo men
10,,,,Munich 1972,Water Polo,water polo men
11,,,,Munich 1972,Water Polo,water polo men
12,,,,Munich 1972,Water Polo,water polo men
13,,,,Munich 1972,Water Polo,water polo men
14,,,,Munich 1972,Water Polo,water polo men
15,,,,Munich 1972,Water Polo,water polo men
