,country,participant,result,olympic_game,discipline,event
0,NOR,simon slattvik,451.621,Oslo 1952,Nordic Combined,Individual men
1,FIN,heikki hasu,447.500,Oslo 1952,Nordic Combined,Individual men
2,NOR,sverre stenersen,436.335,Oslo 1952,Nordic Combined,Individual men
3,FIN,paavo korhonen,434.727,Oslo 1952,Nordic Combined,Individual men
4,NOR,per gjelten,432.848,Oslo 1952,Nordic Combined,Individual men
5,NOR,ottar gjermundshaug,432.121,Oslo 1952,Nordic Combined,Individual men
6,FIN,aulis sipponen,425.227,Oslo 1952,Nordic Combined,Individual men
7,FIN,eeti olavi nieminen,424.181,Oslo 1952,Nordic Combined,Individual men
8,AUT,hans eder,420.575,Oslo 1952,Nordic Combined,Individual men
9,SUI,alfons supersaxo,415.196,Oslo 1952,Nordic Combined,Individual men
10,USA,"ted farwell, jr.",401.454,Oslo 1952,Nordic Combined,Individual men
11,ITA,alfredo prucker,397.970,Oslo 1952,Nordic Combined,Individual men
12,SWE,erik elmsater,397.667,Oslo 1952,Nordic Combined,Individual men
13,JPN,ryoichi fujisawa,396.333,Oslo 1952,Nordic Combined,Individual men
14,GER,heinz hauser,393.136,Oslo 1952,Nordic Combined,Individual men
15,TCH,vlastimil melich,390.818,Oslo 1952,Nordic Combined,Individual men
16,SWE,lars-erik efverström,389.667,Oslo 1952,Nordic Combined,Individual men
17,AUT,leopold kohl,383.348,Oslo 1952,Nordic Combined,Individual men
18,ROU,cornel nicolae crăciun,376.621,Oslo 1952,Nordic Combined,Individual men
19,AUT,josef schiffner,371.530,Oslo 1952,Nordic Combined,Individual men
20,USA,thomas mitchell jacobs,367.439,Oslo 1952,Nordic Combined,Individual men
21,USA,john caldwell,301.773,Oslo 1952,Nordic Combined,Individual men
22,USA,alvin paul wegeman,Did not finish,Oslo 1952,Nordic Combined,Individual men
23,GER,helmut böck,Did not finish,Oslo 1952,Nordic Combined,Individual men
24,AUT,peter radacher,Did not finish,Oslo 1952,Nordic Combined,Individual men
