,country,participant,result,olympic_game,discipline,event
0,,,,PyeongChang 2018,Curling,Men
1,,,,PyeongChang 2018,Curling,Men
2,,,,PyeongChang 2018,Curling,Men
3,,,,PyeongChang 2018,Curling,Men
4,,,,PyeongChang 2018,Curling,Men
5,,,,PyeongChang 2018,Curling,Men
6,,,,PyeongChang 2018,Curling,Men
7,,,,PyeongChang 2018,Curling,Men
8,,,,PyeongChang 2018,Curling,Men
9,,,,PyeongChang 2018,Curling,Men
0,CAN,kaitlyn lawes,,PyeongChang 2018,Curling,Mixed Doubles
1,SUI,jenny perret,,PyeongChang 2018,Curling,Mixed Doubles
2,NOR,kristin skaslien,,PyeongChang 2018,Curling,Mixed Doubles
3,CHN,rui wang,,PyeongChang 2018,Curling,Mixed Doubles
4,KOR,gi-jeong lee,,PyeongChang 2018,Curling,Mixed Doubles
5,USA,matt hamilton,,PyeongChang 2018,Curling,Mixed Doubles
6,FIN,oona kauste,,PyeongChang 2018,Curling,Mixed Doubles
7,ROC,anastasia bryzgalova,Disqualified,PyeongChang 2018,Curling,Mixed Doubles
0,,,,PyeongChang 2018,Curling,Women
1,,,,PyeongChang 2018,Curling,Women
2,,,,PyeongChang 2018,Curling,Women
3,,,,PyeongChang 2018,Curling,Women
4,,,,PyeongChang 2018,Curling,Women
5,,,,PyeongChang 2018,Curling,Women
6,,,,PyeongChang 2018,Curling,Women
7,,,,PyeongChang 2018,Curling,Women
8,,,,PyeongChang 2018,Curling,Women
9,,,,PyeongChang 2018,Curling,Women
