,country,participant,result,olympic_game,discipline,event
0,CHN,aisen chen,585.30,Rio 2016,Diving,10m platform men
1,MEX,german sanchez,532.70,Rio 2016,Diving,10m platform men
2,USA,david boudia,525.25,Rio 2016,Diving,10m platform men
3,FRA,benjamin auffret,507.35,Rio 2016,Diving,10m platform men
4,GER,martin wolfram,492.90,Rio 2016,Diving,10m platform men
5,CHN,bo qiu,488.20,Rio 2016,Diving,10m platform men
6,PUR,rafael quintero,485.35,Rio 2016,Diving,10m platform men
7,RUS,viktor minibaev,481.60,Rio 2016,Diving,10m platform men
8,GER,sascha klein,424.15,Rio 2016,Diving,10m platform men
9,MEX,ivan garcia,418.95,Rio 2016,Diving,10m platform men
10,KOR,haram woo,414.55,Rio 2016,Diving,10m platform men
11,AUS,domonic bedggood,403.80,Rio 2016,Diving,10m platform men
0,CHN,qian ren,439.25,Rio 2016,Diving,10m platform women
1,CHN,yajie si,419.40,Rio 2016,Diving,10m platform women
2,CAN,meaghan benfeito,389.20,Rio 2016,Diving,10m platform women
3,MEX,paola espinosa sanchez,377.10,Rio 2016,Diving,10m platform women
4,AUS,melissa wu,368.30,Rio 2016,Diving,10m platform women
5,CAN,roseline filion,367.95,Rio 2016,Diving,10m platform women
6,PRK,un hyang kim,357.90,Rio 2016,Diving,10m platform women
7,JPN,minami itahashi,356.60,Rio 2016,Diving,10m platform women
8,MAS,nur dhabitah sabri,338.00,Rio 2016,Diving,10m platform women
9,USA,jessica parratto,334.60,Rio 2016,Diving,10m platform women
10,MAS,pandelela rinong pamg,330.45,Rio 2016,Diving,10m platform women
11,GBR,tonia couch,323.70,Rio 2016,Diving,10m platform women
0,CHN,yuan cao,547.60,Rio 2016,Diving,3m springboard men
1,GBR,jack laugher,523.85,Rio 2016,Diving,3m springboard men
2,GER,patrick hausding,498.90,Rio 2016,Diving,3m springboard men
3,RUS,evgenii kuznetsov,481.35,Rio 2016,Diving,3m springboard men
4,USA,kristian ipsen,475.80,Rio 2016,Diving,3m springboard men
5,UKR,illya kvasha,475.10,Rio 2016,Diving,3m springboard men
6,MEX,rommel pacheco,451.20,Rio 2016,Diving,3m springboard men
7,IRL,oliver dingley,442.90,Rio 2016,Diving,3m springboard men
8,BRA,cesar castro,436.00,Rio 2016,Diving,3m springboard men
9,USA,mike hixon,431.65,Rio 2016,Diving,3m springboard men
10,CAN,philippe gagne,425.30,Rio 2016,Diving,3m springboard men
11,COL,sebastian morales,364.50,Rio 2016,Diving,3m springboard men
0,CHN,tingmao shi,406.05,Rio 2016,Diving,3m springboard women
1,CHN,zi he,387.90,Rio 2016,Diving,3m springboard women
2,ITA,tania cagnotto,372.80,Rio 2016,Diving,3m springboard women
3,CAN,jennifer abel,367.25,Rio 2016,Diving,3m springboard women
4,AUS,maddison keeney,349.65,Rio 2016,Diving,3m springboard women
5,AUS,esther qin,344.10,Rio 2016,Diving,3m springboard women
6,CAN,pamela ware,323.15,Rio 2016,Diving,3m springboard women
7,GBR,grace reid,318.60,Rio 2016,Diving,3m springboard women
8,GER,nora subschinski,317.10,Rio 2016,Diving,3m springboard women
9,MAS,yan yee ng,306.60,Rio 2016,Diving,3m springboard women
10,UKR,olena fedorova,304.80,Rio 2016,Diving,3m springboard women
11,USA,abigail johnston,302.85,Rio 2016,Diving,3m springboard women
12,USA,kassidy cook,,Rio 2016,Diving,3m springboard women
13,NED,uschi freitag,,Rio 2016,Diving,3m springboard women
14,RUS,kristina ilinykh,,Rio 2016,Diving,3m springboard women
15,MEX,dolores hernandez,,Rio 2016,Diving,3m springboard women
16,GER,tina punzel,,Rio 2016,Diving,3m springboard women
17,UKR,anastasiia nedobiga,,Rio 2016,Diving,3m springboard women
18,ITA,maria elisabetta marconi,,Rio 2016,Diving,3m springboard women
19,GBR,rebecca gallantree,,Rio 2016,Diving,3m springboard women
20,MAS,jun hoong cheong,,Rio 2016,Diving,3m springboard women
21,MEX,melany hernandez,,Rio 2016,Diving,3m springboard women
22,COL,diana pineda,,Rio 2016,Diving,3m springboard women
23,NZL,elizabeth cui,,Rio 2016,Diving,3m springboard women
24,CRO,marcela maric,,Rio 2016,Diving,3m springboard women
25,RUS,nadezhda bazhina,,Rio 2016,Diving,3m springboard women
26,BRA,juliana veloso,,Rio 2016,Diving,3m springboard women
27,EGY,maha amer,,Rio 2016,Diving,3m springboard women
28,RSA,julia catherine vincent,,Rio 2016,Diving,3m springboard women
0,CHN,yue lin,496.98,Rio 2016,Diving,synchronized diving 10m platform men
1,USA,steele johnson,457.11,Rio 2016,Diving,synchronized diving 10m platform men
2,GBR,daniel goodfellow,444.45,Rio 2016,Diving,synchronized diving 10m platform men
3,GER,sascha klein,438.42,Rio 2016,Diving,synchronized diving 10m platform men
4,MEX,german sanchez,423.30,Rio 2016,Diving,synchronized diving 10m platform men
5,UKR,oleksandr gorshkovozov,421.98,Rio 2016,Diving,synchronized diving 10m platform men
6,RUS,viktor minibaev,417.57,Rio 2016,Diving,synchronized diving 10m platform men
7,BRA,jackson rondinelli,368.52,Rio 2016,Diving,synchronized diving 10m platform men
0,CHN,huixia liu,354.00,Rio 2016,Diving,synchronized diving 10m platform women
1,MAS,jun hoong cheong,344.34,Rio 2016,Diving,synchronized diving 10m platform women
2,CAN,roseline filion,336.18,Rio 2016,Diving,synchronized diving 10m platform women
3,PRK,kuk hyang kim,322.44,Rio 2016,Diving,synchronized diving 10m platform women
4,GBR,lois toulson,319.44,Rio 2016,Diving,synchronized diving 10m platform women
5,MEX,paola espinosa sanchez,304.08,Rio 2016,Diving,synchronized diving 10m platform women
6,USA,amelia cozad,301.02,Rio 2016,Diving,synchronized diving 10m platform women
7,BRA,giovanna pedroso,280.98,Rio 2016,Diving,synchronized diving 10m platform women
0,GBR,jack laugher,454.32,Rio 2016,Diving,synchronized diving 3m springboard men
1,USA,mike hixon,450.21,Rio 2016,Diving,synchronized diving 3m springboard men
2,CHN,kai qin,443.70,Rio 2016,Diving,synchronized diving 3m springboard men
