,country,participant,result,olympic_game,discipline,event
0,,,13,Rio 2016,Football,football men
1,,,22,Rio 2016,Football,football men
2,,,11,Rio 2016,Football,football men
3,,,8,Rio 2016,Football,football men
4,,,12,Rio 2016,Football,football men
5,,,5,Rio 2016,Football,football men
6,,,5,Rio 2016,Football,football men
7,,,1,Rio 2016,Football,football men
8,,,7,Rio 2016,Football,football men
9,,,7,Rio 2016,Football,football men
10,,,3,Rio 2016,Football,football men
11,,,1,Rio 2016,Football,football men
12,,,1,Rio 2016,Football,football men
13,,,4,Rio 2016,Football,football men
14,,,2,Rio 2016,Football,football men
15,,,1,Rio 2016,Football,football men
0,,,12,Rio 2016,Football,football women
1,,,4,Rio 2016,Football,football women
2,,,10,Rio 2016,Football,football women
3,,,9,Rio 2016,Football,football women
4,,,6,Rio 2016,Football,football women
5,,,6,Rio 2016,Football,football women
6,,,8,Rio 2016,Football,football women
7,,,2,Rio 2016,Football,football women
8,,,1,Rio 2016,Football,football women
9,,,0,Rio 2016,Football,football women
10,,,2,Rio 2016,Football,football women
11,,,3,Rio 2016,Football,football women
