,country,participant,result,olympic_game,discipline,event
0,,,25,Rio 2016,Hockey,hockey men
1,,,29,Rio 2016,Hockey,hockey men
2,,,23,Rio 2016,Hockey,hockey men
3,,,24,Rio 2016,Hockey,hockey men
4,,,14,Rio 2016,Hockey,hockey men
5,,,13,Rio 2016,Hockey,hockey men
6,,,19,Rio 2016,Hockey,hockey men
7,,,10,Rio 2016,Hockey,hockey men
8,,,14,Rio 2016,Hockey,hockey men
9,,,10,Rio 2016,Hockey,hockey men
10,,,7,Rio 2016,Hockey,hockey men
11,,,1,Rio 2016,Hockey,hockey men
0,,,21,Rio 2016,Hockey,hockey women
1,,,20,Rio 2016,Hockey,hockey women
2,,,11,Rio 2016,Hockey,hockey women
3,,,16,Rio 2016,Hockey,hockey women
4,,,15,Rio 2016,Hockey,hockey women
5,,,13,Rio 2016,Hockey,hockey women
6,,,14,Rio 2016,Hockey,hockey women
7,,,7,Rio 2016,Hockey,hockey women
8,,,3,Rio 2016,Hockey,hockey women
9,,,3,Rio 2016,Hockey,hockey women
10,,,3,Rio 2016,Hockey,hockey women
11,,,3,Rio 2016,Hockey,hockey women
