,country,participant,result,olympic_game,discipline,event
0,CRO,sime fantela,43,Rio 2016,Sailing,470 - Two Person Dinghy men
1,AUS,mathew belcher,58,Rio 2016,Sailing,470 - Two Person Dinghy men
2,GRE,panagiotis mantis,58,Rio 2016,Sailing,470 - Two Person Dinghy men
3,USA,dave hughes,71,Rio 2016,Sailing,470 - Two Person Dinghy men
4,GBR,luke patience,75,Rio 2016,Sailing,470 - Two Person Dinghy men
5,SWE,anton dahlberg,79,Rio 2016,Sailing,470 - Two Person Dinghy men
6,FRA,jeremie mion,87,Rio 2016,Sailing,470 - Two Person Dinghy men
7,AUT,florian reichstaedter,87,Rio 2016,Sailing,470 - Two Person Dinghy men
8,SUI,yannick brauchli,94,Rio 2016,Sailing,470 - Two Person Dinghy men
9,NZL,paul snow-hansen,104,Rio 2016,Sailing,470 - Two Person Dinghy men
10,GER,oliver szymanski,94,Rio 2016,Sailing,470 - Two Person Dinghy men
11,ESP,jordi xammar hernandez,97,Rio 2016,Sailing,470 - Two Person Dinghy men
12,RUS,denis gribanov,117,Rio 2016,Sailing,470 - Two Person Dinghy men
13,TUR,ates cinar,120,Rio 2016,Sailing,470 - Two Person Dinghy men
14,FIN,niklas lindgren,123,Rio 2016,Sailing,470 - Two Person Dinghy men
15,ARG,lucas calabrese,129,Rio 2016,Sailing,470 - Two Person Dinghy men
16,JPN,kazuto doi,135,Rio 2016,Sailing,470 - Two Person Dinghy men
17,CHN,zangjun xu,142,Rio 2016,Sailing,470 - Two Person Dinghy men
18,KOR,jihoon kim,146,Rio 2016,Sailing,470 - Two Person Dinghy men
19,RSA,asenathi jim,148,Rio 2016,Sailing,470 - Two Person Dinghy men
20,ISR,eyal levine,152,Rio 2016,Sailing,470 - Two Person Dinghy men
21,CAN,graeme saunders,159,Rio 2016,Sailing,470 - Two Person Dinghy men
22,BRA,henrique haddad,167,Rio 2016,Sailing,470 - Two Person Dinghy men
23,CHI,andres ducasse,171,Rio 2016,Sailing,470 - Two Person Dinghy men
24,UKR,pavlo matsuyev,184,Rio 2016,Sailing,470 - Two Person Dinghy men
25,ANG,paixao afonso,229,Rio 2016,Sailing,470 - Two Person Dinghy men
0,GBR,hannah mills,44,Rio 2016,Sailing,470 - Two Person Dinghy women
1,NZL,jo aleh,54,Rio 2016,Sailing,470 - Two Person Dinghy women
2,FRA,helene defrance,62,Rio 2016,Sailing,470 - Two Person Dinghy women
3,NED,afrodite zegers,63,Rio 2016,Sailing,470 - Two Person Dinghy women
4,JPN,ai kondo yoshida,66,Rio 2016,Sailing,470 - Two Person Dinghy women
5,SLO,veronika macarol,67,Rio 2016,Sailing,470 - Two Person Dinghy women
6,USA,briana provancha,69,Rio 2016,Sailing,470 - Two Person Dinghy women
7,BRA,ana luiza barbachan,76,Rio 2016,Sailing,470 - Two Person Dinghy women
8,AUT,lara vadlau,92,Rio 2016,Sailing,470 - Two Person Dinghy women
9,POL,agnieszka skrzypulec,106,Rio 2016,Sailing,470 - Two Person Dinghy women
10,CHI,nadja horwitz,97,Rio 2016,Sailing,470 - Two Person Dinghy women
11,ESP,barbara cornudella ravetllat,101,Rio 2016,Sailing,470 - Two Person Dinghy women
12,RUS,lyudmila dmitriyeva,104,Rio 2016,Sailing,470 - Two Person Dinghy women
13,SUI,linda fahrni,104,Rio 2016,Sailing,470 - Two Person Dinghy women
14,AUS,jaime ryan,106,Rio 2016,Sailing,470 - Two Person Dinghy women
15,CHN,xiaoli wang,113,Rio 2016,Sailing,470 - Two Person Dinghy women
16,ISR,gil cohen,120,Rio 2016,Sailing,470 - Two Person Dinghy women
17,GER,marlene steinherr,121,Rio 2016,Sailing,470 - Two Person Dinghy women
18,ITA,elena berta,135,Rio 2016,Sailing,470 - Two Person Dinghy women
19,SGP,amanda ng,166,Rio 2016,Sailing,470 - Two Person Dinghy women
0,NZL,blair tuke,35,Rio 2016,Sailing,49er - Skiff men
1,AUS,iain jensen,78,Rio 2016,Sailing,49er - Skiff men
2,GER,erik heil,83,Rio 2016,Sailing,49er - Skiff men
3,DEN,christian peter lubeck,98,Rio 2016,Sailing,49er - Skiff men
4,FRA,julien dortoli,100,Rio 2016,Sailing,49er - Skiff men
5,GBR,dylan fletcher-scott,100,Rio 2016,Sailing,49er - Skiff men
6,ARG,yago lange,111,Rio 2016,Sailing,49er - Skiff men
7,POL,pawel kolodzinski,118.3,Rio 2016,Sailing,49er - Skiff men
8,ESP,diego botin le chever,120,Rio 2016,Sailing,49er - Skiff men
9,IRL,matthew mcgovern,121,Rio 2016,Sailing,49er - Skiff men
10,BRA,marco grael,109,Rio 2016,Sailing,49er - Skiff men
11,AUT,nikolaus resch,116,Rio 2016,Sailing,49er - Skiff men
12,SUI,lucien cujean,120,Rio 2016,Sailing,49er - Skiff men
13,ITA,ruggero tita,120,Rio 2016,Sailing,49er - Skiff men
14,CRO,pavle kostov,122,Rio 2016,Sailing,49er - Skiff men
15,POR,jorge lima,122,Rio 2016,Sailing,49er - Skiff men
16,BEL,tom pelsmaekers,125,Rio 2016,Sailing,49er - Skiff men
17,JPN,kenji takahashi,132,Rio 2016,Sailing,49er - Skiff men
18,USA,thomas barrows,155,Rio 2016,Sailing,49er - Skiff men
19,CHI,cristobal grez ahrens,171,Rio 2016,Sailing,49er - Skiff men
0,BRA,kahena kunze,48,Rio 2016,Sailing,49er FX Women women
1,NZL,molly meech,51,Rio 2016,Sailing,49er FX Women women
2,DEN,jena hansen,54,Rio 2016,Sailing,49er FX Women women
3,ESP,tamara echegoyen dominguez,60,Rio 2016,Sailing,49er FX Women women
4,ITA,giulia conti,82,Rio 2016,Sailing,49er FX Women women
5,FRA,aude compan,85,Rio 2016,Sailing,49er FX Women women
6,NED,annette duetz,97,Rio 2016,Sailing,49er FX Women women
7,GBR,sophie ainsworth,101,Rio 2016,Sailing,49er FX Women women
8,GER,victoria jurczok,110,Rio 2016,Sailing,49er FX Women women
9,USA,paris henken,112,Rio 2016,Sailing,49er FX Women women
10,SWE,hanna klinga,103,Rio 2016,Sailing,49er FX Women women
11,IRL,andrea brewster,119,Rio 2016,Sailing,49er FX Women women
12,ARG,maria branz,129,Rio 2016,Sailing,49er FX Women women
13,NOR,ragna agerup,132,Rio 2016,Sailing,49er FX Women women
14,SGP,griselda khng,135,Rio 2016,Sailing,49er FX Women women
15,CAN,dannie boyd,145,Rio 2016,Sailing,49er FX Women women
16,FIN,noora ruskola,154,Rio 2016,Sailing,49er FX Women women
17,CHI,arantza gumucio,168,Rio 2016,Sailing,49er FX Women women
18,EST,anna maria sepp,194,Rio 2016,Sailing,49er FX Women women
19,JPN,sena takano,210,Rio 2016,Sailing,49er FX Women women
0,GBR,giles scott,36,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
1,SLO,vasilij zbogar,68,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
2,USA,caleb paine,76,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
3,BRA,jorge zarif,87,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
4,CRO,ivan kljakovic-gaspic,89,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
5,SWE,max salminen,90,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
6,NZL,josh junior,92,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
7,AUS,jake lilley,97,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
8,ARG,facundo olezza bazan,101,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
9,NED,pieter-jan postma,105,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
10,GRE,giannis mittakis,88,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
11,HUN,zsombor berecz,92,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
12,TUR,alican kaynar,93,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
13,FRA,jonathan lobert,95,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
14,FIN,tapio nirkko,107,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
15,DEN,jonas hoegh-christensen,109,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
16,NOR,anders pedersen,109,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
17,ITA,giorgio poggi,111,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
18,URU,alejandro foglia,122,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
19,EST,deniss karpak,126,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
20,CAN,tom ramshaw,151,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
21,CHN,lei gong,178,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
22,SEY,allen julie,186,Rio 2016,Sailing,Finn - One Person Dinghy (Heavyweight) men
0,AUS,tom burton,73,Rio 2016,Sailing,Laser - One Person Dinghy men
1,CRO,tonci stipanovic,75,Rio 2016,Sailing,Laser - One Person Dinghy men
2,NZL,sam meech,85,Rio 2016,Sailing,Laser - One Person Dinghy men
3,BRA,robert scheidt,89,Rio 2016,Sailing,Laser - One Person Dinghy men
4,FRA,jean baptiste bernaz,90,Rio 2016,Sailing,Laser - One Person Dinghy men
5,GBR,nick thompson,103,Rio 2016,Sailing,Laser - One Person Dinghy men
6,CYP,pavlos kontides,104,Rio 2016,Sailing,Laser - One Person Dinghy men
7,GUA,juan ignacio maegli,117,Rio 2016,Sailing,Laser - One Person Dinghy men
8,NED,rutger van schaardenburg,118,Rio 2016,Sailing,Laser - One Person Dinghy men
9,ARG,julio alsogaray,129,Rio 2016,Sailing,Laser - One Person Dinghy men
10,USA,charlie buckingham,108,Rio 2016,Sailing,Laser - One Person Dinghy men
11,ITA,francesco marrai,109,Rio 2016,Sailing,Laser - One Person Dinghy men
12,KOR,jeemin ha,109,Rio 2016,Sailing,Laser - One Person Dinghy men
13,GER,philipp buhl,126,Rio 2016,Sailing,Laser - One Person Dinghy men
14,RUS,sergei komissarov,129,Rio 2016,Sailing,Laser - One Person Dinghy men
15,SWE,jesper stalheim,137,Rio 2016,Sailing,Laser - One Person Dinghy men
16,BEL,wannes van laer,140,Rio 2016,Sailing,Laser - One Person Dinghy men
17,POL,kacper zieminski,140,Rio 2016,Sailing,Laser - One Person Dinghy men
18,ISV,cy thompson,152,Rio 2016,Sailing,Laser - One Person Dinghy men
19,SGP,colin cheng,160,Rio 2016,Sailing,Laser - One Person Dinghy men
20,EST,karl-martin rammo,169,Rio 2016,Sailing,Laser - One Person Dinghy men
21,POR,gustavo lima,170,Rio 2016,Sailing,Laser - One Person Dinghy men
22,CAN,lee parkhill,172,Rio 2016,Sailing,Laser - One Person Dinghy men
23,ESA,enrique jose arathoon pacas,177,Rio 2016,Sailing,Laser - One Person Dinghy men
24,DEN,michael hansen,180,Rio 2016,Sailing,Laser - One Person Dinghy men
25,FIN,kaarle tapper,187,Rio 2016,Sailing,Laser - One Person Dinghy men
26,NOR,kristian ruth,209,Rio 2016,Sailing,Laser - One Person Dinghy men
27,CZE,viktor teply,222,Rio 2016,Sailing,Laser - One Person Dinghy men
28,MNE,milivoj dukic,232,Rio 2016,Sailing,Laser - One Person Dinghy men
29,CHI,matias del solar,238,Rio 2016,Sailing,Laser - One Person Dinghy men
30,PER,stefano peschiera,242,Rio 2016,Sailing,Laser - One Person Dinghy men
31,IRL,finn lynch,243,Rio 2016,Sailing,Laser - One Person Dinghy men
32,HUN,benjamin vadnai,248,Rio 2016,Sailing,Laser - One Person Dinghy men
33,TUN,youssef akrout,257,Rio 2016,Sailing,Laser - One Person Dinghy men
34,MAS,khairulnizam mohd afendy,281,Rio 2016,Sailing,Laser - One Person Dinghy men
35,ESP,joaquin blanco albalat,286,Rio 2016,Sailing,Laser - One Person Dinghy men
36,THA,keerati bualong,287,Rio 2016,Sailing,Laser - One Person Dinghy men
37,VEN,jose gutierrez,314,Rio 2016,Sailing,Laser - One Person Dinghy men
38,TTO,andrew lewis,324,Rio 2016,Sailing,Laser - One Person Dinghy men
39,RSA,stefano raffaele marcia,331,Rio 2016,Sailing,Laser - One Person Dinghy men
40,BER,cameron pimentel,339,Rio 2016,Sailing,Laser - One Person Dinghy men
41,MEX,yanic gentry torfer,340,Rio 2016,Sailing,Laser - One Person Dinghy men
42,EGY,ahmed ragab,349,Rio 2016,Sailing,Laser - One Person Dinghy men
43,COK,peter elisa henry,362,Rio 2016,Sailing,Laser - One Person Dinghy men
44,SEY,rodney govinden,365,Rio 2016,Sailing,Laser - One Person Dinghy men
45,ANG,manuel lelo,390,Rio 2016,Sailing,Laser - One Person Dinghy men
0,NED,marit bouwmeester,61,Rio 2016,Sailing,Laser Radial - One Person Dinghy women
1,IRL,annalise murphy,67,Rio 2016,Sailing,Laser Radial - One Person Dinghy women
2,DEN,anne-marie rindom,71,Rio 2016,Sailing,Laser Radial - One Person Dinghy women
3,BEL,evi van acker,78,Rio 2016,Sailing,Laser Radial - One Person Dinghy women
4,FIN,tuula tenkanen,86.6,Rio 2016,Sailing,Laser Radial - One Person Dinghy women
