,country,participant,result,olympic_game,discipline,event
0,KAZ,dmitriy balandin,,Rio 2016,Swimming,200m breaststroke men
1,USA,josh prenot,,Rio 2016,Swimming,200m breaststroke men
2,RUS,anton chupkov,,Rio 2016,Swimming,200m breaststroke men
3,GBR,andrew willis,,Rio 2016,Swimming,200m breaststroke men
4,JPN,yasuhiro koseki,,Rio 2016,Swimming,200m breaststroke men
5,JPN,ippei watanabe,,Rio 2016,Swimming,200m breaststroke men
6,GER,marco koch,,Rio 2016,Swimming,200m breaststroke men
7,USA,kevin cordes,,Rio 2016,Swimming,200m breaststroke men
8,CHN,feilian mao,,Rio 2016,Swimming,200m breaststroke men
9,RUS,ilya khomenko,,Rio 2016,Swimming,200m breaststroke men
10,SWE,erik persson,,Rio 2016,Swimming,200m breaststroke men
11,CHN,xiang li,,Rio 2016,Swimming,200m breaststroke men
12,GBR,craig benson,,Rio 2016,Swimming,200m breaststroke men
13,ITA,luca pizzini,,Rio 2016,Swimming,200m breaststroke men
14,VEN,jesus herrada lopez,,Rio 2016,Swimming,200m breaststroke men
15,FIN,matti mattsson,,Rio 2016,Swimming,200m breaststroke men
16,HUN,daniel gyurta,,Rio 2016,Swimming,200m breaststroke men
17,ISL,anton mckee,,Rio 2016,Swimming,200m breaststroke men
18,IRL,nicholas quinn,,Rio 2016,Swimming,200m breaststroke men
19,SUI,yannick kaeser,,Rio 2016,Swimming,200m breaststroke men
20,LUX,laurent carnol,,Rio 2016,Swimming,200m breaststroke men
21,LTU,giedrius titenis,,Rio 2016,Swimming,200m breaststroke men
22,NZL,glenn snyders,,Rio 2016,Swimming,200m breaststroke men
23,CAN,ashton baumann,,Rio 2016,Swimming,200m breaststroke men
24,RSA,jarred crous,,Rio 2016,Swimming,200m breaststroke men
25,RSA,cameron van der burgh,,Rio 2016,Swimming,200m breaststroke men
26,GRE,panagiotis samilidis,,Rio 2016,Swimming,200m breaststroke men
27,COL,jorge mario murillo valdes,,Rio 2016,Swimming,200m breaststroke men
28,BRA,tales cerdeira,,Rio 2016,Swimming,200m breaststroke men
29,HUN,david horvath,,Rio 2016,Swimming,200m breaststroke men
30,KOR,kyuwoong choi,,Rio 2016,Swimming,200m breaststroke men
31,BEL,basten caerts,,Rio 2016,Swimming,200m breaststroke men
32,EST,martin allikvee,,Rio 2016,Swimming,200m breaststroke men
33,TPE,hsuan-yen lee,,Rio 2016,Swimming,200m breaststroke men
34,GRE,dimitrios koulouris,,Rio 2016,Swimming,200m breaststroke men
35,BRA,thiago simon,,Rio 2016,Swimming,200m breaststroke men
36,UKR,dmytro oseledets,,Rio 2016,Swimming,200m breaststroke men
37,KGZ,denis petrashov,,Rio 2016,Swimming,200m breaststroke men
38,IRI,arya nasimi shad,,Rio 2016,Swimming,200m breaststroke men
0,JPN,rie kaneto,,Rio 2016,Swimming,200m breaststroke women
1,RUS,yuliya efimova,,Rio 2016,Swimming,200m breaststroke women
2,CHN,jinglin shi,,Rio 2016,Swimming,200m breaststroke women
3,GBR,chloe tutton,,Rio 2016,Swimming,200m breaststroke women
4,AUS,taylor mckeown,,Rio 2016,Swimming,200m breaststroke women
5,GBR,molly renshaw,,Rio 2016,Swimming,200m breaststroke women
6,CAN,kierra smith,,Rio 2016,Swimming,200m breaststroke women
7,DEN,rikke moller pedersen,,Rio 2016,Swimming,200m breaststroke women
8,TUR,viktoria zeynep gunes,,Rio 2016,Swimming,200m breaststroke women
9,ESP,jessica vall montero,,Rio 2016,Swimming,200m breaststroke women
10,ISL,hrafnhildur luthersdottir,,Rio 2016,Swimming,200m breaststroke women
11,USA,lilly king,,Rio 2016,Swimming,200m breaststroke women
12,JPN,kanako watanabe,,Rio 2016,Swimming,200m breaststroke women
13,FIN,jenna laukkanen,,Rio 2016,Swimming,200m breaststroke women
14,RUS,sofya andreyeva,,Rio 2016,Swimming,200m breaststroke women
15,USA,molly hannis,,Rio 2016,Swimming,200m breaststroke women
16,BEL,fanny lecluyse,,Rio 2016,Swimming,200m breaststroke women
