,country,participant,result,olympic_game,discipline,event
0,TUR,taha akgul,14,Rio 2016,Wrestling,Freestyle 125 kg men
1,IRI,komeil nemat ghasemi,14,Rio 2016,Wrestling,Freestyle 125 kg men
2,BLR,ibragim saidov,9,Rio 2016,Wrestling,Freestyle 125 kg men
3,GEO,geno petriashvili,15,Rio 2016,Wrestling,Freestyle 125 kg men
4,ARM,levan berianidze,8,Rio 2016,Wrestling,Freestyle 125 kg men
5,USA,tervel ivaylov dlagnev,6,Rio 2016,Wrestling,Freestyle 125 kg men
6,HUN,daniel ligeti,5,Rio 2016,Wrestling,Freestyle 125 kg men
7,CAN,korey jarvis,5,Rio 2016,Wrestling,Freestyle 125 kg men
8,EGY,diaaeldin kamal gouda abdelmottaleb,4,Rio 2016,Wrestling,Freestyle 125 kg men
9,UKR,alen zasieiev,4,Rio 2016,Wrestling,Freestyle 125 kg men
10,POL,robert baran,4,Rio 2016,Wrestling,Freestyle 125 kg men
11,AZE,camaləddin maqomedov,1,Rio 2016,Wrestling,Freestyle 125 kg men
12,CHN,zhiwei deng,1,Rio 2016,Wrestling,Freestyle 125 kg men
13,RUS,bilyal makhov,1,Rio 2016,Wrestling,Freestyle 125 kg men
14,KGZ,aiaal lazarev,1,Rio 2016,Wrestling,Freestyle 125 kg men
15,MGL,chuluunbat jargalsaikhan,1,Rio 2016,Wrestling,Freestyle 125 kg men
16,KAZ,daulet shabanbay,,Rio 2016,Wrestling,Freestyle 125 kg men
17,BUL,dimitar angelov kumchev,,Rio 2016,Wrestling,Freestyle 125 kg men
18,PLW,florian skilang temengil,,Rio 2016,Wrestling,Freestyle 125 kg men
19,TUN,radhouane chebbi,,Rio 2016,Wrestling,Freestyle 125 kg men
0,JPN,eri tosaka,12,Rio 2016,Wrestling,Freestyle 48 kg women
1,AZE,mariya stadnik,14,Rio 2016,Wrestling,Freestyle 48 kg women
2,CHN,yanan sun,14,Rio 2016,Wrestling,Freestyle 48 kg women
3,BUL,elitsa atanasova yankova,13,Rio 2016,Wrestling,Freestyle 48 kg women
4,KAZ,zhuldyz eshimova,3,Rio 2016,Wrestling,Freestyle 48 kg women
5,ARG,patricia alejandra bermudez,4,Rio 2016,Wrestling,Freestyle 48 kg women
6,POL,iwona nina matkowska,6,Rio 2016,Wrestling,Freestyle 48 kg women
7,COL,carolina castillo hidalgo,5,Rio 2016,Wrestling,Freestyle 48 kg women
8,USA,haley ruth augello,5,Rio 2016,Wrestling,Freestyle 48 kg women
9,IND,vinesh phogat,4,Rio 2016,Wrestling,Freestyle 48 kg women
10,RUS,milana dadasheva,4,Rio 2016,Wrestling,Freestyle 48 kg women
11,CAN,jasmine mian,1,Rio 2016,Wrestling,Freestyle 48 kg women
12,PRK,hyon gyong kim,1,Rio 2016,Wrestling,Freestyle 48 kg women
13,NGR,miesinnei mercy genesis,,Rio 2016,Wrestling,Freestyle 48 kg women
14,NED,jessica blaszka,,Rio 2016,Wrestling,Freestyle 48 kg women
15,CAM,sotheara chov,,Rio 2016,Wrestling,Freestyle 48 kg women
16,CMR,rebecca ndolo muambo,,Rio 2016,Wrestling,Freestyle 48 kg women
17,ROU,emilia alina vuc,,Rio 2016,Wrestling,Freestyle 48 kg women
0,USA,helen louise maroulis,19,Rio 2016,Wrestling,Freestyle 53 kg women
1,JPN,saori yoshida,10,Rio 2016,Wrestling,Freestyle 53 kg women
2,AZE,nataliya synyshyn,6,Rio 2016,Wrestling,Freestyle 53 kg women
3,SWE,sofia magdalena mattsson,13,Rio 2016,Wrestling,Freestyle 53 kg women
4,VEN,betzabeth angelica arguello villegas,9,Rio 2016,Wrestling,Freestyle 53 kg women
5,CHN,xuechun zhong,10,Rio 2016,Wrestling,Freestyle 53 kg women
6,PRK,myong suk jong,10,Rio 2016,Wrestling,Freestyle 53 kg women
7,SEN,isabelle sambou,5,Rio 2016,Wrestling,Freestyle 53 kg women
8,POL,katarzyna krawczyk,4,Rio 2016,Wrestling,Freestyle 53 kg women
9,GRE,maria prevolaraki,4,Rio 2016,Wrestling,Freestyle 53 kg women
10,UKR,yuliya khavaldzhy,2,Rio 2016,Wrestling,Freestyle 53 kg women
11,MGL,sumiya erdenechimeg,1,Rio 2016,Wrestling,Freestyle 53 kg women
12,IND,kumari babita,1,Rio 2016,Wrestling,Freestyle 53 kg women
13,GER,nina hemmer,1,Rio 2016,Wrestling,Freestyle 53 kg women
14,VIE,thi lua nguyen,,Rio 2016,Wrestling,Freestyle 53 kg women
15,CMR,joseph emilienne essombe tiako,,Rio 2016,Wrestling,Freestyle 53 kg women
16,NGR,odunayo folasade adekuoroye,,Rio 2016,Wrestling,Freestyle 53 kg women
17,TUR,bediha gun,,Rio 2016,Wrestling,Freestyle 53 kg women
18,CAN,jillian alice gallays,,Rio 2016,Wrestling,Freestyle 53 kg women
0,GEO,vladimer khinchegashvili,12,Rio 2016,Wrestling,Freestyle 57 kg men
1,JPN,rei higuchi,15,Rio 2016,Wrestling,Freestyle 57 kg men
2,AZE,hacı əliyev,13,Rio 2016,Wrestling,Freestyle 57 kg men
3,IRI,hassan sabzali rahimi,13,Rio 2016,Wrestling,Freestyle 57 kg men
4,BUL,vladimir vladimirov dubov,10,Rio 2016,Wrestling,Freestyle 57 kg men
5,CUB,yowlys bonne rodriguez,12,Rio 2016,Wrestling,Freestyle 57 kg men
6,BLR,asadulla lachinau,5,Rio 2016,Wrestling,Freestyle 57 kg men
7,PRK,kyong il yang,5,Rio 2016,Wrestling,Freestyle 57 kg men
8,RUS,viktor lebedev,4,Rio 2016,Wrestling,Freestyle 57 kg men
9,SEN,adama diatta,4,Rio 2016,Wrestling,Freestyle 57 kg men
10,ROU,ivan guidea,3,Rio 2016,Wrestling,Freestyle 57 kg men
11,KAZ,nurislam sanayev,2,Rio 2016,Wrestling,Freestyle 57 kg men
12,MAR,chakir ansari,1,Rio 2016,Wrestling,Freestyle 57 kg men
13,MGL,bekhbayar erdenebat,1,Rio 2016,Wrestling,Freestyle 57 kg men
14,IND,sandeep tomar,1,Rio 2016,Wrestling,Freestyle 57 kg men
15,TUR,suleyman atli,1,Rio 2016,Wrestling,Freestyle 57 kg men
16,KOR,junsik yun,1,Rio 2016,Wrestling,Freestyle 57 kg men
17,UZB,abbos rakhmonov,,Rio 2016,Wrestling,Freestyle 57 kg men
18,USA,daniel paul dennis,,Rio 2016,Wrestling,Freestyle 57 kg men
19,ARM,garnik mnatsakanyan,,Rio 2016,Wrestling,Freestyle 57 kg men
0,JPN,kaori icho,14,Rio 2016,Wrestling,Freestyle 58 kg women
1,RUS,valeriya zholobova-koblova,14,Rio 2016,Wrestling,Freestyle 58 kg women
2,TUN,marwa amri,6,Rio 2016,Wrestling,Freestyle 58 kg women
3,IND,sakshi malik,13,Rio 2016,Wrestling,Freestyle 58 kg women
4,AZE,yuliya ratkevich,7,Rio 2016,Wrestling,Freestyle 58 kg women
5,KGZ,aisuluu tynybekova,8,Rio 2016,Wrestling,Freestyle 58 kg women
6,MGL,orkhon purevdorj,9,Rio 2016,Wrestling,Freestyle 58 kg women
7,COL,jackeline renteria castillo,6,Rio 2016,Wrestling,Freestyle 58 kg women
8,TUR,elif jale yesilirmak,5,Rio 2016,Wrestling,Freestyle 58 kg women
9,FIN,petra maarit olli,4,Rio 2016,Wrestling,Freestyle 58 kg women
10,MDA,mariana cherdivara esanu,4,Rio 2016,Wrestling,Freestyle 58 kg women
11,BRA,joice souza da silva,1,Rio 2016,Wrestling,Freestyle 58 kg women
12,UKR,oksana herhel,1,Rio 2016,Wrestling,Freestyle 58 kg women
13,SWE,johanna mattsson,1,Rio 2016,Wrestling,Freestyle 58 kg women
14,BUL,mimi nikolova hristova,1,Rio 2016,Wrestling,Freestyle 58 kg women
15,NGR,aminat oluwafunmilayo adeniyi,1,Rio 2016,Wrestling,Freestyle 58 kg women
16,CAN,michelle cristina fazzari,1,Rio 2016,Wrestling,Freestyle 58 kg women
17,PER,yanet ursula sovero nino,,Rio 2016,Wrestling,Freestyle 58 kg women
18,ECU,lissette alexandra antes castillo,,Rio 2016,Wrestling,Freestyle 58 kg women
19,GER,luisa helga gerda niemesch,,Rio 2016,Wrestling,Freestyle 58 kg women
0,JPN,risako kawai,13,Rio 2016,Wrestling,Freestyle 63 kg women
1,BLR,maryia mamashuk,9,Rio 2016,Wrestling,Freestyle 63 kg women
2,KAZ,yekaterina larionova,11,Rio 2016,Wrestling,Freestyle 63 kg women
3,POL,monika ewa michalik,6,Rio 2016,Wrestling,Freestyle 63 kg women
4,USA,elena sergey pirozhkova,7,Rio 2016,Wrestling,Freestyle 63 kg women
5,RUS,inna trazhukova,10,Rio 2016,Wrestling,Freestyle 63 kg women
6,TUR,ebru sahin,6,Rio 2016,Wrestling,Freestyle 63 kg women
7,LAT,anastasija grigorjeva,6,Rio 2016,Wrestling,Freestyle 63 kg women
8,UKR,yuliya ostapchuk,6,Rio 2016,Wrestling,Freestyle 63 kg women
9,SWE,henna katarina johansson,5,Rio 2016,Wrestling,Freestyle 63 kg women
10,CHN,rui xu,4,Rio 2016,Wrestling,Freestyle 63 kg women
11,MGL,battsetseg soronzonbold,4,Rio 2016,Wrestling,Freestyle 63 kg women
12,BUL,taybe mustafa yusein,1,Rio 2016,Wrestling,Freestyle 63 kg women
13,NGR,blessing oborududu,1,Rio 2016,Wrestling,Freestyle 63 kg women
14,BRA,lais nunes de oliveira,,Rio 2016,Wrestling,Freestyle 63 kg women
15,CAN,danielle suzanne lappage,,Rio 2016,Wrestling,Freestyle 63 kg women
16,HUN,marianna sastin,,Rio 2016,Wrestling,Freestyle 63 kg women
17,TUN,hela riabi,,Rio 2016,Wrestling,Freestyle 63 kg women
18,CZE,adela hanzlickova,,Rio 2016,Wrestling,Freestyle 63 kg women
0,RUS,soslan ramonov,17,Rio 2016,Wrestling,Freestyle 65 kg men
1,AZE,toğrul əsgərov,11,Rio 2016,Wrestling,Freestyle 65 kg men
2,ITA,frank chamizo marquez,10,Rio 2016,Wrestling,Freestyle 65 kg men
3,UZB,ikhtiyor navruzov,10,Rio 2016,Wrestling,Freestyle 65 kg men
4,USA,frank aniello molinaro,7,Rio 2016,Wrestling,Freestyle 65 kg men
5,MGL,mandakhnaran ganzorig,10,Rio 2016,Wrestling,Freestyle 65 kg men
6,CUB,alejandro enrique valdes tobier,7,Rio 2016,Wrestling,Freestyle 65 kg men
7,BUL,borislav stefanov novachkov,4,Rio 2016,Wrestling,Freestyle 65 kg men
8,PUR,franklin gomez,4,Rio 2016,Wrestling,Freestyle 65 kg men
9,GEO,zurabi iakobishvili,4,Rio 2016,Wrestling,Freestyle 65 kg men
10,CAN,haislan antonio veranes garcia,4,Rio 2016,Wrestling,Freestyle 65 kg men
11,CHN,katai yeerlanbieke,3,Rio 2016,Wrestling,Freestyle 65 kg men
