,country,participant,result,olympic_game,discipline,event
0,,,815,Rome 1960,Basketball,basketball men
1,,,596,Rome 1960,Basketball,basketball men
2,,,578,Rome 1960,Basketball,basketball men
3,,,603,Rome 1960,Basketball,basketball men
4,,,633,Rome 1960,Basketball,basketball men
5,,,578,Rome 1960,Basketball,basketball men
6,,,589,Rome 1960,Basketball,basketball men
7,,,548,Rome 1960,Basketball,basketball men
8,,,519,Rome 1960,Basketball,basketball men
9,,,649,Rome 1960,Basketball,basketball men
10,,,520,Rome 1960,Basketball,basketball men
11,,,540,Rome 1960,Basketball,basketball men
12,,,527,Rome 1960,Basketball,basketball men
13,,,467,Rome 1960,Basketball,basketball men
14,,,481,Rome 1960,Basketball,basketball men
15,,,209,Rome 1960,Basketball,basketball men
