,country,participant,result,olympic_game,discipline,event
0,ITA,sante gaiardoni,00:01:07.270,Rome 1960,Cycling Track,1km time trial men
1,GER,dietrich (dieter) gieseler,00:01:08.750,Rome 1960,Cycling Track,1km time trial men
2,URS,rostislav vargashkin,00:01:08.860,Rome 1960,Cycling Track,1km time trial men
3,NED,pieter carel c. van der touw,00:01:09.200,Rome 1960,Cycling Track,1km time trial men
4,AUS,ian chapman,00:01:09.550,Rome 1960,Cycling Track,1km time trial men
5,BRA,anisio argenton,00:01:09.960,Rome 1960,Cycling Track,1km time trial men
6,BEL,jean govaerts,00:01:10.230,Rome 1960,Cycling Track,1km time trial men
7,SUI,josef helbling,00:01:10.420,Rome 1960,Cycling Track,1km time trial men
8,RSA,leslie haupt,00:01:10.610,Rome 1960,Cycling Track,1km time trial men
9,HUN,janos sore,00:01:10.630,Rome 1960,Cycling Track,1km time trial men
10,NZL,warwick dashwood dalton,00:01:10.680,Rome 1960,Cycling Track,1km time trial men
11,ROU,ion ionita,00:01:10.910,Rome 1960,Cycling Track,1km time trial men
12,USA,allen charles bell,00:01:11.330,Rome 1960,Cycling Track,1km time trial men
13,URU,luis pedro serra,00:01:11.420,Rome 1960,Cycling Track,1km time trial men
14,MEX,mauricio mata,00:01:11.610,Rome 1960,Cycling Track,1km time trial men
15,FRA,michel scob,00:01:11.650,Rome 1960,Cycling Track,1km time trial men
16,GBR,karl edward james barton,00:01:11.720,Rome 1960,Cycling Track,1km time trial men
17,BUL,bontcho novakov,00:01:11.730,Rome 1960,Cycling Track,1km time trial men
18,JPN,tetsuo osawa,00:01:11.860,Rome 1960,Cycling Track,1km time trial men
19,AUT,gunther kriz,00:01:12.580,Rome 1960,Cycling Track,1km time trial men
20,FIN,paul mauritz nyman,00:01:14.110,Rome 1960,Cycling Track,1km time trial men
21,COL,diego calero,00:01:14.180,Rome 1960,Cycling Track,1km time trial men
22,WIF,clyde rimple,00:01:16.080,Rome 1960,Cycling Track,1km time trial men
23,IRL,michael horgan,00:01:17.180,Rome 1960,Cycling Track,1km time trial men
24,PAK,muhammad amir ashiq,00:01:20.170,Rome 1960,Cycling Track,1km time trial men
0,ITA,giuseppe beghetto,,Rome 1960,Cycling Track,2000m tandem men
1,GER,jürgen simon,,Rome 1960,Cycling Track,2000m tandem men
2,URS,boris vasilyev,,Rome 1960,Cycling Track,2000m tandem men
3,NED,marinus cornelis paul,,Rome 1960,Cycling Track,2000m tandem men
4,FRA,michel scob,,Rome 1960,Cycling Track,2000m tandem men
5,GBR,david handley,,Rome 1960,Cycling Track,2000m tandem men
6,TCH,juraj miklusica,,Rome 1960,Cycling Track,2000m tandem men
7,USA,david lee sharp,,Rome 1960,Cycling Track,2000m tandem men
8,AUS,ian sterry browne,,Rome 1960,Cycling Track,2000m tandem men
0,ITA,sante gaiardoni,,Rome 1960,Cycling Track,Sprint individual men
1,BEL,leo sterckx,,Rome 1960,Cycling Track,Sprint individual men
2,ITA,valentino gasparella,2,Rome 1960,Cycling Track,Sprint individual men
3,AUS,ronald baensch,0,Rome 1960,Cycling Track,Sprint individual men
4,BRA,anisio argenton,,Rome 1960,Cycling Track,Sprint individual men
5,GBR,lloyd binch,,Rome 1960,Cycling Track,Sprint individual men
6,FRA,antoine pellegrina,,Rome 1960,Cycling Track,Sprint individual men
7,GER,august rieke,,Rome 1960,Cycling Track,Sprint individual men
0,,,,Rome 1960,Cycling Track,Team Pursuit 4000m men
1,,,,Rome 1960,Cycling Track,Team Pursuit 4000m men
2,,,00:04:34.050,Rome 1960,Cycling Track,Team Pursuit 4000m men
3,,,00:04:35.720,Rome 1960,Cycling Track,Team Pursuit 4000m men
4,,,,Rome 1960,Cycling Track,Team Pursuit 4000m men
5,,,,Rome 1960,Cycling Track,Team Pursuit 4000m men
6,,,,Rome 1960,Cycling Track,Team Pursuit 4000m men
7,,,,Rome 1960,Cycling Track,Team Pursuit 4000m men
