,country,participant,result,olympic_game,discipline,event
0,,,17,Rome 1960,Football,football men
1,,,11,Rome 1960,Football,football men
2,,,17,Rome 1960,Football,football men
3,,,11,Rome 1960,Football,football men
4,,,8,Rome 1960,Football,football men
5,,,10,Rome 1960,Football,football men
6,,,6,Rome 1960,Football,football men
7,,,3,Rome 1960,Football,football men
8,,,3,Rome 1960,Football,football men
9,,,8,Rome 1960,Football,football men
10,,,7,Rome 1960,Football,football men
11,,,6,Rome 1960,Football,football men
12,,,4,Rome 1960,Football,football men
13,,,3,Rome 1960,Football,football men
14,,,3,Rome 1960,Football,football men
15,,,3,Rome 1960,Football,football men
