,country,participant,result,olympic_game,discipline,event
0,,,,Rome 1960,Swimming,4x100m freestyle relay women
1,,,,Rome 1960,Swimming,4x100m freestyle relay women
2,,,,Rome 1960,Swimming,4x100m freestyle relay women
3,,,,Rome 1960,Swimming,4x100m freestyle relay women
4,,,,Rome 1960,Swimming,4x100m freestyle relay women
5,,,,Rome 1960,Swimming,4x100m freestyle relay women
6,,,,Rome 1960,Swimming,4x100m freestyle relay women
7,,,,Rome 1960,Swimming,4x100m freestyle relay women
8,,,,Rome 1960,Swimming,4x100m freestyle relay women
9,,,,Rome 1960,Swimming,4x100m freestyle relay women
10,,,,Rome 1960,Swimming,4x100m freestyle relay women
11,,,Disqualified,Rome 1960,Swimming,4x100m freestyle relay women
0,,,,Rome 1960,Swimming,4x100m medley relay men
1,,,,Rome 1960,Swimming,4x100m medley relay men
2,,,,Rome 1960,Swimming,4x100m medley relay men
3,,,,Rome 1960,Swimming,4x100m medley relay men
4,,,,Rome 1960,Swimming,4x100m medley relay men
5,,,,Rome 1960,Swimming,4x100m medley relay men
6,,,,Rome 1960,Swimming,4x100m medley relay men
7,,,,Rome 1960,Swimming,4x100m medley relay men
8,,,,Rome 1960,Swimming,4x100m medley relay men
9,,,,Rome 1960,Swimming,4x100m medley relay men
10,,,,Rome 1960,Swimming,4x100m medley relay men
11,,,,Rome 1960,Swimming,4x100m medley relay men
12,,,,Rome 1960,Swimming,4x100m medley relay men
13,,,,Rome 1960,Swimming,4x100m medley relay men
14,,,,Rome 1960,Swimming,4x100m medley relay men
15,,,,Rome 1960,Swimming,4x100m medley relay men
16,,,,Rome 1960,Swimming,4x100m medley relay men
17,,,,Rome 1960,Swimming,4x100m medley relay men
0,,,,Rome 1960,Swimming,4x100m medley relay women
1,,,,Rome 1960,Swimming,4x100m medley relay women
2,,,,Rome 1960,Swimming,4x100m medley relay women
3,,,,Rome 1960,Swimming,4x100m medley relay women
4,,,,Rome 1960,Swimming,4x100m medley relay women
5,,,,Rome 1960,Swimming,4x100m medley relay women
6,,,,Rome 1960,Swimming,4x100m medley relay women
7,,,,Rome 1960,Swimming,4x100m medley relay women
8,,,,Rome 1960,Swimming,4x100m medley relay women
9,,,,Rome 1960,Swimming,4x100m medley relay women
10,,,,Rome 1960,Swimming,4x100m medley relay women
11,,,,Rome 1960,Swimming,4x100m medley relay women
0,,,,Rome 1960,Swimming,4x200m freestyle relay men
1,,,,Rome 1960,Swimming,4x200m freestyle relay men
2,,,,Rome 1960,Swimming,4x200m freestyle relay men
3,,,,Rome 1960,Swimming,4x200m freestyle relay men
4,,,,Rome 1960,Swimming,4x200m freestyle relay men
5,,,,Rome 1960,Swimming,4x200m freestyle relay men
6,,,,Rome 1960,Swimming,4x200m freestyle relay men
7,,,,Rome 1960,Swimming,4x200m freestyle relay men
8,,,,Rome 1960,Swimming,4x200m freestyle relay men
9,,,,Rome 1960,Swimming,4x200m freestyle relay men
10,,,,Rome 1960,Swimming,4x200m freestyle relay men
11,,,,Rome 1960,Swimming,4x200m freestyle relay men
12,,,,Rome 1960,Swimming,4x200m freestyle relay men
13,,,,Rome 1960,Swimming,4x200m freestyle relay men
14,,,,Rome 1960,Swimming,4x200m freestyle relay men
