,country,participant,result,olympic_game,discipline,event
0,NOR,ole einar bjørndalen,00:24:51.300,Salt Lake City 2002,Biathlon,10km men
1,GER,sven fischer,00:25:20.200,Salt Lake City 2002,Biathlon,10km men
2,AUT,wolfgang perner,00:25:44.400,Salt Lake City 2002,Biathlon,10km men
3,GER,ricco gross,00:25:44.600,Salt Lake City 2002,Biathlon,10km men
4,AUT,wolfgang rottmann,00:25:48.800,Salt Lake City 2002,Biathlon,10km men
5,RUS,pavel rostovtsev,00:25:50.100,Salt Lake City 2002,Biathlon,10km men
6,RUS,viktor maygurov,00:25:50.900,Salt Lake City 2002,Biathlon,10km men
7,NOR,frode andresen,00:25:51.500,Salt Lake City 2002,Biathlon,10km men
8,FRA,raphael poiree,00:25:56.900,Salt Lake City 2002,Biathlon,10km men
9,AUT,ludwig gredler,00:26:04.300,Salt Lake City 2002,Biathlon,10km men
10,BLR,oleg ryzhenkov,00:26:05.500,Salt Lake City 2002,Biathlon,10km men
11,BLR,vadim sashurin,00:26:09.900,Salt Lake City 2002,Biathlon,10km men
12,NOR,halvard hanevold,00:26:12.500,Salt Lake City 2002,Biathlon,10km men
13,CZE,zdenek vitek,00:26:14.000,Salt Lake City 2002,Biathlon,10km men
14,GER,michael greis,00:26:18.400,Salt Lake City 2002,Biathlon,10km men
15,FIN,paavo puurunen,00:26:24.700,Salt Lake City 2002,Biathlon,10km men
16,SWE,bjorn ferry,00:26:30.500,Salt Lake City 2002,Biathlon,10km men
17,POL,wojciech kozub,00:26:31.900,Salt Lake City 2002,Biathlon,10km men
18,FIN,timo antila,00:26:33.400,Salt Lake City 2002,Biathlon,10km men
19,USA,jeremy teela,00:26:36.600,Salt Lake City 2002,Biathlon,10km men
20,FRA,vincent defrasne,00:26:36.700,Salt Lake City 2002,Biathlon,10km men
21,ITA,rene cattarinussi,00:26:37.300,Salt Lake City 2002,Biathlon,10km men
22,SLO,tomaz globocnik,00:26:40.000,Salt Lake City 2002,Biathlon,10km men
23,NOR,egil gjelland,00:26:42.500,Salt Lake City 2002,Biathlon,10km men
24,FIN,vesa hietalahti,00:26:43.200,Salt Lake City 2002,Biathlon,10km men
25,USA,jay hakkinen,00:26:43.500,Salt Lake City 2002,Biathlon,10km men
26,SLO,marko dolenc,00:26:47.000,Salt Lake City 2002,Biathlon,10km men
