,country,participant,result,olympic_game,discipline,event
0,,,,Salt Lake City 2002,Curling,curling men
1,,,,Salt Lake City 2002,Curling,curling men
2,,,,Salt Lake City 2002,Curling,curling men
3,,,,Salt Lake City 2002,Curling,curling men
4,,,,Salt Lake City 2002,Curling,curling men
5,,,,Salt Lake City 2002,Curling,curling men
6,,,,Salt Lake City 2002,Curling,curling men
7,,,,Salt Lake City 2002,Curling,curling men
8,,,,Salt Lake City 2002,Curling,curling men
9,,,,Salt Lake City 2002,Curling,curling men
0,,,,Salt Lake City 2002,Curling,curling women
1,,,,Salt Lake City 2002,Curling,curling women
2,,,,Salt Lake City 2002,Curling,curling women
3,,,,Salt Lake City 2002,Curling,curling women
4,,,,Salt Lake City 2002,Curling,curling women
5,,,,Salt Lake City 2002,Curling,curling women
6,,,,Salt Lake City 2002,Curling,curling women
7,,,,Salt Lake City 2002,Curling,curling women
8,,,,Salt Lake City 2002,Curling,curling women
9,,,,Salt Lake City 2002,Curling,curling women
