,country,participant,result,olympic_game,discipline,event
0,CZE,ales valenta,257.02,Salt Lake City 2002,Freestyle Skiing,Aerials men
1,USA,joe pack,251.64,Salt Lake City 2002,Freestyle Skiing,Aerials men
2,BLR,alexei grishin,251.19,Salt Lake City 2002,Freestyle Skiing,Aerials men
3,CAN,jeff bean,250.97,Salt Lake City 2002,Freestyle Skiing,Aerials men
4,UKR,stanislav kravchuk,246.30,Salt Lake City 2002,Freestyle Skiing,Aerials men
5,USA,brian currutt,245.19,Salt Lake City 2002,Freestyle Skiing,Aerials men
6,BLR,dzmitry dashchynski,244.29,Salt Lake City 2002,Freestyle Skiing,Aerials men
7,CAN,andy capicik,243.78,Salt Lake City 2002,Freestyle Skiing,Aerials men
8,USA,jeret peterson,238.05,Salt Lake City 2002,Freestyle Skiing,Aerials men
9,BLR,dmitri rak,226.34,Salt Lake City 2002,Freestyle Skiing,Aerials men
10,CAN,steve omischl,222.04,Salt Lake City 2002,Freestyle Skiing,Aerials men
11,USA,eric bergoust,218.49,Salt Lake City 2002,Freestyle Skiing,Aerials men
12,SUI,christian kaufmann,,Salt Lake City 2002,Freestyle Skiing,Aerials men
13,RUS,vladimir lebedev,,Salt Lake City 2002,Freestyle Skiing,Aerials men
14,RUS,dmitry arkhipov,,Salt Lake City 2002,Freestyle Skiing,Aerials men
15,CAN,nicolas fontaine,,Salt Lake City 2002,Freestyle Skiing,Aerials men
16,SLO,miha gale,,Salt Lake City 2002,Freestyle Skiing,Aerials men
17,CHN,sen qiu,,Salt Lake City 2002,Freestyle Skiing,Aerials men
18,CHN,xiaotao ou,,Salt Lake City 2002,Freestyle Skiing,Aerials men
19,JPN,taku nakanishi,,Salt Lake City 2002,Freestyle Skiing,Aerials men
20,SUI,martin walti,,Salt Lake City 2002,Freestyle Skiing,Aerials men
21,UKR,enver ablaev,,Salt Lake City 2002,Freestyle Skiing,Aerials men
22,RUS,aleksandr mikhaylov,,Salt Lake City 2002,Freestyle Skiing,Aerials men
23,CHN,xiaopeng han,,Salt Lake City 2002,Freestyle Skiing,Aerials men
24,ARG,clyde getty,,Salt Lake City 2002,Freestyle Skiing,Aerials men
0,AUS,alisa camplin,193.47,Salt Lake City 2002,Freestyle Skiing,Aerials women
1,CAN,veronica brenner,190.02,Salt Lake City 2002,Freestyle Skiing,Aerials women
2,CAN,deidra dionne,189.26,Salt Lake City 2002,Freestyle Skiing,Aerials women
3,RUS,olga koroleva,188.37,Salt Lake City 2002,Freestyle Skiing,Aerials women
4,CHN,nina li,185.23,Salt Lake City 2002,Freestyle Skiing,Aerials women
5,RUS,anna zukal,174.24,Salt Lake City 2002,Freestyle Skiing,Aerials women
6,RUS,natalia orekhova,170.54,Salt Lake City 2002,Freestyle Skiing,Aerials women
7,AUS,lydia lassila,169.38,Salt Lake City 2002,Freestyle Skiing,Aerials women
8,BLR,alla tsuper,164.92,Salt Lake City 2002,Freestyle Skiing,Aerials women
9,CAN,veronika bauer,153.88,Salt Lake City 2002,Freestyle Skiing,Aerials women
10,SUI,evelyne leu,147.31,Salt Lake City 2002,Freestyle Skiing,Aerials women
11,CHN,nannan xu,135.96,Salt Lake City 2002,Freestyle Skiing,Aerials women
12,BLR,assoli slivets,,Salt Lake City 2002,Freestyle Skiing,Aerials women
13,USA,tracy evans,,Salt Lake City 2002,Freestyle Skiing,Aerials women
14,UKR,tatiana kozachenko,,Salt Lake City 2002,Freestyle Skiing,Aerials women
15,NOR,hilde synnove lid,,Salt Lake City 2002,Freestyle Skiing,Aerials women
16,USA,brenda petzold,,Salt Lake City 2002,Freestyle Skiing,Aerials women
17,CHN,he wang,,Salt Lake City 2002,Freestyle Skiing,Aerials women
18,CHN,xinxin guo,,Salt Lake City 2002,Freestyle Skiing,Aerials women
19,SUI,manuela muller,,Salt Lake City 2002,Freestyle Skiing,Aerials women
20,SWE,liselotte johansson,,Salt Lake City 2002,Freestyle Skiing,Aerials women
0,FIN,janne lahtela,27.97,Salt Lake City 2002,Freestyle Skiing,Moguls men
1,USA,travis mayer,27.59,Salt Lake City 2002,Freestyle Skiing,Moguls men
2,FRA,richard gay,26.91,Salt Lake City 2002,Freestyle Skiing,Moguls men
3,USA,jonny moseley,26.78,Salt Lake City 2002,Freestyle Skiing,Moguls men
4,FIN,tapio luusua,26.67,Salt Lake City 2002,Freestyle Skiing,Moguls men
5,CAN,scott bellavance,26.55,Salt Lake City 2002,Freestyle Skiing,Moguls men
6,CAN,ryan johnson,26.55,Salt Lake City 2002,Freestyle Skiing,Moguls men
7,FIN,mikko ronkainen,26.49,Salt Lake City 2002,Freestyle Skiing,Moguls men
8,USA,jeremy bloom,26.19,Salt Lake City 2002,Freestyle Skiing,Moguls men
9,FIN,sami mustonen,26.08,Salt Lake City 2002,Freestyle Skiing,Moguls men
