,country,participant,result,olympic_game,discipline,event
0,SUI,philipp schoch,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
1,SWE,richard rikardsson,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
2,USA,chris klug,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
3,FRA,nicolas huet,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
4,SLO,dejan kosir,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
5,FRA,mathieu bozzetto,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
6,AUT,siegfried grabner,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
7,ITA,walter feichter,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
8,SUI,gilles jaquet,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
9,AUT,alexander maier,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
10,SWE,daniel biveson,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
11,CAN,jerome sylvestre,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
12,AUT,stefan kaltschuetz,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
13,AUT,dieter krassnig,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
14,SWE,stephen copp,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
15,GER,mathias behounek,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
16,CAN,mark fawcett,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
17,GER,markus ebner,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
18,ITA,roland fischnaller,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
19,USA,jeff greenwood,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
20,FRA,christophe segura,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
21,ITA,kurt niederstatter,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
22,FRA,charlie cosnier,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
23,CAN,ryan wedding,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
24,SUI,simon schoch,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
25,AUS,zeke steggall,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
26,USA,peter thorndike,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
27,SWE,jonas aspman,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
28,CAN,jasey jay anderson,,Salt Lake City 2002,Snowboard,Giant parallel slalom men
29,SUI,ueli kestenholz,Did not finish,Salt Lake City 2002,Snowboard,Giant parallel slalom men
30,SLO,tomaz knafelj,Did not finish,Salt Lake City 2002,Snowboard,Giant parallel slalom men
31,ITA,simone salvati,Disqualified,Salt Lake City 2002,Snowboard,Giant parallel slalom men
0,FRA,isabelle blanc,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
1,FRA,karine ruby,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
2,ITA,lidia trettel,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
3,POL,jagna marczulajtis-walczak,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
4,AUT,maria kirchgasser,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
5,FRA,julie pomagalski,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
6,ITA,isabella dal balcon,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
7,USA,lisa kosglow,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
8,ITA,dagmar mair unter der eggen,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
9,SWE,aasa windahl,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
10,GER,katharina himmler,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
11,ITA,marion posch,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
12,SUI,steffi von siebenthal,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
13,SVK,jana sedova,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
14,RUS,maria tikhvinskaya,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
15,JPN,ran iida,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
16,USA,sondra van ert,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
17,SWE,sara fischer,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
18,SUI,nadia livers,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
19,SUI,daniela meuli,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
20,GER,heidi maria renoth,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
21,JPN,tomoka takeuchi,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
22,AUT,manuela riegler,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
23,NED,nicolien sauerbreij,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
24,FRA,florine valdenaire,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
25,USA,rosey fletcher,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
26,USA,lisa odynski,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
27,AUT,claudia riegler,,Salt Lake City 2002,Snowboard,Giant parallel slalom women
28,AUT,doris guenther,Did not finish,Salt Lake City 2002,Snowboard,Giant parallel slalom women
29,SUI,milena meisser,Did not finish,Salt Lake City 2002,Snowboard,Giant parallel slalom women
0,USA,ross powers,46.1,Salt Lake City 2002,Snowboard,Half-pipe men
1,USA,daniel kass,42.5,Salt Lake City 2002,Snowboard,Half-pipe men
2,USA,jarret thomas,42.1,Salt Lake City 2002,Snowboard,Half-pipe men
