,country,participant,result,olympic_game,discipline,event
0,POL,wojciech fortuna,219.9,Sapporo 1972,Ski Jumping,Large Hill Individual men
1,SUI,walter steiner,219.8,Sapporo 1972,Ski Jumping,Large Hill Individual men
2,GDR,rainer schmidt,219.3,Sapporo 1972,Ski Jumping,Large Hill Individual men
3,FIN,tauno käyhkö,219.2,Sapporo 1972,Ski Jumping,Large Hill Individual men
4,GDR,manfred wolf,215.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
5,URS,igor napalkov,210.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
6,JPN,yukio kasaya,209.4,Sapporo 1972,Ski Jumping,Large Hill Individual men
7,YUG,danilo pudgar,206.0,Sapporo 1972,Ski Jumping,Large Hill Individual men
8,FIN,esko rautionaho,205.8,Sapporo 1972,Ski Jumping,Large Hill Individual men
9,TCH,jiri raska,204.7,Sapporo 1972,Ski Jumping,Large Hill Individual men
10,SWE,rolf nordgren,203.5,Sapporo 1972,Ski Jumping,Large Hill Individual men
11,JPN,akitsugu konno,199.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
12,FIN,kari ylianttila,197.4,Sapporo 1972,Ski Jumping,Large Hill Individual men
13,JPN,takashi fujisawa,197.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
14,TCH,zbynek hubac,194.7,Sapporo 1972,Ski Jumping,Large Hill Individual men
15,NOR,"frithjof prydz, jr.",194.7,Sapporo 1972,Ski Jumping,Large Hill Individual men
16,CAN,zdenek mezl,194.3,Sapporo 1972,Ski Jumping,Large Hill Individual men
17,POL,tadeusz pawlusiak,183.3,Sapporo 1972,Ski Jumping,Large Hill Individual men
18,JPN,hiroshi itagaki,183.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
19,GDR,henry glass,183.0,Sapporo 1972,Ski Jumping,Large Hill Individual men
20,URS,sergey yanin,181.4,Sapporo 1972,Ski Jumping,Large Hill Individual men
21,SUI,joseph zehnder,181.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
22,YUG,drago pudgar,179.7,Sapporo 1972,Ski Jumping,Large Hill Individual men
23,AUT,reinhold bachler,179.2,Sapporo 1972,Ski Jumping,Large Hill Individual men
24,USA,ron steele,177.7,Sapporo 1972,Ski Jumping,Large Hill Individual men
25,TCH,leos skoda,176.3,Sapporo 1972,Ski Jumping,Large Hill Individual men
26,FRG,günter göllner,175.3,Sapporo 1972,Ski Jumping,Large Hill Individual men
27,NOR,ingolf mork,173.3,Sapporo 1972,Ski Jumping,Large Hill Individual men
28,POL,adam krysztofiak,173.1,Sapporo 1972,Ski Jumping,Large Hill Individual men
