,country,participant,result,olympic_game,discipline,event
0,,,103,Sarajevo 1984,Ice Hockey,ice hockey men
1,,,84,Sarajevo 1984,Ice Hockey,ice hockey men
2,,,77,Sarajevo 1984,Ice Hockey,ice hockey men
3,,,48,Sarajevo 1984,Ice Hockey,ice hockey men
4,,,60,Sarajevo 1984,Ice Hockey,ice hockey men
5,,,70,Sarajevo 1984,Ice Hockey,ice hockey men
6,,,47,Sarajevo 1984,Ice Hockey,ice hockey men
7,,,39,Sarajevo 1984,Ice Hockey,ice hockey men
8,,,26,Sarajevo 1984,Ice Hockey,ice hockey men
9,,,33,Sarajevo 1984,Ice Hockey,ice hockey men
10,,,26,Sarajevo 1984,Ice Hockey,ice hockey men
11,,,15,Sarajevo 1984,Ice Hockey,ice hockey men
