,country,participant,result,olympic_game,discipline,event
0,USA,jay barrs,338,Seoul 1988,Archery,individual FITA round men
1,KOR,sung-soo park,336,Seoul 1988,Archery,individual FITA round men
2,URS,vladimir esheev,335,Seoul 1988,Archery,individual FITA round men
3,KOR,in-su jeon,331,Seoul 1988,Archery,individual FITA round men
4,NED,tiny reniers,327,Seoul 1988,Archery,individual FITA round men
5,USA,richard lee mckinney,324,Seoul 1988,Archery,individual FITA round men
6,FIN,pentti vikstrom,323,Seoul 1988,Archery,individual FITA round men
7,JPN,hiroshi yamamoto,321,Seoul 1988,Archery,individual FITA round men
8,USA,darrell owen pace,,Seoul 1988,Archery,individual FITA round men
9,KOR,han-sup lee,,Seoul 1988,Archery,individual FITA round men
10,FIN,tomi poikolainen,,Seoul 1988,Archery,individual FITA round men
11,FRG,detlef kahlert,,Seoul 1988,Archery,individual FITA round men
12,ITA,ilario di buo,,Seoul 1988,Archery,individual FITA round men
13,JPN,takayoshi matsushita,,Seoul 1988,Archery,individual FITA round men
14,SWE,goran bjerendal,,Seoul 1988,Archery,individual FITA round men
15,AUS,simon fairweather,,Seoul 1988,Archery,individual FITA round men
16,BEL,paul vermeiren,,Seoul 1988,Archery,individual FITA round men
17,GBR,leroy watson,,Seoul 1988,Archery,individual FITA round men
18,FRA,olivier heck,,Seoul 1988,Archery,individual FITA round men
19,URS,konstantin shkolny,,Seoul 1988,Archery,individual FITA round men
20,GBR,steven hallard,,Seoul 1988,Archery,individual FITA round men
21,TUR,vedat erbay,,Seoul 1988,Archery,individual FITA round men
22,DEN,henrik kromann toft,,Seoul 1988,Archery,individual FITA round men
23,CAN,john mcdonald,,Seoul 1988,Archery,individual FITA round men
24,DEN,jan jacobsen,,Seoul 1988,Archery,individual FITA round men
25,MEX,jose anchondo,,Seoul 1988,Archery,individual FITA round men
26,FIN,ismo kalevi falck,,Seoul 1988,Archery,individual FITA round men
27,ITA,andrea parenti,,Seoul 1988,Archery,individual FITA round men
28,URS,yury leontyev,,Seoul 1988,Archery,individual FITA round men
29,SWE,mats nordlander,,Seoul 1988,Archery,individual FITA round men
30,TPE,pei-wen hu,,Seoul 1988,Archery,individual FITA round men
31,ESP,antonio vazquez,,Seoul 1988,Archery,individual FITA round men
32,ITA,giancarlo ferrari,,Seoul 1988,Archery,individual FITA round men
33,TUR,kerem ersu,,Seoul 1988,Archery,individual FITA round men
34,SWE,gert bjerendal,,Seoul 1988,Archery,individual FITA round men
35,IND,sanjeev singh,,Seoul 1988,Archery,individual FITA round men
36,FRA,thierry venant,,Seoul 1988,Archery,individual FITA round men
37,MEX,omar bustani barrientos,,Seoul 1988,Archery,individual FITA round men
38,IND,limba ram,,Seoul 1988,Archery,individual FITA round men
39,JPN,terushi furuhashi,,Seoul 1988,Archery,individual FITA round men
40,AUS,christopher blake,,Seoul 1988,Archery,individual FITA round men
41,TPE,man-sung yen,,Seoul 1988,Archery,individual FITA round men
42,BRA,renato dutra e mello,,Seoul 1988,Archery,individual FITA round men
43,BEL,patrick de koning,,Seoul 1988,Archery,individual FITA round men
44,TPE,ping-kun chiu,,Seoul 1988,Archery,individual FITA round men
45,CHN,qiuyun duoji,,Seoul 1988,Archery,individual FITA round men
46,CHN,qiu-zhong liang,,Seoul 1988,Archery,individual FITA round men
47,INA,syafrudin mawi,,Seoul 1988,Archery,individual FITA round men
48,MEX,adolfo gonzalez,,Seoul 1988,Archery,individual FITA round men
49,ESP,manuel bermudez jimenez,,Seoul 1988,Archery,individual FITA round men
50,CAN,daniel desnoyers,,Seoul 1988,Archery,individual FITA round men
51,ESP,juan carlos holgado romero,,Seoul 1988,Archery,individual FITA round men
52,BEL,francis notenboom,,Seoul 1988,Archery,individual FITA round men
53,FRG,manfred barth,,Seoul 1988,Archery,individual FITA round men
54,CHN,guang ru,,Seoul 1988,Archery,individual FITA round men
55,DEN,ole gammelgaard nielsen,,Seoul 1988,Archery,individual FITA round men
56,GBR,richard priestman,,Seoul 1988,Archery,individual FITA round men
57,CAN,denis canuel,,Seoul 1988,Archery,individual FITA round men
58,FRG,bernhard schulkowski,,Seoul 1988,Archery,individual FITA round men
59,ZIM,paul bamber,,Seoul 1988,Archery,individual FITA round men
60,TUR,izzet avci,,Seoul 1988,Archery,individual FITA round men
61,BRA,jorge azevedo,,Seoul 1988,Archery,individual FITA round men
62,AUS,rodney wagner,,Seoul 1988,Archery,individual FITA round men
63,FRA,claude franclet,,Seoul 1988,Archery,individual FITA round men
