,country,participant,result,olympic_game,discipline,event
0,MAR,moulay brahim boutayeb,00:27:21.460,Seoul 1988,Athletics,10000m men
1,ITA,salvatore antibo,00:27:23.550,Seoul 1988,Athletics,10000m men
2,KEN,kipkemboi kimeli,00:27:25.160,Seoul 1988,Athletics,10000m men
3,FRA,jean-louis prianon,00:27:36.430,Seoul 1988,Athletics,10000m men
4,MEX,arturo barrios flores,00:27:39.320,Seoul 1988,Athletics,10000m men
5,GDR,hansjörg kunze,00:27:39.350,Seoul 1988,Athletics,10000m men
6,FRA,paul arpin,00:27:39.360,Seoul 1988,Athletics,10000m men
7,KEN,moses kiptarbet tanui,00:27:47.230,Seoul 1988,Athletics,10000m men
8,NED,martin ten kate,00:27:50.300,Seoul 1988,Athletics,10000m men
9,ESP,antonio prieto velasco,00:27:52.780,Seoul 1988,Athletics,10000m men
10,MEX,mauricio gonzalez,00:27:59.900,Seoul 1988,Athletics,10000m men
11,BUL,evgeni ignatov ignatov,00:28:09.320,Seoul 1988,Athletics,10000m men
12,POR,antonio pinto,00:28:09.530,Seoul 1988,Athletics,10000m men
13,JPN,kozo akutsu,00:28:09.700,Seoul 1988,Athletics,10000m men
14,ECU,rolando vera,00:28:17.640,Seoul 1988,Athletics,10000m men
15,NOR,john halvorsen,00:28:29.210,Seoul 1988,Athletics,10000m men
16,JPN,shuichi yoneshige,00:29:04.440,Seoul 1988,Athletics,10000m men
17,USA,bruce emery bickford,00:29:09.740,Seoul 1988,Athletics,10000m men
18,GBR,eamonn thomas martin,Did not finish,Seoul 1988,Athletics,10000m men
19,KEN,boniface merande,Did not finish,Seoul 1988,Athletics,10000m men
20,AUS,andrew lloyd,,Seoul 1988,Athletics,10000m men
21,CAN,paul gregory williams,,Seoul 1988,Athletics,10000m men
22,ESP,jose manuel albentosa ferrer,,Seoul 1988,Athletics,10000m men
23,GBR,michael mcleod,,Seoul 1988,Athletics,10000m men
24,POR,dionisio castro,,Seoul 1988,Athletics,10000m men
25,COD,kamana koji,,Seoul 1988,Athletics,10000m men
26,JPN,tsukasa endo,,Seoul 1988,Athletics,10000m men
27,TCH,martin vrabel,,Seoul 1988,Athletics,10000m men
28,USA,steven michael plasencia,,Seoul 1988,Athletics,10000m men
0,URS,olga bondarenko,00:31:05.210,Seoul 1988,Athletics,10000m women
1,GBR,liz mccolgan,00:31:08.440,Seoul 1988,Athletics,10000m women
2,URS,yelena zhupiyeva-vyazova,00:31:19.820,Seoul 1988,Athletics,10000m women
3,GDR,kathrin ullrich-wessel,00:31:29.270,Seoul 1988,Athletics,10000m women
4,USA,francie larrieu-smith,00:31:35.520,Seoul 1988,Athletics,10000m women
5,USA,lynn a. jennings,00:31:39.930,Seoul 1988,Athletics,10000m women
6,CHN,xiuting wang,00:31:40.230,Seoul 1988,Athletics,10000m women
7,CAN,susan french-lee,00:31:50.510,Seoul 1988,Athletics,10000m women
8,POR,maria albertina machado,00:32:02.130,Seoul 1988,Athletics,10000m women
9,POR,albertina dias,00:32:07.130,Seoul 1988,Athletics,10000m women
10,NZL,anne audain,00:32:10.470,Seoul 1988,Athletics,10000m women
11,URS,lyudmila matveeva,00:32:12.270,Seoul 1988,Athletics,10000m women
12,CAN,nancy tinary,00:32:14.050,Seoul 1988,Athletics,10000m women
13,ITA,rosanna munerotto,00:32:29.840,Seoul 1988,Athletics,10000m women
14,USA,lynn marie nelson,00:32:32.240,Seoul 1988,Athletics,10000m women
15,CAN,carole rouillard,00:32:41.430,Seoul 1988,Athletics,10000m women
16,AUS,carolyn jeni schuwalow,00:32:45.070,Seoul 1988,Athletics,10000m women
17,CHN,qing-huan wang,00:32:49.860,Seoul 1988,Athletics,10000m women
18,FRA,annette sergent-palluy,00:33:17.380,Seoul 1988,Athletics,10000m women
19,NOR,ingrid kristiansen-christensen,Did not finish,Seoul 1988,Athletics,10000m women
20,HUN,erika fazekas,,Seoul 1988,Athletics,10000m women
21,FIN,paivi tikkanen,Did not start,Seoul 1988,Athletics,10000m women
22,FIN,tuija toivonen,Did not start,Seoul 1988,Athletics,10000m women
23,FRG,kerstin pressler,Did not start,Seoul 1988,Athletics,10000m women
24,LUX,daniele kaber,Did not start,Seoul 1988,Athletics,10000m women
25,MRI,maryse justin,Did not start,Seoul 1988,Athletics,10000m women
26,MYA,mar mar min,Did not start,Seoul 1988,Athletics,10000m women
27,POL,wanda panfil,Did not start,Seoul 1988,Athletics,10000m women
28,TCH,ludmila melicherova,Did not start,Seoul 1988,Athletics,10000m women
0,BUL,yordanka donkova,12.380,Seoul 1988,Athletics,100m hurdles women
1,GDR,gloria siebert,12.610,Seoul 1988,Athletics,100m hurdles women
