,country,participant,result,olympic_game,discipline,event
0,FRG,arnd rüdiger schmitt,,Seoul 1988,Fencing,épée individual men
1,FRA,philippe riboud,,Seoul 1988,Fencing,épée individual men
2,URS,andrey shuvalov,10,Seoul 1988,Fencing,épée individual men
3,ITA,sandro cuomo,,Seoul 1988,Fencing,épée individual men
4,GDR,torsten kühnemund,,Seoul 1988,Fencing,épée individual men
5,SWE,jerri bergström,,Seoul 1988,Fencing,épée individual men
6,NZL,martin brill,3,Seoul 1988,Fencing,épée individual men
7,URS,wladimir reznitschenko,,Seoul 1988,Fencing,épée individual men
8,FRG,alexander pusch,,Seoul 1988,Fencing,épée individual men
9,HUN,ernö kolszonay,,Seoul 1988,Fencing,épée individual men
10,AUT,arno strohmeyer,,Seoul 1988,Fencing,épée individual men
11,COL,mauricio rivas nieto,,Seoul 1988,Fencing,épée individual men
12,SUI,patrice gaille,,Seoul 1988,Fencing,épée individual men
13,ITA,stefano pantano,,Seoul 1988,Fencing,épée individual men
14,SUI,michel poffet,,Seoul 1988,Fencing,épée individual men
15,NED,stephane ganeff,,Seoul 1988,Fencing,épée individual men
16,FRA,eric srecki,,Seoul 1988,Fencing,épée individual men
17,FRA,jean-michel henry,,Seoul 1988,Fencing,épée individual men
18,KOR,sang-ki lee,,Seoul 1988,Fencing,épée individual men
19,HUN,zoltan szekely,,Seoul 1988,Fencing,épée individual men
20,POL,witold gadomski,,Seoul 1988,Fencing,épée individual men
21,BEL,stefan joos,,Seoul 1988,Fencing,épée individual men
22,FRG,thomas gerull,,Seoul 1988,Fencing,épée individual men
23,AUT,johannes nagele,,Seoul 1988,Fencing,épée individual men
24,ITA,angelo mazzoni,,Seoul 1988,Fencing,épée individual men
25,URS,mikhail tishko,,Seoul 1988,Fencing,épée individual men
26,NED,arwin kardolus,,Seoul 1988,Fencing,épée individual men
27,KOR,nam-jin yoon,,Seoul 1988,Fencing,épée individual men
28,SWE,peter vanky,,Seoul 1988,Fencing,épée individual men
29,BRA,antonio machado,,Seoul 1988,Fencing,épée individual men
30,CAN,michel dessureault,,Seoul 1988,Fencing,épée individual men
31,CHN,zhen-cheng du,,Seoul 1988,Fencing,épée individual men
32,POL,ludomir chronowski,,Seoul 1988,Fencing,épée individual men
33,GDR,uwe gerhard proske,,Seoul 1988,Fencing,épée individual men
34,BRA,douglas fonseca,,Seoul 1988,Fencing,épée individual men
35,HUN,szabolcs pasztor,,Seoul 1988,Fencing,épée individual men
36,CHN,zhi ma,,Seoul 1988,Fencing,épée individual men
37,COL,juan miguel paz dupriez,,Seoul 1988,Fencing,épée individual men
38,USA,stephen spaulding trevor,,Seoul 1988,Fencing,épée individual men
39,GBR,john patrick llewellyn,,Seoul 1988,Fencing,épée individual men
40,ARG,rafael matias di tella ruvira,,Seoul 1988,Fencing,épée individual men
41,BRA,roberto lazzarini,,Seoul 1988,Fencing,épée individual men
42,POL,cezary siess,,Seoul 1988,Fencing,épée individual men
43,KUW,mohammad al-hamar,,Seoul 1988,Fencing,épée individual men
44,COL,joaquin pinto,,Seoul 1988,Fencing,épée individual men
45,SUI,andre kuhn,,Seoul 1988,Fencing,épée individual men
46,USA,robert ernest stull,,Seoul 1988,Fencing,épée individual men
47,AUT,axel birnbaum,,Seoul 1988,Fencing,épée individual men
48,GBR,hugh kernohan,,Seoul 1988,Fencing,épée individual men
49,KOR,il-he lee,,Seoul 1988,Fencing,épée individual men
50,ESP,angel fernandez garcia,,Seoul 1988,Fencing,épée individual men
51,BEL,thierry soumagne,,Seoul 1988,Fencing,épée individual men
52,KUW,younes al-mashmoum,,Seoul 1988,Fencing,épée individual men
