,country,participant,result,olympic_game,discipline,event
0,,,14,Seoul 1988,Football,football men
1,,,12,Seoul 1988,Football,football men
2,,,16,Seoul 1988,Football,football men
3,,,11,Seoul 1988,Football,football men
4,,,7,Seoul 1988,Football,football men
5,,,10,Seoul 1988,Football,football men
6,,,2,Seoul 1988,Football,football men
7,,,4,Seoul 1988,Football,football men
8,,,3,Seoul 1988,Football,football men
9,,,5,Seoul 1988,Football,football men
10,,,1,Seoul 1988,Football,football men
11,,,4,Seoul 1988,Football,football men
12,,,0,Seoul 1988,Football,football men
13,,,2,Seoul 1988,Football,football men
14,,,3,Seoul 1988,Football,football men
15,,,1,Seoul 1988,Football,football men
