,country,participant,result,olympic_game,discipline,event
0,,,12,Seoul 1988,Handball,handball men
1,,,8,Seoul 1988,Handball,handball men
2,,,9,Seoul 1988,Handball,handball men
3,,,6,Seoul 1988,Handball,handball men
4,,,8,Seoul 1988,Handball,handball men
5,,,6,Seoul 1988,Handball,handball men
6,,,8,Seoul 1988,Handball,handball men
7,,,5,Seoul 1988,Handball,handball men
8,,,6,Seoul 1988,Handball,handball men
9,,,2,Seoul 1988,Handball,handball men
10,,,2,Seoul 1988,Handball,handball men
11,,,0,Seoul 1988,Handball,handball men
0,,,8,Seoul 1988,Handball,handball women
1,,,7,Seoul 1988,Handball,handball women
2,,,7,Seoul 1988,Handball,handball women
3,,,4,Seoul 1988,Handball,handball women
4,,,8,Seoul 1988,Handball,handball women
5,,,4,Seoul 1988,Handball,handball women
6,,,2,Seoul 1988,Handball,handball women
7,,,0,Seoul 1988,Handball,handball women
