,country,participant,result,olympic_game,discipline,event
0,HUN,janos martinek,"5,404",Seoul 1988,Modern Pentathlon,Individual competition men
1,ITA,carlo massullo,"5,379",Seoul 1988,Modern Pentathlon,Individual competition men
2,URS,vakhtang iagorashvili,"5,367",Seoul 1988,Modern Pentathlon,Individual competition men
3,HUN,attila mizser,"5,281",Seoul 1988,Modern Pentathlon,Individual competition men
4,FRA,christophe ruer,"5,242",Seoul 1988,Modern Pentathlon,Individual competition men
5,GBR,richard lawson phelps,"5,229",Seoul 1988,Modern Pentathlon,Individual competition men
6,HUN,laszlo fabian,"5,201",Seoul 1988,Modern Pentathlon,Individual competition men
7,FRA,joel bouzou,"5,198",Seoul 1988,Modern Pentathlon,Individual competition men
8,SUI,peter steinmann,"5,181",Seoul 1988,Modern Pentathlon,Individual competition men
9,ITA,daniele masala,"5,152",Seoul 1988,Modern Pentathlon,Individual competition men
10,TCH,milan kadlec,"5,130",Seoul 1988,Modern Pentathlon,Individual competition men
11,KOR,myung kun kim,"5,099",Seoul 1988,Modern Pentathlon,Individual competition men
12,KOR,gyeong-hyo gang,"5,074",Seoul 1988,Modern Pentathlon,Individual competition men
13,MEX,ivar sisniega,"5,065",Seoul 1988,Modern Pentathlon,Individual competition men
14,POL,maciej czyzowicz,"5,048",Seoul 1988,Modern Pentathlon,Individual competition men
15,GBR,dominic j.m. mahony,"5,047",Seoul 1988,Modern Pentathlon,Individual competition men
16,ITA,gianluca tiberti,"5,040",Seoul 1988,Modern Pentathlon,Individual competition men
17,USA,robert lee nieman,"5,034",Seoul 1988,Modern Pentathlon,Individual competition men
18,TCH,thomas fleissner,"5,010",Seoul 1988,Modern Pentathlon,Individual competition men
19,URS,german yuferov,"5,007",Seoul 1988,Modern Pentathlon,Individual competition men
20,GBR,graham raymond brookhouse,"5,000",Seoul 1988,Modern Pentathlon,Individual competition men
21,SWE,svante rasmuson,"4,987",Seoul 1988,Modern Pentathlon,Individual competition men
22,POL,arkadiusz skrzypaszek,"4,982",Seoul 1988,Modern Pentathlon,Individual competition men
23,FRG,marcus marsollek,"4,964",Seoul 1988,Modern Pentathlon,Individual competition men
24,SWE,jan-erik danielsson,"4,956",Seoul 1988,Modern Pentathlon,Individual competition men
25,SUI,andy jung,"4,951",Seoul 1988,Modern Pentathlon,Individual competition men
26,DEN,tue hellstern,"4,940",Seoul 1988,Modern Pentathlon,Individual competition men
27,MEX,alejandro r. yrizar barranco,"4,920",Seoul 1988,Modern Pentathlon,Individual competition men
28,TCH,jiri prokopius,"4,903",Seoul 1988,Modern Pentathlon,Individual competition men
29,JPN,hiroshi saito,"4,881",Seoul 1988,Modern Pentathlon,Individual competition men
