,country,participant,result,olympic_game,discipline,event
0,URS,sergey beloglazov,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
1,IRI,asgari mohammadian,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
2,KOR,gyeong-seon no,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
3,TUR,ahmet ak,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
4,BUL,valentin ivanov,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
5,HUN,bela nagy,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
6,MGL,battuul khaltmaagiin,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
7,JPN,ryo kanehama,,Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
8,CAN,lawrence holmes,"7,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
9,FRG,jürgen scheibe,"5,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
10,AUT,josef georg auer,"4,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
11,USA,barry alan davis,"4,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
12,IND,vinod kumar,"3,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
13,PAK,muhammad azeem,"4,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
14,TCH,josef schwendtner,"2,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
15,GBR,david ogden,"1,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
16,POL,dariusz grzywinski,"1,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
17,NZL,brent hollamby,"8,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
18,YUG,zoran sorov,"5,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
19,MEX,jorge olvera,"4,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
20,TUN,mourad zelfani,"3,5",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
21,CHN,yong-liang chen,"3,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
22,MLT,jesmond giord maina,"1,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
23,PAN,ramon mena,"1,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
24,KEN,waruingi kimani,"0,0",Seoul 1988,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
0,HUN,andras sike,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
1,BUL,stoyan balov,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
2,GRE,babis kholidis,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
3,CHN,changling yang,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
4,KOR,byeong-ho heo,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
5,IRQ,ghazi f. salah,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
6,URS,aleksander shestakov,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
7,FRG,rifat yildiz,,Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
8,FIN,keijo tapio pehkonen,"8,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
9,USA,anthony stanley amado,"7,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
10,NOR,ronny sigde,"5,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
11,MAR,kacem bouallouche,"4,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
12,SWE,benni ljungbeck,"3,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
13,YUG,zoran galovic,"1,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
14,IRI,ahad pazaj,"0,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
15,JPN,shunji nakadome,"4,5",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
16,FRA,patrice mourier,"7,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
17,TUN,rehdi chaambi,"3,5",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
18,POL,ryszard wolny,"1,5",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
19,MEX,adrian ponce,"1,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
20,PAN,ramon mena,"1,0",Seoul 1988,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
0,USA,john smith,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
1,URS,stepan sarkisyan,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
2,BUL,simeon chterev,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
3,IRI,akbar fallah,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
4,FRG,jörg helmdach,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
5,MGL,enkhee avirmediin,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
6,ITA,giovanni schillaci,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
7,CAN,gary bohay,,Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
8,FIN,mika lehto,"10,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
9,JPN,kazuhito sakae,"9,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
10,POL,marian skubacz,"5,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
11,SWE,theodore dikanda,"4,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
12,AUS,daniel cumming,"3,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
13,ESP,vicente caceres suarez,"2,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
14,HUN,jozsef orban,"2,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
15,PAN,arturo oporta,"1,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
16,TPE,chien-lung huang,"0,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
17,GDR,karsten polky,"11,5",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
18,SUI,ludwig kung,"9,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
19,TUR,selman kaygusuz,"8,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
20,CHN,xian-ji li,"2,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
21,KOR,yeon-man kim,"2,0",Seoul 1988,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
