,country,participant,result,olympic_game,discipline,event
0,,,41,Sochi 2014,Ice Hockey,ice hockey men
1,,,49 / 1 player susp. from final for dop.,Sochi 2014,Ice Hockey,ice hockey men
2,,,64,Sochi 2014,Ice Hockey,ice hockey men
3,,,55,Sochi 2014,Ice Hockey,ice hockey men
4,,,32,Sochi 2014,Ice Hockey,ice hockey men
5,,,30,Sochi 2014,Ice Hockey,ice hockey men
6,,,26,Sochi 2014,Ice Hockey,ice hockey men
7,,,25 / Member(s) DSQ for doping,Sochi 2014,Ice Hockey,ice hockey men
8,,,7,Sochi 2014,Ice Hockey,ice hockey men
9,,,18,Sochi 2014,Ice Hockey,ice hockey men
10,,,14,Sochi 2014,Ice Hockey,ice hockey men
11,,,7,Sochi 2014,Ice Hockey,ice hockey men
0,,,36,Sochi 2014,Ice Hockey,ice hockey women
1,,,58,Sochi 2014,Ice Hockey,ice hockey women
2,,,22,Sochi 2014,Ice Hockey,ice hockey women
3,,,38,Sochi 2014,Ice Hockey,ice hockey women
4,,,36,Sochi 2014,Ice Hockey,ice hockey women
5,,,24,Sochi 2014,Ice Hockey,ice hockey women
6,,,14,Sochi 2014,Ice Hockey,ice hockey women
7,,,Disqualified,Sochi 2014,Ice Hockey,ice hockey women
