,country,participant,result,olympic_game,discipline,event
0,RUS,victor an,,Sochi 2014,Short Track Speed Skating,1000m men
1,RUS,vladimir grigorev,,Sochi 2014,Short Track Speed Skating,1000m men
2,NED,sjinkie knegt,,Sochi 2014,Short Track Speed Skating,1000m men
3,CHN,dajing wu,,Sochi 2014,Short Track Speed Skating,1000m men
4,CHN,tianyu han,00:01:29.334,Sochi 2014,Short Track Speed Skating,1000m men
5,RUS,semyon yelistratov,00:01:29.429,Sochi 2014,Short Track Speed Skating,1000m men
6,KOR,da woon sin,,Sochi 2014,Short Track Speed Skating,1000m men
7,KOR,han-bin lee,,Sochi 2014,Short Track Speed Skating,1000m men
8,CAN,olivier jean,,Sochi 2014,Short Track Speed Skating,1000m men
9,USA,chris creveling,,Sochi 2014,Short Track Speed Skating,1000m men
10,USA,eddy alvarez,,Sochi 2014,Short Track Speed Skating,1000m men
11,FRA,sebastien lepape,,Sochi 2014,Short Track Speed Skating,1000m men
12,USA,j r celski,,Sochi 2014,Short Track Speed Skating,1000m men
13,CAN,charles hamelin,,Sochi 2014,Short Track Speed Skating,1000m men
14,ITA,yuri confortola,,Sochi 2014,Short Track Speed Skating,1000m men
15,HUN,shaolin sandor liu,,Sochi 2014,Short Track Speed Skating,1000m men
16,CAN,charle cournoyer,,Sochi 2014,Short Track Speed Skating,1000m men
17,HUN,viktor knoch,,Sochi 2014,Short Track Speed Skating,1000m men
18,NED,niels kerstholt,,Sochi 2014,Short Track Speed Skating,1000m men
19,JPN,yuzo takamido,,Sochi 2014,Short Track Speed Skating,1000m men
20,GBR,jack whelbourne,,Sochi 2014,Short Track Speed Skating,1000m men
21,JPN,ryosuke sakazume,,Sochi 2014,Short Track Speed Skating,1000m men
22,TPE,mackenzie blackburn,,Sochi 2014,Short Track Speed Skating,1000m men
23,ISR,vladislav bykanov,,Sochi 2014,Short Track Speed Skating,1000m men
24,GBR,jon eley,,Sochi 2014,Short Track Speed Skating,1000m men
25,HUN,bence beres,,Sochi 2014,Short Track Speed Skating,1000m men
