,country,participant,result,olympic_game,discipline,event
0,URS,mariya gusakova,00:39:46.600,Squaw Valley 1960,Cross Country Skiing,10km women
1,URS,lyubov baranova,00:40:04.200,Squaw Valley 1960,Cross Country Skiing,10km women
2,URS,radya yeroshina,00:40:06.000,Squaw Valley 1960,Cross Country Skiing,10km women
3,URS,alevtina kolchina,00:40:12.600,Squaw Valley 1960,Cross Country Skiing,10km women
4,SWE,sonja edström,00:40:35.500,Squaw Valley 1960,Cross Country Skiing,10km women
5,FIN,toini k. pöysti,00:40:41.900,Squaw Valley 1960,Cross Country Skiing,10km women
6,SWE,barbro martinsson,00:41:06.200,Squaw Valley 1960,Cross Country Skiing,10km women
7,SWE,irma johansson,00:41:08.300,Squaw Valley 1960,Cross Country Skiing,10km women
8,BUL,krastana stoeva,00:41:44.000,Squaw Valley 1960,Cross Country Skiing,10km women
9,SWE,britt strandberg,00:42:06.800,Squaw Valley 1960,Cross Country Skiing,10km women
10,FIN,eeva ruoppa,00:42:12.800,Squaw Valley 1960,Cross Country Skiing,10km women
11,GER,rita blasel,00:42:29.000,Squaw Valley 1960,Cross Country Skiing,10km women
12,POL,stefania biegun,00:42:45.200,Squaw Valley 1960,Cross Country Skiing,10km women
13,POL,jozefa czerniawska,00:42:45.500,Squaw Valley 1960,Cross Country Skiing,10km women
14,FIN,siiri rantanen,00:42:52.700,Squaw Valley 1960,Cross Country Skiing,10km women
15,GER,renate borges,00:43:46.100,Squaw Valley 1960,Cross Country Skiing,10km women
16,FIN,eva a. höög,00:44:05.000,Squaw Valley 1960,Cross Country Skiing,10km women
17,GER,sonnhilde hausschild,00:44:14.600,Squaw Valley 1960,Cross Country Skiing,10km women
18,BUL,nadezhda vasileva,00:44:32.800,Squaw Valley 1960,Cross Country Skiing,10km women
19,POL,anna krzeptowska,00:44:36.100,Squaw Valley 1960,Cross Country Skiing,10km women
20,POL,helena gasienica-daniel,00:45:08.200,Squaw Valley 1960,Cross Country Skiing,10km women
21,BUL,roza dimova,00:45:45.800,Squaw Valley 1960,Cross Country Skiing,10km women
22,HUN,magdolna bartha,00:47:23.200,Squaw Valley 1960,Cross Country Skiing,10km women
23,GER,christa göhler,Did not finish,Squaw Valley 1960,Cross Country Skiing,10km women
0,NOR,håkon brusveen,00:51:55.500,Squaw Valley 1960,Cross Country Skiing,15km men
1,SWE,sixten jernberg,00:51:58.600,Squaw Valley 1960,Cross Country Skiing,15km men
2,FIN,veikko hakulinen,00:52:03.000,Squaw Valley 1960,Cross Country Skiing,15km men
3,NOR,einar östby,00:52:18.000,Squaw Valley 1960,Cross Country Skiing,15km men
4,URS,gennadi vaganov,00:52:18.000,Squaw Valley 1960,Cross Country Skiing,15km men
5,FIN,eero mäntyranta,00:52:40.600,Squaw Valley 1960,Cross Country Skiing,15km men
6,SWE,janne stefansson,00:52:41.000,Squaw Valley 1960,Cross Country Skiing,15km men
7,SWE,rolf rämgard,00:52:47.300,Squaw Valley 1960,Cross Country Skiing,15km men
8,ITA,marcello de dorigo,00:52:53.500,Squaw Valley 1960,Cross Country Skiing,15km men
9,URS,nikolay anikin,00:52:55.000,Squaw Valley 1960,Cross Country Skiing,15km men
10,NOR,harald grönningen,00:53:02.200,Squaw Valley 1960,Cross Country Skiing,15km men
11,NOR,hallgeir brenden,00:53:10.300,Squaw Valley 1960,Cross Country Skiing,15km men
12,FIN,väinö huhtala,00:53:11.500,Squaw Valley 1960,Cross Country Skiing,15km men
13,ITA,giulio de florian,00:53:24.100,Squaw Valley 1960,Cross Country Skiing,15km men
14,URS,aleksandr gubin,00:53:29.100,Squaw Valley 1960,Cross Country Skiing,15km men
15,URS,pavel morshchinin,00:53:36.600,Squaw Valley 1960,Cross Country Skiing,15km men
16,SWE,per-erik larsson,00:53:49.800,Squaw Valley 1960,Cross Country Skiing,15km men
17,POL,jozef rysula,00:54:13.300,Squaw Valley 1960,Cross Country Skiing,15km men
18,ITA,pompeo fattor,00:54:31.100,Squaw Valley 1960,Cross Country Skiing,15km men
19,ITA,giuseppe steiner,00:54:42.300,Squaw Valley 1960,Cross Country Skiing,15km men
20,FRA,jean mermet,00:54:44.500,Squaw Valley 1960,Cross Country Skiing,15km men
21,USA,andrew markley miller,00:54:49.000,Squaw Valley 1960,Cross Country Skiing,15km men
22,FIN,toimi alatalo,00:54:52.700,Squaw Valley 1960,Cross Country Skiing,15km men
23,GER,kuno werner,00:55:25.600,Squaw Valley 1960,Cross Country Skiing,15km men
